question_length,answer_length
66,158
29,71
18,85
46,102
182,69
68,143
25,197
1,93
49,63
1,1
17,37
11,86
6,50
44,34
7,173
91,1
6,21
2,1
52,1
3,116
3,165
14,182
102,119
13,65
7,14
115,58
1,1
36,106
4,22
169,88
10,76
9,44
174,12
8,75
32,23
8,132
14,47
1,7
15,13
7,8
1,7
16,14
14,189
13,1
42,51
5,151
9,117
13,13
10,81
20,96
1,7
6,42
18,21
16,91
7,90
6,61
1,1
65,1
8,89
22,118
144,36
5,96
5,4
105,137
6,71
16,9
7,89
5,161
20,35
10,133
71,70
3,7
51,49
4,26
10,32
21,46
7,146
14,103
4,99
23,86
3,13
2,12
19,34
1,1
7,66
10,129
28,90
16,164
61,20
38,30
10,144
4,8
26,51
18,133
23,49
68,176
179,145
5,3
11,194
17,195
17,7
156,149
24,44
41,62
38,98
9,70
4,34
1,1
24,127
16,42
68,74
20,177
5,17
10,31
1,17
10,139
50,119
28,94
105,33
8,64
39,1
23,40
25,162
10,175
13,185
52,1
77,81
17,83
12,152
5,23
4,4
6,51
26,0
3,94
10,192
33,179
70,92
4,87
54,111
82,27
22,131
8,64
63,42
1,7
1,97
6,90
23,51
10,83
6,182
21,25
6,26
5,155
2,4
43,189
33,19
148,135
28,89
37,130
1,7
177,174
15,18
101,8
2,64
25,49
124,174
36,196
8,70
55,1
3,32
27,8
4,5
141,170
14,17
103,77
52,1
123,53
3,41
19,21
12,27
21,70
14,49
48,63
10,38
28,132
20,42
14,23
37,151
8,44
21,6
110,44
23,54
32,176
21,28
58,188
16,43
6,184
11,132
5,17
10,92
56,149
58,92
143,23
21,150
7,104
60,165
15,57
24,57
13,172
12,53
23,15
14,60
82,117
56,168
35,181
4,24
3,64
1,1
16,72
15,89
21,133
8,158
1,142
2,4
41,4
4,3
19,7
4,123
136,1
20,12
25,126
21,30
20,111
11,90
85,83
4,79
8,98
13,114
37,26
1,104
17,101
1,98
1,15
26,74
98,188
17,68
31,46
3,49
41,1
5,167
8,192
4,121
23,171
5,57
50,71
8,16
113,13
33,91
61,162
8,115
58,51
83,80
14,85
50,132
60,124
128,18
18,101
8,190
14,96
9,148
7,11
5,152
18,55
60,1
8,106
22,96
16,125
1,7
6,159
18,198
13,65
64,178
28,51
126,6
4,53
6,20
15,22
30,38
63,186
17,49
27,20
8,32
1,2
198,54
16,72
35,14
6,49
20,20
14,136
7,1
32,110
37,1
33,169
6,20
7,15
2,15
52,45
7,7
58,174
12,48
195,14
65,107
4,39
52,1
51,11
4,7
1,133
5,22
39,87
12,168
79,25
7,193
2,130
1,7
1,7
4,1
180,26
22,34
112,10
199,195
15,140
155,92
6,43
12,65
4,108
20,21
9,137
20,158
13,106
5,13
12,145
1,1
9,1
57,105
11,129
15,5
70,184
5,89
20,138
53,46
16,6
3,139
28,191
88,86
93,95
103,189
17,192
43,73
22,16
7,142
1,7
24,57
15,198
17,37
85,23
21,56
15,22
20,178
29,25
13,139
2,21
4,53
8,69
2,85
22,173
8,176
116,8
5,3
32,68
14,160
31,14
4,136
110,108
78,29
1,1
8,45
26,101
60,130
65,13
8,59
3,21
141,15
14,87
7,22
21,146
1,1
189,6
3,30
112,162
3,7
18,88
4,72
63,67
7,119
25,176
24,42
6,61
17,78
7,88
23,48
22,187
9,49
49,10
85,49
7,1
51,94
65,180
17,97
3,51
17,150
50,54
105,111
24,12
6,140
1,1
1,1
15,155
12,154
137,65
20,24
4,165
20,88
23,17
16,65
181,11
1,7
15,189
65,118
93,164
20,148
8,34
11,50
47,1
16,17
33,142
36,148
9,165
3,194
10,82
4,180
5,43
9,24
46,1
51,160
143,2
6,98
25,28
6,167
1,2
11,108
18,38
31,155
13,36
20,97
3,11
103,96
16,4
5,63
15,173
3,73
10,51
18,165
13,31
8,184
27,115
25,141
29,162
14,63
43,41
85,119
1,31
1,16
10,78
88,102
52,1
80,71
7,38
1,32
10,20
102,169
138,51
44,115
17,187
5,6
5,54
65,168
1,3
16,87
2,7
51,140
48,62
1,26
86,62
36,20
120,10
63,150
19,47
8,136
1,1
15,110
3,100
27,35
50,45
70,120
1,1
62,132
14,86
8,105
7,157
2,2
1,20
12,118
16,174
63,49
20,66
6,177
10,171
77,135
7,83
62,131
5,18
62,1
47,67
12,73
52,1
178,187
10,41
10,33
26,99
6,123
11,194
41,59
2,9
4,20
1,5
34,138
28,11
10,28
16,147
6,6
2,31
15,25
12,100
1,7
53,20
15,62
37,180
128,8
13,196
9,1
173,60
13,68
21,44
20,34
4,51
1,7
4,140
87,16
14,181
63,171
105,96
178,39
15,138
4,52
67,15
15,177
6,49
5,161
58,49
190,54
13,76
108,101
8,75
6,53
19,130
9,62
37,31
15,174
5,14
3,20
14,186
17,22
5,52
5,161
49,72
5,137
170,72
12,99
19,3
14,43
23,52
33,102
1,7
18,47
5,6
62,78
4,12
5,43
18,99
3,32
18,89
1,13
1,134
7,86
10,185
1,19
9,50
9,20
137,62
15,126
63,143
19,7
41,29
32,62
134,39
30,185
52,1
19,83
69,184
1,26
74,110
1,31
26,164
115,109
61,22
20,184
15,17
31,190
4,76
30,45
36,72
16,6
64,171
13,144
14,81
8,107
52,73
58,16
52,1
150,35
70,2
167,25
17,11
7,22
11,44
28,142
2,25
52,1
1,5
52,1
5,115
1,19
1,5
6,50
16,66
17,163
8,19
14,60
68,1
10,110
7,142
4,192
1,1
23,86
32,129
65,79
8,19
29,131
126,193
1,1
8,17
3,50
10,120
1,7
9,1
165,190
16,97
25,174
6,73
32,46
9,15
3,5
53,187
37,45
1,1
51,13
121,23
65,3
3,3
20,83
19,44
40,85
24,51
1,20
43,196
14,36
1,133
175,10
40,126
4,34
66,89
1,1
8,191
23,11
7,20
7,1
88,39
3,38
194,14
8,19
13,39
12,14
6,170
62,160
17,15
10,81
3,14
50,115
46,51
15,96
10,60
102,33
21,80
3,107
3,188
120,121
161,105
1,1
21,151
4,62
52,1
8,183
33,40
196,12
4,45
28,198
8,91
5,32
148,26
100,70
4,162
9,1
11,198
13,198
130,27
59,164
5,34
65,1
62,184
1,13
21,83
10,39
7,29
17,22
75,117
83,70
77,30
131,12
8,119
28,176
10,45
9,17
5,22
1,19
15,96
77,60
24,18
3,34
33,85
1,147
20,165
5,87
17,136
164,143
22,92
59,1
18,40
18,199
138,96
17,116
22,54
22,17
9,86
38,9
8,6
42,137
23,42
7,9
82,148
20,50
6,90
20,39
5,109
1,6
12,11
10,99
17,66
25,8
53,22
59,81
38,92
11,47
15,69
25,154
28,130
13,32
1,35
10,157
18,37
120,74
68,76
15,40
131,9
89,87
134,35
34,72
47,81
0,61
30,127
5,89
66,105
15,9
92,141
52,1
69,152
25,2
17,115
101,193
7,87
158,10
24,10
19,89
126,50
14,40
164,23
29,111
14,86
23,57
18,10
6,102
7,189
8,35
5,20
26,30
87,16
5,20
7,115
89,126
37,185
24,8
16,14
22,62
29,120
4,101
55,10
82,177
5,14
1,5
80,1
59,17
151,1
26,14
120,115
4,10
60,33
138,34
9,161
63,109
35,71
6,133
101,97
9,168
26,85
9,55
5,192
9,1
62,8
19,174
64,1
28,119
2,12
11,54
3,97
2,183
18,34
8,14
8,180
19,155
22,1
57,123
6,6
66,155
11,13
51,64
64,1
3,175
105,187
149,3
20,26
52,1
17,31
7,53
15,54
10,117
17,14
16,175
95,23
1,7
24,11
91,122
88,83
9,15
14,81
4,24
69,14
1,2
8,158
16,189
21,25
23,78
64,191
10,135
11,99
18,28
37,54
10,186
25,14
98,6
66,186
197,9
6,41
8,116
4,50
11,133
9,21
4,15
180,166
62,36
8,48
20,23
66,17
23,21
34,186
11,45
30,32
12,197
15,55
26,9
20,47
15,44
52,1
42,148
9,76
85,155
16,46
89,52
23,26
18,24
9,67
72,1
48,165
5,137
11,37
50,67
66,141
1,7
37,165
43,186
1,22
39,29
19,162
186,1
1,18
139,11
48,1
6,54
37,30
4,191
26,12
30,16
12,39
13,13
52,21
5,45
1,1
6,61
65,93
37,52
19,46
16,32
95,143
15,85
16,67
37,29
4,18
4,18
183,150
64,27
25,54
22,3
20,196
191,124
1,37
20,41
47,55
20,65
1,26
100,61
13,67
114,190
11,156
16,176
19,8
81,20
74,1
28,27
6,42
62,17
9,194
11,90
17,50
62,199
29,183
131,9
10,32
1,42
18,11
56,46
5,112
5,11
174,111
17,21
10,46
77,24
1,7
4,179
102,34
60,18
3,6
17,47
6,88
30,72
153,1
21,22
55,181
15,9
48,116
8,194
7,61
9,9
2,78
17,38
11,174
74,156
9,1
3,6
14,23
19,67
5,96
4,16
8,13
21,142
20,9
27,140
34,37
43,105
22,34
2,10
21,166
5,119
19,56
37,1
63,62
10,68
4,87
11,55
8,78
6,168
106,63
10,65
38,158
48,56
31,65
52,74
52,126
78,1
16,65
13,50
5,89
107,7
118,76
63,85
63,3
60,52
5,17
5,159
167,183
27,107
10,184
14,35
23,32
2,2
33,38
18,41
10,24
19,52
14,133
12,133
70,58
77,36
13,149
105,13
3,3
1,1
25,143
9,128
21,50
74,104
9,137
3,193
1,5
10,138
100,35
52,1
42,2
1,5
29,181
1,6
10,137
4,26
14,47
39,1
7,12
89,95
16,8
11,175
46,72
1,51
6,150
10,166
9,121
52,1
11,39
47,64
36,1
5,23
22,179
22,25
8,6
12,14
65,172
19,183
97,105
66,155
9,163
29,1
5,185
11,176
1,14
25,66
22,20
8,62
13,167
4,151
52,1
10,98
20,30
29,38
29,140
1,7
22,142
1,1
17,18
20,20
10,59
172,53
8,149
64,105
53,87
68,15
52,120
85,94
1,1
47,57
31,54
18,65
91,50
1,6
7,103
41,106
4,185
68,1
10,25
7,7
14,26
16,173
23,54
88,175
5,24
9,196
117,158
186,133
3,53
16,149
11,177
128,1
1,7
97,153
196,50
15,175
24,12
2,1
84,121
9,33
28,88
24,5
41,101
21,86
159,176
62,152
16,17
8,178
36,71
17,97
12,133
33,85
1,1
1,7
6,149
19,39
14,27
134,69
8,182
20,53
94,152
21,53
5,90
142,56
2,64
13,104
2,192
60,1
135,1
14,10
8,18
13,76
19,139
18,53
88,108
14,183
1,19
8,114
23,33
14,102
8,190
9,20
20,140
11,185
55,99
10,100
12,87
1,18
26,13
10,178
13,95
26,75
16,109
37,31
54,127
54,39
62,24
5,10
4,1
7,30
11,31
10,109
80,6
15,117
182,9
1,18
137,131
70,157
18,195
20,19
9,135
9,77
10,152
116,3
2,14
3,17
10,110
16,84
33,75
11,66
1,7
74,197
28,150
136,154
32,181
30,191
132,102
18,56
33,35
27,145
149,109
64,11
196,56
14,129
18,17
11,132
115,60
147,9
84,1
15,72
4,3
17,115
1,1
16,146
1,1
177,36
4,147
13,20
10,82
15,28
54,32
126,38
26,136
63,22
1,61
7,196
24,29
17,44
58,1
30,194
37,27
3,177
3,71
14,6
143,20
1,2
148,25
3,127
70,132
4,77
1,6
17,42
10,113
20,71
16,109
75,149
7,9
20,50
9,154
15,97
7,21
11,169
1,74
106,3
104,70
1,10
31,49
6,39
10,181
18,13
7,110
7,1
28,36
3,36
5,64
12,2
156,51
27,29
7,128
167,170
12,46
135,1
6,75
5,167
14,64
100,10
19,30
1,8
6,30
64,1
36,15
17,19
74,1
12,151
56,115
26,54
1,1
123,104
13,118
17,184
26,34
2,18
7,126
105,136
25,21
38,16
1,11
1,2
26,92
2,13
52,1
3,10
27,64
16,115
11,8
16,30
31,1
22,73
7,81
1,25
7,41
3,40
23,111
40,112
1,37
44,182
24,5
7,45
83,127
1,22
49,98
172,19
24,11
75,38
21,91
42,195
51,70
4,6
30,33
55,54
64,193
5,19
18,67
31,50
13,109
14,46
17,117
1,31
2,12
1,7
15,199
2,49
36,82
52,1
85,72
57,2
9,24
8,106
66,2
17,37
12,14
18,2
129,158
15,178
155,42
69,169
6,86
99,112
21,49
1,4
1,107
86,114
65,99
25,137
26,8
1,126
7,6
5,58
2,61
13,93
57,46
26,20
94,13
10,167
87,195
11,141
37,30
20,5
42,52
5,37
12,129
6,196
14,196
46,11
7,152
7,124
91,192
3,140
6,43
92,179
11,2
87,27
12,108
36,108
10,64
52,1
33,30
95,8
61,16
75,122
43,133
1,2
63,176
33,11
23,35
12,95
8,190
52,1
1,1
20,56
108,10
17,11
41,51
134,60
87,168
166,73
7,24
71,16
9,96
60,145
110,74
37,27
9,1
5,101
15,154
112,12
3,175
70,3
3,55
30,17
3,48
1,32
17,107
4,42
12,12
22,95
24,109
27,196
125,171
15,149
72,174
95,180
3,2
10,143
2,5
1,6
21,188
23,197
63,19
33,107
21,175
80,2
1,62
45,64
170,102
85,48
151,104
10,133
16,2
19,4
2,167
4,10
4,173
43,59
12,104
64,161
19,171
95,62
1,8
47,1
21,94
7,30
32,50
22,60
23,42
44,85
17,9
40,148
16,91
174,99
9,18
149,136
94,72
8,66
22,58
66,186
1,1
16,146
11,71
3,45
123,55
28,22
25,62
153,26
27,134
167,1
6,96
20,26
15,187
14,26
63,85
170,4
6,194
13,174
4,149
52,1
7,10
38,105
11,38
1,7
19,103
8,70
18,13
14,175
9,55
9,21
17,156
19,20
6,46
13,48
181,147
32,17
52,1
14,67
6,61
9,170
23,14
138,119
49,10
4,5
8,163
24,27
20,146
47,67
47,73
128,20
160,18
3,45
2,14
4,96
9,11
7,24
167,54
4,1
103,66
9,161
8,193
5,145
6,64
7,152
90,57
16,178
1,7
9,62
170,187
1,1
2,1
64,126
19,88
22,26
9,79
1,123
52,20
4,7
54,132
8,137
10,66
52,1
52,1
8,82
22,37
141,56
5,159
1,6
35,49
1,7
8,128
178,33
20,48
1,71
4,8
36,44
9,9
15,75
8,137
41,41
14,111
78,1
6,133
10,132
31,158
3,46
9,129
145,49
16,151
52,1
2,63
1,4
19,97
10,86
4,110
2,57
16,172
78,12
9,37
21,43
52,1
3,30
141,53
23,128
18,180
30,59
24,49
20,115
8,47
67,141
1,47
21,105
1,1
22,33
4,31
45,138
1,5
3,26
177,113
1,5
43,1
8,50
50,114
17,168
1,2
8,107
11,13
26,89
6,48
18,45
61,186
4,17
17,21
7,67
16,89
41,23
43,1
7,163
174,2
8,75
10,161
7,65
170,61
7,1
16,22
28,60
5,77
64,170
27,72
33,37
8,175
183,15
37,167
151,197
3,69
5,96
38,79
9,69
63,40
10,109
16,7
54,131
98,17
14,64
17,65
16,188
47,151
4,83
2,8
47,43
24,42
123,33
15,152
11,162
29,19
6,86
11,49
57,19
114,80
70,35
1,1
133,16
65,42
12,13
13,66
1,157
143,8
2,22
52,0
2,137
180,31
15,9
8,10
29,59
11,137
5,55
16,94
87,26
64,186
1,1
69,58
59,78
68,167
57,85
52,1
20,164
6,56
10,158
101,45
14,151
10,199
11,124
83,170
28,26
30,37
34,25
17,190
65,155
6,15
10,61
1,19
30,99
17,10
5,92
9,131
10,182
26,67
52,1
12,189
85,157
1,29
20,191
52,171
20,26
8,70
110,161
8,192
14,194
141,18
7,31
4,50
20,84
5,79
4,94
15,171
5,169
7,68
10,62
101,2
80,192
86,30
108,66
19,44
37,126
16,105
1,104
5,24
6,83
17,119
15,35
1,36
1,1
5,86
1,1
59,3
23,161
13,141
6,6
1,5
21,176
154,98
7,25
83,48
177,29
10,81
1,2
85,18
130,118
18,59
83,1
4,73
66,50
18,4
8,83
25,14
18,8
10,164
92,38
2,1
8,13
32,174
41,149
17,15
10,16
71,176
20,161
24,31
3,93
40,36
33,155
19,108
23,43
52,1
163,51
142,16
4,49
12,197
138,97
5,25
4,36
12,1
20,72
8,101
1,5
104,111
7,15
63,173
14,76
50,99
3,118
179,9
9,40
45,2
1,35
62,1
1,23
19,5
1,1
12,179
72,158
11,184
11,196
14,136
18,161
6,164
11,83
2,2
19,97
4,188
23,81
21,41
10,4
13,197
43,159
4,115
6,177
135,19
41,124
11,103
149,26
7,44
5,123
20,48
4,1
28,9
1,5
17,42
12,166
52,1
55,1
86,134
71,169
143,194
1,46
9,6
4,1
34,196
16,62
7,134
10,52
1,1
18,91
187,98
68,106
15,5
9,198
1,1
23,113
16,141
14,110
108,184
27,57
16,123
49,105
8,27
4,15
40,173
6,80
158,77
20,164
24,41
29,144
15,120
3,52
18,64
7,83
83,37
1,7
3,10
7,64
10,7
4,188
32,51
9,56
12,147
10,119
185,15
52,1
8,189
17,31
21,138
