rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
ff080b55c1654dc596041e8cd4f47a48,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776977149.316517,8243489.973813541,8243489.974695379,8243489.975460663,8243489.975696987,8243489.975837933,8243702.585058792,0,False,False,11000,11000,6000,5000,decode
f9581d94580443e6bd5a79d73447dd3b,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776977149.402563,8243490.05632462,8243490.382581398,8243490.38532262,8243490.393013562,8243490.396084942,8243702.624096106,0,False,False,11000,11000,6000,5000,decode
a79b0843641445c3805509975f22720b,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776977149.415634,8243490.069402564,8243490.382609611,8243490.385567532,8243490.393033353,8243490.396085231,8243702.624113488,0,False,False,11000,11000,6000,5000,decode
c5f7433105dd49fc99cad608318d77e3,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776977149.442218,8243490.096042061,8243490.382664791,8243490.386044911,8243490.393072314,8243490.396085841,8243702.624127019,0,False,False,11000,11000,6000,5000,decode
bd44d7ab913946ab97e1cce594142e89,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776977149.4553425,8243490.109265055,8243490.382692625,8243490.386281909,8243490.393091667,8243490.396086136,8243702.624138378,0,False,False,11000,11000,6000,5000,decode
975d2846502d44aa85cc0b8f45503d10,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776977149.468595,8243490.122558465,8243490.382719666,8243490.386526544,8243490.393111194,8243490.396086431,8243702.6241503,0,False,False,11000,11000,6000,5000,decode
ab72defb89d242069c88de9968bfa1b1,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776977149.4818816,8243490.135694014,8243490.382746863,8243490.386762226,8243490.393130597,8243490.396086694,8243702.624161472,0,False,False,11000,11000,6000,5000,decode
7dfe5c78eca049c0945042c169cb7aa1,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776977149.5224333,8243490.176144143,8243490.382829761,8243490.387504982,8243490.393188754,8243490.396087504,8243702.624172991,0,False,False,11000,11000,6000,5000,decode
f9f1712c1d0246159e2e3388bb06cff4,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776977149.5354486,8243490.189247346,8243490.382856695,8243490.387736691,8243490.393207517,8243490.396087783,8243702.624184276,0,False,False,11000,11000,6000,5000,decode
e8ec32dfce1443578a183c725cacb182,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776977149.548554,8243490.202319826,8243490.382883458,8243490.387978745,8243490.393226876,8243490.396088059,8243702.624195932,0,False,False,11000,11000,6000,5000,decode
5aec055a38bd468ebcb938209760ea54,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776977149.5616245,8243490.215377052,8243490.382910132,8243490.388211406,8243490.393245458,8243490.396088392,8243702.624207579,0,False,False,11000,11000,6000,5000,decode
97b3345cdc474e47b5e858e1cc98dbda,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776977149.5882914,8243490.242534629,8243490.38296715,8243490.388700078,8243490.393284247,8243490.39608897,8243702.624220139,0,False,False,11000,11000,6000,5000,decode
