rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
772ce7bd2753402eb95a9bdcea21c62a,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968122.9260626,8234462.197508611,8234462.198373417,8234462.19911728,8234462.199342557,8234462.199481663,8234672.244699563,0,False,False,11000,11000,6000,5000,decode
025de42aa9a94cfb97632d6e83b98171,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968122.9425144,8234462.21283706,8234462.600374517,8234462.601871911,8234462.608568158,8234462.611648954,8234672.283822947,0,False,False,11000,11000,6000,5000,decode
bebb890cdd5a41e2bf3da86d9681b14e,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968122.9578254,8234462.227215401,8234462.600417818,8234462.60216363,8234462.608591454,8234462.611649699,8234672.283837618,0,False,False,11000,11000,6000,5000,decode
6955529394ce4c3fb82e5850443a52f2,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968122.9721835,8234462.240688403,8234462.60045186,8234462.602430983,8234462.608611891,8234462.611650407,8234672.283849425,0,False,False,11000,11000,6000,5000,decode
c673954c53c14b1fac06eda237999151,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968122.985638,8234462.253972081,8234462.600485027,8234462.602677395,8234462.608632372,8234462.611650686,8234672.283862847,0,False,False,11000,11000,6000,5000,decode
042bd808bbef4b89954dc5a35097e1b8,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968122.9989107,8234462.267048212,8234462.600515874,8234462.602915485,8234462.608651502,8234462.61165099,8234672.283876862,0,False,False,11000,11000,6000,5000,decode
67e6bfb737e94137be7953a5d7d18abc,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.011988,8234462.28012064,8234462.600546124,8234462.60315137,8234462.608671932,8234462.611651279,8234672.283890105,0,False,False,11000,11000,6000,5000,decode
2376dbe9d76247bfb26f70d56df9cdfe,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.025051,8234462.293424241,8234462.600575934,8234462.603396792,8234462.608691478,8234462.611651646,8234672.28390162,0,False,False,11000,11000,6000,5000,decode
97014d933392469d86e7c58d00a52348,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.0383584,8234462.306411739,8234462.600604396,8234462.60364255,8234462.608711099,8234462.611652062,8234672.283912993,0,False,False,11000,11000,6000,5000,decode
1f885cb6983f49f59930f36b9c1c7056,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.0513349,8234462.319462949,8234462.600633378,8234462.603876721,8234462.608730459,8234462.611652356,8234672.283924101,0,False,False,11000,11000,6000,5000,decode
b71bc80a0d7b43788a6c8917b920de4f,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.0643988,8234462.339404727,8234462.600661634,8234462.604105137,8234462.608749829,8234462.611652625,8234672.283934898,0,False,False,11000,11000,6000,5000,decode
6e33b3376811493995177ceb2b6bb0d7,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.0844042,8234462.353310899,8234462.600690103,8234462.604348902,8234462.608769067,8234462.611652907,8234672.283945873,0,False,False,11000,11000,6000,5000,decode
47cff4afdbe54b0b81b7ff20387db066,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.098247,8234462.366340718,8234462.600717807,8234462.604598528,8234462.608791106,8234462.611653169,8234672.283957104,0,False,False,11000,11000,6000,5000,decode
bd74a7f6ffcf4e15a70611d982e85a00,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.1112792,8234462.379259651,8234462.600745486,8234462.604843569,8234462.608811072,8234462.611653463,8234672.283968211,0,False,False,11000,11000,6000,5000,decode
614e58d3603b467cb7a39701a1a2422c,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.1241927,8234462.392331064,8234462.600774293,8234462.605079717,8234462.60883064,8234462.611653748,8234672.283979499,0,False,False,11000,11000,6000,5000,decode
0ff745197d5e45358b534b56d8c7fcb3,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.1372678,8234462.405253094,8234462.600803591,8234462.60530771,8234462.608849737,8234462.611654015,8234672.283990385,0,False,False,11000,11000,6000,5000,decode
beae35bd4be04ddb8d45c2efa2e72609,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.1501844,8234462.418344585,8234462.600831808,8234462.605566277,8234462.608869496,8234462.611654304,8234672.2840013,0,False,False,11000,11000,6000,5000,decode
85f72c4b0aa741c686137b17099abe72,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.16328,8234462.43168203,8234462.600859016,8234462.605792083,8234462.608888457,8234462.611654609,8234672.284013619,0,False,False,11000,11000,6000,5000,decode
55dd294bdef14cecbdc4cffcf623a45b,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.1766183,8234462.444978987,8234462.600886154,8234462.606023352,8234462.608907848,8234462.611654909,8234672.284027662,0,False,False,11000,11000,6000,5000,decode
56af5eb8a46b440d9d6aa76385ae9874,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.1903765,8234462.459509569,8234462.600913458,8234462.606254519,8234462.608926864,8234462.611655269,8234672.28404128,0,False,False,11000,11000,6000,5000,decode
6b6ae10995df406f88676f0e5d505e84,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.204487,8234462.474553834,8234462.600941305,8234462.606504985,8234462.608946835,8234462.611655507,8234672.284052448,0,False,False,11000,11000,6000,5000,decode
c80528c6d1604bffbd3b819ae40def4a,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.2195344,8234462.488839105,8234462.600970864,8234462.606741466,8234462.608965445,8234462.611655769,8234672.284063374,0,False,False,11000,11000,6000,5000,decode
ad62f2fdc3bc4831b823c8f7960cb40f,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.233807,8234462.502891884,8234462.600999044,8234462.606967229,8234462.608984741,8234462.611656011,8234672.2840743,0,False,False,11000,11000,6000,5000,decode
7497e562de8a40768d84cef634138547,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.2478733,8234462.517510987,8234462.601026316,8234462.607194817,8234462.609003965,8234462.61165627,8234672.284085597,0,False,False,11000,11000,6000,5000,decode
f66416de6cef43aa90e18c2f08cf9d5c,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776968123.262501,8234462.532125376,8234462.601054442,8234462.60742849,8234462.609023089,8234462.611656556,8234672.284096346,0,False,False,11000,11000,6000,5000,decode
