rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
c434c16dd1c14429b54ee6899da4d2ca,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302835.9470975,8569219.602293847,8569220.029479828,8569220.033097273,8569220.038464144,8569220.03959423,8569233.865568018,0,False,False,6000,6000,5000,1000,decode
2afb9ebd633a474386dea4db1fa374aa,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302835.9599643,8569219.614782216,8569220.029532764,8569220.035523651,8569220.038487842,8569220.039594784,8569233.86558453,0,False,False,6000,6000,5000,1000,decode
b29f99c10a794a77a892c8962d98bf91,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302835.9724371,8569219.62816401,8569220.029567411,8569220.036190612,8569220.038508859,8569220.039595097,8569233.865598116,0,False,False,6000,6000,5000,1000,decode
103fb2f52f2d409c9b548af2ca936c66,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302835.9859376,8569219.640547281,8569220.029599164,8569220.03655055,8569220.038528703,8569220.039595459,8569233.865610696,0,False,False,6000,6000,5000,1000,decode
f4eadabd993b438d878c22ce481a8f24,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302835.998208,8569219.653102096,8569220.029630123,8569220.036793051,8569220.038548369,8569220.039595814,8569233.865622692,0,False,False,6000,6000,5000,1000,decode
db6fd7892ec84e498b487342c4dfb93e,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.0232089,8569219.678002236,8569220.029689686,8569220.037242383,8569220.038589299,8569220.039596483,8569233.86564074,0,False,False,6000,6000,5000,1000,decode
98b4c25bb8a945de8e2acfb2291de34b,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.0356557,8569219.690019703,8569220.029718675,8569220.037497224,8569220.038609052,8569220.03959676,8569233.865653232,0,False,False,6000,6000,5000,1000,decode
e8cd4c9fb2f4434cbd09e01bc9fe75da,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302835.9319668,8569219.58940152,8569219.59033512,8569219.593271205,8569219.593523305,8569219.593656434,8569236.605973352,0,False,False,6200,6200,5000,1200,decode
65e225e13af847159f4c41a87f6a6e88,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.0107563,8569219.66556152,8569220.02966044,8569220.037015479,8569220.038569024,8569220.03959613,8569236.615648268,0,False,False,6199,6199,5000,1200,decode
a170a47c6394425c9744277d30c8d45c,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.0476656,8569219.702141915,8569220.029748691,8569220.037742024,8569220.038628431,8569220.039597075,8569236.615663644,0,False,False,6199,6199,5000,1200,decode
5020a647fccc4f8aa1a509e6b950ea22,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.0597987,8569219.713955509,8569220.029777072,8569220.037965257,8569220.038647877,8569220.039597327,8569236.615675654,0,False,False,6199,6199,5000,1200,decode
1d74b5f2d0de4799aa46db758f7cbac2,6000,5734,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.071599,8569219.72573576,8569220.029804602,8569220.038184071,8569220.038667468,8569233.943877576,8569237.579454277,1,False,True,6000,6000,5000,1000,decode
75423d723a5b4a82a24f76c04c4b3f4c,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.1187403,8569219.77277286,8569220.029914666,8569233.940368379,8569233.94326348,8569233.943879925,8569247.874721875,0,False,False,6000,6000,5000,1000,decode
6f9b55e4577b452ca29867dfb31b9441,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.142134,8569219.79625365,8569220.029969176,8569233.978578856,8569233.97884288,8569233.978972299,8569247.889527904,0,False,False,6000,6000,5000,1000,decode
2f5907bdcb45419c94f86d0f3d08bbed,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.1887288,8569219.842506697,8569220.030080022,8569236.623192538,8569236.623565266,8569236.623987984,8569250.693870855,0,False,False,6000,6000,5000,1000,decode
acb469b1a5c04172822e12583b069c70,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.0833788,8569219.737691522,8569220.029832207,8569233.933177013,8569233.943182977,8569233.943878978,8569250.708809149,0,False,False,6199,6199,5000,1200,decode
c3a3c0ac87464fa294e8bc83755c4317,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.0953376,8569219.749442317,8569220.02985939,8569233.935503876,8569233.943212392,8569233.94387936,8569250.708825693,0,False,False,6199,6199,5000,1200,decode
6ca791744d214d2390563161eec5966a,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.1070764,8569219.761097813,8569220.029886676,8569233.937928243,8569233.94323763,8569233.943879621,8569250.708837604,0,False,False,6199,6199,5000,1200,decode
32f07dc3090c41dba4747f2ff9b8afd8,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.130419,8569219.78449232,8569220.029942248,8569233.942771403,8569233.943288075,8569233.943880169,8569250.708848877,0,False,False,6199,6199,5000,1200,decode
b022b06176ac4af9818aab92bfd47932,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.2001226,8569219.85402808,8569220.030107561,8569236.65268243,8569236.653008273,8569236.653128257,8569250.708872996,0,False,False,5999,5999,5000,1000,decode
0d741b1daec84d67aa2222b9c3591c61,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.153889,8569219.808242703,8569220.029996134,8569236.6086355,8569236.609010715,8569236.60915051,8569253.420522502,0,False,False,6200,6200,5000,1200,decode
718eff81e85b4c74afe6d852b9c16f1a,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.1658816,8569219.81963714,8569220.030023998,8569236.618368449,8569236.623522602,8569236.623987257,8569253.420538891,0,False,False,6200,6200,5000,1200,decode
58302044da4c4290a8d9d50163e00d82,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.1772642,8569219.831095198,8569220.030052466,8569236.620757418,8569236.623544497,8569236.623987766,8569253.420551296,0,False,False,6200,6200,5000,1200,decode
b974de0c0c9c46a6a47e8651e697f5e9,6200,5573,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.211645,8569219.865577593,8569220.030135967,8569237.583572311,8569237.58384736,8569247.964136811,8569256.558462067,1,False,True,6200,6200,5000,1200,decode
ff8a7b1e2b11484a9f9435256b9abe6b,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.2232096,8569219.877312506,8569220.030163491,8569250.69925196,8569250.699629122,8569250.69977847,8569264.330614647,0,False,False,6000,6000,5000,1000,decode
a8111c8ced9d4a479f9cfb4f19e68f5d,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.2349532,8569219.889170134,8569220.03019049,8569250.714948958,8569250.725460496,8569250.726190487,8569264.330631148,0,False,False,6000,6000,5000,1000,decode
c4f109533da145eeb4ec285283887312,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.2584014,8569219.912310403,8569220.030244304,8569250.717749747,8569250.725508235,8569250.726191387,8569264.330649551,0,False,False,6000,6000,5000,1000,decode
48d913e400a94d3c84dd4173b0254494,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.269949,8569219.923948286,8569220.030270634,8569250.720193189,8569250.725530406,8569250.726191621,8569264.33066082,0,False,False,6000,6000,5000,1000,decode
cf6aba099f30434fa13263fa6e1be06b,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.2815752,8569219.936228154,8569220.030297874,8569250.722626567,8569250.72555184,8569250.726191811,8569264.330671892,0,False,False,6000,6000,5000,1000,decode
e307088bbd9841ffb5c6d3239f16ab9c,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.2468069,8569219.900770573,8569220.03021719,8569250.71531374,8569250.725485343,8569250.726191048,8569267.208544984,0,False,False,6200,6200,5000,1200,decode
c9f57687bdee46b0ab2c337641745212,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.2938795,8569219.948084014,8569220.030326206,8569250.725075781,8569250.725573773,8569250.726192113,8569267.208563015,0,False,False,6200,6200,5000,1200,decode
02035ffed1854a2ea31397dafca99f1c,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.3175,8569219.971519774,8569220.030385138,8569253.42720456,8569253.43022829,8569253.430533422,8569267.208584456,0,False,False,6000,6000,5000,1000,decode
7a892e5e13f84bdf8fa42b374db07eac,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.3291638,8569219.983269842,8569220.031726126,8569253.429814806,8569253.430247884,8569253.43053367,8569267.208596276,0,False,False,6000,6000,5000,1000,decode
8cad307078e840fa986fffbb4afad2da,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.3057485,8569219.959839858,8569220.030357335,8569253.426677218,8569253.430206,8569253.430533022,8569269.994996661,0,False,False,6200,6200,5000,1200,decode
15ab5fbbdeb842bb83d5a6de0d3b1d3b,6200,5001,0,"{""type"": ""length"", ""length"": 1200}",1200,1777302836.3409219,8569219.995006396,8569220.031761548,8569253.466018734,8569253.466397287,8569253.466514986,8569270.027757589,0,False,False,6199,6199,5000,1200,decode
90f3b159a2aa4a518fd6d25f41b5cc2d,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.3526502,8569220.007552102,8569220.03178924,8569264.340530975,8569264.342056546,8569264.342591371,8569278.348079355,0,False,False,6000,6000,5000,1000,decode
5232228640f24cd4b830837baba5667b,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.3778195,8569220.0330038,8569220.065796595,8569264.341063607,8569264.342098847,8569264.34259212,8569278.34810289,0,False,False,6000,6000,5000,1000,decode
13d41af4c8c24b878381d3b795664a5d,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777302836.3906624,8569220.045576213,8569220.065834206,8569264.341314623,8569264.342120348,8569264.342592418,8569278.348114992,0,False,False,6000,6000,5000,1000,decode
