rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
0957ba0988f148d1bd6c4f14dd3d03bd,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305843.8484063,8572228.085031677,8572228.484853018,8572228.48780655,8572228.495938418,8572228.499288576,8572270.87864514,0,False,False,6000,6000,5000,1000,decode
132e6ef62c48461ea6f9d61c40864ba8,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305843.8608315,8572228.096844248,8572228.484894032,8572228.488097832,8572228.495960796,8572228.49928917,8572270.878660945,0,False,False,6000,6000,5000,1000,decode
08a19b5b139c494f84cfcb0c143a4d4a,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305843.8726099,8572228.10827471,8572228.484927343,8572228.488352042,8572228.495981118,8572228.499289498,8572270.878673878,0,False,False,6000,6000,5000,1000,decode
d1399c88eca045218603ebae0b31eb9a,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305843.8840325,8572228.119812429,8572228.484957904,8572228.488603417,8572228.496000702,8572228.49928981,8572270.878685933,0,False,False,6000,6000,5000,1000,decode
405443f07d29439aa0ab24a6af7b2e89,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305843.895551,8572228.13125962,8572228.48498777,8572228.488841172,8572228.496020325,8572228.499290174,8572270.878699875,0,False,False,6000,6000,5000,1000,decode
7575e76426c648ddaab228b2bce7a0a0,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305843.9184098,8572228.154197387,8572228.485044297,8572228.489308868,8572228.496059872,8572228.499290884,8572270.87871756,0,False,False,6000,6000,5000,1000,decode
731bbe19dd294bc0828881117077a7fc,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305843.9871666,8572228.222651357,8572228.485211149,8572228.490699898,8572228.496176252,8572228.499293009,8572270.878748395,0,False,False,6000,6000,5000,1000,decode
5e852e65cde14345a5b4d03aa140cf27,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305843.998373,8572228.233943237,8572228.485238075,8572228.490939075,8572228.496195415,8572228.499293303,8572270.878761504,0,False,False,6000,6000,5000,1000,decode
926de9fcea7c4478971079ddeb8dd3da,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.0209668,8572228.256473184,8572228.48529114,8572228.491407495,8572228.496232215,8572228.499293815,8572270.878776828,0,False,False,6000,6000,5000,1000,decode
31b87c943cef4e45ba8cadf58f43a228,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.0436542,8572228.279305123,8572228.485344425,8572228.491877224,8572228.496269243,8572228.499294499,8572270.878791442,0,False,False,6000,6000,5000,1000,decode
6ba8a3d5bcc3479b86870959835fdfed,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.055052,8572228.29110355,8572228.485375788,8572228.492104378,8572228.496288316,8572228.499294719,8572270.878802434,0,False,False,6000,6000,5000,1000,decode
9fdcb3637473417da924a670e8cd6c8e,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.0668535,8572228.30251596,8572228.48540309,8572228.492333114,8572228.49631301,8572228.499294976,8572270.878813917,0,False,False,6000,6000,5000,1000,decode
13e0f8abec2a410382724093adbc1ac9,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.078586,8572228.314165374,8572228.485432288,8572228.492563939,8572228.496331917,8572228.499295238,8572270.878824988,0,False,False,6000,6000,5000,1000,decode
4998169059be467d9611233c3fe91e9e,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.0899186,8572228.325567843,8572228.485460427,8572228.492784364,8572228.496350398,8572228.4992955,8572270.878835952,0,False,False,6000,6000,5000,1000,decode
4c4703a92e914aaf9e831abb5d5babb2,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.1249146,8572228.361575047,8572228.48554267,8572228.493449692,8572228.496414242,8572228.499296254,8572270.878853759,0,False,False,6000,6000,5000,1000,decode
a3dfef7de3954ce891707e8c13607040,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.137338,8572228.37312742,8572228.485569606,8572228.49367094,8572228.496433446,8572228.499296637,8572270.878864864,0,False,False,6000,6000,5000,1000,decode
2e3e57ce4b1c441395c1b9db4f15034f,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.16053,8572228.39734705,8572228.485622915,8572228.494108565,8572228.496471092,8572228.499297168,8572270.878879655,0,False,False,6000,6000,5000,1000,decode
a8038cfdc0664a69809d0fe6462d401a,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.244217,8572228.48026298,8572228.486923013,8572228.495667044,8572228.49660172,8572228.499298817,8572270.878910191,0,False,False,6000,6000,5000,1000,decode
c56b7c175b4144758d01a7934f22e08b,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.279971,8572228.516008502,8572228.535218066,8572228.536270319,8572228.53673524,8572228.53733797,8572270.878928306,0,False,False,6000,6000,5000,1000,decode
a3c69f83d2374e658bf2326812b4ab82,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.2917876,8572228.527678352,8572228.53524613,8572228.536503267,8572228.536754753,8572228.537338287,8572270.878939413,0,False,False,6000,6000,5000,1000,decode
e47fa37e31e54e61803a354aef859ff9,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.3269331,8572228.56307281,8572228.714904413,8572228.716177937,8572228.719419189,8572228.720821882,8572270.92336516,0,False,False,6000,6000,5000,1000,decode
0c6aad6a1dfb455fb729f3bbe6f8c713,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.350197,8572228.585760985,8572228.714963606,8572228.716665465,8572228.719455807,8572228.720822435,8572270.923384724,0,False,False,6000,6000,5000,1000,decode
aa2f31a1d2984ebab2fff693df212243,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.3727953,8572228.60828699,8572228.715019071,8572228.717118133,8572228.719496027,8572228.720823,8572270.923400573,0,False,False,6000,6000,5000,1000,decode
b7d306bf84184c13871fa9b4077f1556,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.3953414,8572228.631160755,8572228.715074675,8572228.717612231,8572228.719532236,8572228.720823692,8572270.923415426,0,False,False,6000,6000,5000,1000,decode
86017f7e2ff04670be551c31dc8d1011,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.4069238,8572228.643045723,8572228.715101708,8572228.717850149,8572228.719549935,8572228.720823985,8572270.92342694,0,False,False,6000,6000,5000,1000,decode
d81557ce013c47e5a979fb34d01fea0b,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.442013,8572228.67774593,8572228.715181733,8572228.718526455,8572228.719603408,8572228.720824746,8572270.923445685,0,False,False,6000,6000,5000,1000,decode
026bc19c8ebd4a70a9b0bf79e03bc8eb,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.4535046,8572228.68958064,8572228.715208162,8572228.718762714,8572228.719621249,8572228.720825007,8572270.923457274,0,False,False,6000,6000,5000,1000,decode
dec08fa855ea472b9a945ca0f4702264,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.4653368,8572228.701132549,8572228.7152351,8572228.718981057,8572228.719639026,8572228.72082525,8572270.92346988,0,False,False,6000,6000,5000,1000,decode
5b0a60279d2744138d7b22e563dbceeb,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.4768927,8572228.71251055,8572228.715261294,8572228.719198233,8572228.719656756,8572228.72082549,8572270.92348122,0,False,False,6000,6000,5000,1000,decode
74f593168886439588109b3296e94005,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.4882562,8572228.723897425,8572228.73180029,8572228.732238797,8572228.732379379,8572228.732625874,8572270.923492514,0,False,False,6000,6000,5000,1000,decode
cd99561c0b684d7393fa330c8af7039f,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.533355,8572228.768786957,8572228.770413365,8572228.770830983,8572228.770961529,8572228.771065412,8572271.145129135,0,False,False,6000,6000,5000,1000,decode
ac856c0a0b6b4c4888a670db4d803a5d,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.5445113,8572228.779950755,8572228.781858884,8572228.782273017,8572228.782400314,8572228.78250402,8572271.181250386,0,False,False,5999,5999,5000,1000,decode
2261db38b9064df3be1c36cde5dc6bc4,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.59024,8572228.825742187,8572228.829382231,8572228.829811875,8572228.829941435,8572228.830046082,8572271.369879821,0,False,False,6000,6000,5000,1000,decode
9d2af50d36554bc2bea22dc2280cf0b6,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.601467,8572228.836908696,8572228.839783393,8572228.84018848,8572228.840310752,8572228.840535238,8572271.369894722,0,False,False,6000,6000,5000,1000,decode
e2b324424ef54936976c24262e4fc4f3,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.6126332,8572228.848427797,8572228.854022391,8572228.854460329,8572228.854592388,8572228.854697937,8572271.463809237,0,False,False,6000,6000,5000,1000,decode
1e180c49c8414e4ba00c3c1afb2d3893,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.6241558,8572228.859661628,8572228.864572557,8572228.864994666,8572228.865119753,8572228.86534317,8572271.463824345,0,False,False,6000,6000,5000,1000,decode
7e26f5266916451692fdb81421f60cb0,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.6465602,8572228.88203815,8572228.889687942,8572228.890098331,8572228.890221199,8572228.890444312,8572271.566971118,0,False,False,6000,6000,5000,1000,decode
374c9b21856249118e320a1d301a9e84,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.6577609,8572228.893260969,8572228.904324532,8572228.904757628,8572228.904884692,8572228.904989773,8572271.660680499,0,False,False,6000,6000,5000,1000,decode
1d25790f147f487fb598762a0362e800,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.668991,8572228.9045078,8572228.91517472,8572228.915591173,8572228.915717727,8572228.915938389,8572271.66069493,0,False,False,6000,6000,5000,1000,decode
69919cc348bf49d0b7e03bbbf709fee3,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.6802325,8572228.91567102,8572228.917068237,8572228.917469962,8572228.917583812,8572228.917807387,8572271.660707261,0,False,False,6000,6000,5000,1000,decode
7b819547cbf8497eaf29d659b77ff86f,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.702701,8572228.938512115,8572228.943270838,8572228.943703804,8572228.943825867,8572228.944044456,8572271.777084293,0,False,False,6000,6000,5000,1000,decode
9120b141c3e4436daf6161e5e6b11176,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.7142448,8572228.949732773,8572228.958335368,8572228.958807383,8572228.958930789,8572228.959051697,8572271.87119397,0,False,False,6000,6000,5000,1000,decode
e37cadb017e04860bd1bc46a2c6f1bd6,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.759227,8572228.994729752,8572229.000379281,8572229.000835868,8572229.000965245,8572229.001087658,8572272.00488539,0,False,False,6000,6000,5000,1000,decode
0e85d41cf5344082b7ecc2c389c8a13a,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.770453,8572229.006001286,8572229.01196748,8572229.012396248,8572229.01251467,8572229.01273342,8572272.004900726,0,False,False,6000,6000,5000,1000,decode
e6348ba503a9437faa95a2083ee2c71e,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.7817245,8572229.017191052,8572229.027831523,8572229.028284712,8572229.028411157,8572229.02852768,8572272.108495452,0,False,False,6000,6000,5000,1000,decode
ae68290028624fdba2b69094279d021e,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.8536212,8572229.089421934,8572229.100315344,8572229.100770455,8572229.100889487,8572229.101126557,8572272.281826802,0,False,False,6000,6000,5000,1000,decode
4fb6c63b9e894ac3ba1f8804f1fe669f,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.8651679,8572229.100755775,8572229.102291038,8572229.102711044,8572229.102826413,8572229.10305932,8572272.281841725,0,False,False,6000,6000,5000,1000,decode
da6eec1237524f1d801f56f00166fb5f,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305844.8764863,8572229.112018174,8572229.118879337,8572229.119329778,8572229.119461492,8572229.119579826,8572272.395031704,0,False,False,6000,6000,5000,1000,decode
