batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,num_retracted_queue_reqs,num_total_queue_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1777305732.6991053,decode,1,180001,0.09224921293921272,5001,1,0.0,35,0,0,35,35,0,0,0.0
6,1777305732.8949287,decode,41,270042,0.13839457536641953,205042,41,0.0,13,0,0,13,13,0,0,0.0
9,1777305732.9093487,decode,55,275152,0.14101341347353769,275097,55,0.0,0,0,0,0,0,0,0,0.0
10,1777305732.9191153,decode,55,280152,0.1435758773748275,275152,55,0.0,1,0,0,1,1,0,0,0.0
13,1777305732.933269,decode,57,285266,0.14619676545306667,285209,57,0.0,0,0,0,0,0,0,0,0.0
14,1777305732.9432638,decode,57,290266,0.14875922935435648,285266,57,0.0,1,0,0,1,1,0,0,0.0
17,1777305732.957062,decode,59,295384,0.1513821674037167,295325,59,0.0,0,0,0,0,0,0,0,0.0
18,1777305732.9672368,decode,59,300384,0.1539446313050065,295384,59,0.0,1,0,0,1,1,0,0,0.0
21,1777305732.9813864,decode,61,305506,0.15656961932548774,305445,61,0.0,0,0,0,0,0,0,0,0.0
22,1777305732.9917173,decode,61,310506,0.15913208322677755,305506,61,0.0,1,0,0,1,1,0,0,0.0
25,1777305733.006008,decode,63,315632,0.16175912121837985,315569,63,0.0,0,0,0,0,0,0,0,0.0
26,1777305733.0165102,decode,63,320632,0.16432158511966963,315632,63,0.0,1,0,0,1,1,0,0,0.0
29,1777305733.0315325,decode,65,330697,0.16947982495296599,325697,65,0.0,1,0,0,1,1,0,0,0.0
32,1777305733.0463076,decode,67,335831,0.17211096288681033,335764,67,0.0,0,0,0,0,0,0,0,0.0
33,1777305733.0574539,decode,67,340831,0.17467342678810013,335831,67,0.0,1,0,0,1,1,0,0,0.0
36,1777305733.0723977,decode,69,345969,0.17730661469306552,345900,69,0.0,0,0,0,0,0,0,0,0.0
37,1777305733.0837114,decode,69,350969,0.1798690785943553,345969,69,0.0,1,0,0,1,1,0,0,0.0
40,1777305733.0988255,decode,71,361040,0.1850303933843332,356040,71,0.0,1,0,0,1,1,0,0,0.0
42,1777305733.1122155,decode,72,366112,0.18762975676580157,361112,72,0.0,1,0,0,1,1,0,0,0.0
45,1777305733.1282132,decode,74,371260,0.19026806959856954,371186,74,0.0,0,0,0,0,0,0,0,0.0
46,1777305733.1400259,decode,74,376260,0.19283053349985932,371260,74,0.0,1,0,0,1,1,0,0,0.0
49,1777305733.1557481,decode,76,381412,0.1954708963037483,381336,76,0.0,0,0,0,0,0,0,0,0.0
50,1777305733.1677241,decode,76,386412,0.19803336020503812,381412,76,0.0,1,0,0,1,1,0,0,0.0
54,1777305733.1856227,decode,79,396570,0.20323926186689845,396491,79,0.0,0,0,0,0,0,0,0,0.0
55,1777305733.1978824,decode,79,401570,0.20580172576818825,396570,79,0.0,1,0,0,1,1,0,0,0.0
58,1777305733.2144797,decode,81,406732,0.20844721349987982,406651,81,0.0,0,0,0,0,0,0,0,0.0
59,1777305733.2268543,decode,81,416732,0.2135721413024594,406732,81,0.0,2,0,0,2,2,0,0,0.0
62,1777305733.243212,decode,84,421900,0.21622070399083254,421816,84,0.0,0,0,0,0,0,0,0,0.0
63,1777305733.2560117,decode,84,426900,0.21878316789212232,421900,84,0.0,1,0,0,1,1,0,0,0.0
66,1777305733.2760453,decode,86,432072,0.22143378055161647,431986,86,0.0,0,0,0,0,0,0,0,0.0
67,1777305733.2888384,decode,86,437072,0.22399624445290628,432072,86,0.0,1,0,0,1,1,0,0,0.0
70,1777305733.3060322,decode,88,447160,0.22916627162014855,442160,88,0.0,1,0,0,1,1,0,0,0.0
73,1777305733.3236978,decode,90,452340,0.23182098422188477,452250,90,0.0,0,0,0,0,0,0,0,0.0
74,1777305733.336866,decode,90,457340,0.23438344812317458,452340,90,0.0,1,0,0,1,1,0,0,0.0
78,1777305733.356136,decode,93,467526,0.23960369958288213,467433,93,0.0,0,0,0,0,0,0,0,0.0
79,1777305733.3695965,decode,93,472526,0.24216616348417191,467526,93,0.0,1,0,0,1,1,0,0,0.0
82,1777305733.3870256,decode,95,477716,0.24482600101371071,477621,95,0.0,0,0,0,0,0,0,0,0.0
83,1777305733.400645,decode,95,487716,0.2499509288162903,477716,95,0.0,2,0,0,2,2,0,0,0.0
86,1777305733.4187355,decode,98,492912,0.25261384130251063,492814,98,0.0,0,0,0,0,0,0,0,0.0
87,1777305733.432676,decode,98,497912,0.25517630520380047,492912,98,373.3746056323694,1,0,0,1,1,0,0,0.0
90,1777305733.4517834,decode,101,508114,0.2604047565479921,508013,101,373.3746056323694,0,0,0,0,0,0,0,0.0
91,1777305733.465923,decode,101,513114,0.26296722044928195,508114,101,373.3746056323694,1,0,0,1,1,0,0,0.0
94,1777305733.4854228,decode,104,523322,0.26819874675015515,523218,104,373.3746056323694,0,0,0,0,0,0,0,0.0
95,1777305733.4998121,decode,104,528322,0.27076121065144493,523322,104,373.3746056323694,1,0,0,1,1,0,0,0.0
98,1777305733.5187504,decode,106,533534,0.2734323230221494,533428,106,373.3746056323694,0,0,0,0,0,0,0,0.0
99,1777305733.5334263,decode,106,543534,0.278557250824729,533534,106,373.3746056323694,2,0,0,2,2,0,0,0.0
102,1777305733.5537786,decode,109,548752,0.28123143815211504,548643,109,373.3746056323694,0,0,0,0,0,0,0,0.0
103,1777305733.5702991,decode,109,558752,0.2863563659546946,548752,109,373.3746056323694,2,0,0,2,2,0,0,0.0
106,1777305733.5912304,decode,112,563976,0.28903362823876216,563864,112,373.3746056323694,0,0,0,0,0,0,0,0.0
107,1777305733.6088192,decode,112,573976,0.2941585560413418,563976,112,373.3746056323694,2,0,0,2,2,0,0,0.0
110,1777305733.6317806,decode,116,584208,0.2994023821689412,584092,116,373.3746056323694,0,0,0,0,0,0,0,0.0
111,1777305733.6490028,decode,116,589208,0.301964846070231,584208,116,373.3746056323694,1,0,0,1,1,0,0,0.0
114,1777305733.67319,decode,119,599446,0.30721174715451194,599327,119,373.3746056323694,0,0,0,0,0,0,0,0.0
115,1777305733.6906805,decode,119,609446,0.31233667495709155,599446,119,373.3746056323694,2,0,0,2,2,0,0,0.0
118,1777305733.7127948,decode,122,619568,0.3175241268788626,614568,122,373.3746056323694,1,0,0,1,1,0,0,0.0
121,1777305733.734619,decode,124,624816,0.32021368898965635,624692,124,373.3746056323694,0,0,0,0,0,0,0,0.0
122,1777305733.7524896,decode,124,634816,0.3253386167922359,624816,124,373.3746056323694,2,0,0,2,2,0,0,0.0
125,1777305733.7757447,decode,128,645072,0.33059474274656153,644944,128,373.3746056323694,0,0,0,0,0,0,0,0.0
126,1777305733.7937593,decode,128,655072,0.33571967054914115,645072,128,373.3746056323694,2,0,0,2,2,0,0,0.0
129,1777305733.817716,decode,131,665203,0.3409117349059345,660203,131,373.3746056323694,1,0,0,1,1,0,0,0.0
133,1777305733.8434615,decode,134,675471,0.34617401077362325,675337,134,373.3746056323694,0,0,0,0,0,0,0,0.0
134,1777305733.8632133,decode,134,685471,0.3512989385762028,675471,134,373.3746056323694,2,0,0,2,2,0,0,0.0
138,1777305733.8895023,decode,138,695747,0.3565653143861336,695609,138,373.3746056323694,0,0,0,0,0,0,0,0.0
139,1777305733.9095328,decode,138,705747,0.36169024218871315,695747,138,373.3746056323694,2,0,0,2,2,0,0,0.0
143,1777305733.9357917,decode,142,716031,0.366960717940886,715889,142,373.3746056323694,0,0,0,0,0,0,0,0.0
144,1777305733.956012,decode,142,726031,0.3720856457434656,716031,142,373.3746056323694,2,0,0,2,2,0,0,0.0
147,1777305733.9820762,decode,146,736323,0.3773602214378805,736177,146,373.3746056323694,0,0,0,0,0,0,0,0.0
148,1777305734.0026844,decode,146,746323,0.38248514924046007,736323,146,373.3746056323694,2,0,0,2,2,0,0,0.0
