rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
a4810b26d8a44a12945b1c5ced77bf2e,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305732.226478,8572116.467146337,8572116.873950716,8572116.876657244,8572116.884615041,8572116.887853796,8572162.011427276,0,False,False,6000,6000,5000,1000,decode
2eafd939491648c790b5311edb6c2db4,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305732.2435443,8572116.480193177,8572116.873991016,8572116.876952752,8572116.884637864,8572116.887854448,8572162.011442473,0,False,False,6000,6000,5000,1000,decode
33e97183cce745088d598960d257dbcb,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305732.2559752,8572116.491792468,8572116.8740255,8572116.877208216,8572116.884658022,8572116.887854785,8572162.011454865,0,False,False,6000,6000,5000,1000,decode
3fd7ad233c954e148a51d6a923e09328,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305732.2675326,8572116.503119126,8572116.874055592,8572116.877453642,8572116.88467727,8572116.887855116,8572162.011466604,0,False,False,6000,6000,5000,1000,decode
ad8367c909fc43a3896c95cfb4350475,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305732.2788496,8572116.514425823,8572116.874086011,8572116.877698794,8572116.884696448,8572116.887855448,8572162.011477606,0,False,False,6000,6000,5000,1000,decode
c7880ded68674d06a1aecfe437ccd7d4,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305732.3016982,8572116.537410082,8572116.874142976,8572116.878175998,8572116.884735124,8572116.887856094,8572162.011493262,0,False,False,6000,6000,5000,1000,decode
c1945eae9ee14598bc5b469d058d9ec5,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305732.374947,8572116.612057721,8572116.874315597,8572116.879571551,8572116.884848347,8572116.887857893,8572162.011521772,0,False,False,6000,6000,5000,1000,decode
6052a8be29bb4a5f93cb0af7f934b7a3,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305732.3878014,8572116.62419315,8572116.87434329,8572116.879800512,8572116.884866728,8572116.887858171,8572162.011532828,0,False,False,6000,6000,5000,1000,decode
4d1d3f04514f41b4a320de1d59aeb432,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305732.4113932,8572116.647134444,8572116.874403333,8572116.880237605,8572116.884903679,8572116.887858756,8572162.011547022,0,False,False,6000,6000,5000,1000,decode
4069de79c5f04022b3c71a20f4d83e2b,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305732.4342837,8572116.669901712,8572116.874457644,8572116.880674632,8572116.88494001,8572116.887859287,8572162.011561995,0,False,False,6000,6000,5000,1000,decode
fd656399adcb4ca1a09cfa4c157e199c,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305732.445628,8572116.681271585,8572116.874484533,8572116.88089891,8572116.88496088,8572116.887859568,8572162.01157362,0,False,False,6000,6000,5000,1000,decode
3e0799ef1e544dd5b71d800c2f1653ac,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305732.457001,8572116.69269269,8572116.874511639,8572116.881121686,8572116.884980576,8572116.887859842,8572162.01158422,0,False,False,6000,6000,5000,1000,decode
3f1ea5744aa943c282c0f49c7f434bfb,6000,5001,0,"{""type"": ""length"", ""length"": 1000}",1000,1777305732.468728,8572116.7044856,8572116.874538992,8572116.881335502,8572116.884998461,8572116.887860084,8572162.011594856,0,False,False,6000,6000,5000,1000,decode
