batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,num_retracted_queue_reqs,num_total_queue_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1777472788.6194715,decode,1,190001,0.0973741407417923,10001,1,0.0,18,0,0,18,18,0,0,0.0
6,1777472788.808088,decode,20,270021,0.1383838130180341,200021,20,0.0,7,0,0,7,7,0,0,0.0
9,1777472788.821708,decode,28,280077,0.14353744041630814,280049,28,0.0,0,0,0,0,0,0,0,0.0
10,1777472788.8304808,decode,28,280105,0.14355179021415534,280077,28,0.0,0,0,0,0,0,0,0,0.0
11,1777472788.8392327,decode,28,290105,0.14867671801673493,280105,28,0.0,1,0,0,1,1,0,0,0.0
13,1777472788.8497126,decode,29,290163,0.1487064425979899,290134,29,0.0,0,0,0,0,0,0,0,0.0
14,1777472788.8586583,decode,29,290192,0.14872130488861737,290163,29,0.0,0,0,0,0,0,0,0,0.0
15,1777472788.867594,decode,29,290221,0.14873616717924487,290192,29,0.0,0,0,0,0,0,0,0,0.0
16,1777472788.8765295,decode,29,300221,0.15386109498182443,290221,29,0.0,1,0,0,1,1,0,0,0.0
18,1777472788.8871605,decode,30,300281,0.1538918445486399,300251,30,0.0,0,0,0,0,0,0,0,0.0
19,1777472788.8962517,decode,30,300311,0.15390721933204765,300281,30,0.0,0,0,0,0,0,0,0,0.0
20,1777472788.9053962,decode,30,300341,0.1539225941154554,300311,30,0.0,0,0,0,0,0,0,0,0.0
21,1777472788.914481,decode,30,310341,0.15904752191803498,300341,30,0.0,1,0,0,1,1,0,0,0.0
23,1777472788.9258056,decode,31,310403,0.15907929647041097,310372,31,0.0,0,0,0,0,0,0,0,0.0
24,1777472788.9350457,decode,31,310434,0.15909518374659898,310403,31,0.0,0,0,0,0,0,0,0,0.0
25,1777472788.9442608,decode,31,320434,0.16422011154917854,310434,31,0.0,1,0,0,1,1,0,0,0.0
27,1777472788.9555614,decode,32,320498,0.16425291108711507,320466,32,0.0,0,0,0,0,0,0,0,0.0
28,1777472788.965011,decode,32,320530,0.16426931085608332,320498,32,0.0,0,0,0,0,0,0,0,0.0
29,1777472788.9743798,decode,32,330530,0.1693942386586629,320530,32,0.0,1,0,0,1,1,0,0,0.0
31,1777472788.9862185,decode,33,330596,0.16942806318215992,330563,33,0.0,0,0,0,0,0,0,0,0.0
32,1777472788.995728,decode,33,340596,0.1745529909847395,330596,33,0.0,1,0,0,1,1,0,0,0.0
34,1777472789.0073621,decode,34,340664,0.17458784049379705,340630,34,0.0,0,0,0,0,0,0,0,0.0
35,1777472789.0170178,decode,34,340698,0.1746052652483258,340664,34,0.0,0,0,0,0,0,0,0,0.0
36,1777472789.0266757,decode,34,350698,0.1797301930509054,340698,34,0.0,1,0,0,1,1,0,0,0.0
38,1777472789.0384793,decode,35,350768,0.17976606754552346,350733,35,0.0,0,0,0,0,0,0,0,0.0
39,1777472789.0486064,decode,35,360768,0.18489099534810302,350768,35,0.0,1,0,0,1,1,0,0,0.0
41,1777472789.0605323,decode,36,360840,0.18492789482828162,360804,36,0.0,0,0,0,0,0,0,0,0.0
42,1777472789.0707805,decode,36,370840,0.19005282263086118,360840,36,0.0,1,0,0,1,1,0,0,0.0
44,1777472789.0828412,decode,37,370914,0.1900907470966003,370877,37,0.0,0,0,0,0,0,0,0,0.0
45,1777472789.0932393,decode,37,380914,0.19521567489917985,370914,37,0.0,1,0,0,1,1,0,0,0.0
47,1777472789.1054485,decode,38,380990,0.19525462435047947,380952,38,0.0,0,0,0,0,0,0,0,0.0
48,1777472789.1160133,decode,38,390990,0.20037955215305905,380990,38,0.0,1,0,0,1,1,0,0,0.0
50,1777472789.1284041,decode,39,391068,0.20041952658991916,391029,39,0.0,0,0,0,0,0,0,0,0.0
51,1777472789.1391075,decode,39,401068,0.20554445439249874,391068,39,0.0,1,0,0,1,1,0,0,0.0
53,1777472789.151606,decode,40,411108,0.21068988190628865,401108,40,0.0,1,0,0,1,1,0,0,0.0
55,1777472789.164557,decode,41,411190,0.2107319063142698,411149,41,0.0,0,0,0,0,0,0,0,0.0
56,1777472789.1756265,decode,41,421190,0.2158568341168494,411190,41,0.0,1,0,0,1,1,0,0,0.0
58,1777472789.1885316,decode,42,421274,0.21589988351039105,421232,42,0.0,0,0,0,0,0,0,0,0.0
59,1777472789.199733,decode,42,431274,0.22102481131297064,421274,42,0.0,1,0,0,1,1,0,0,0.0
61,1777472789.2127974,decode,43,431360,0.2210688856920728,431317,43,170.35071672883538,0,0,0,0,0,0,0,0.0
62,1777472789.2241373,decode,43,441360,0.2261938134946524,431360,43,170.35071672883538,1,0,0,1,1,0,0,0.0
64,1777472789.2374418,decode,44,441448,0.2262389128593151,441404,44,170.35071672883538,0,0,0,0,0,0,0,0.0
65,1777472789.2490065,decode,44,451448,0.23136384066189467,441448,44,170.35071672883538,1,0,0,1,1,0,0,0.0
67,1777472789.2630227,decode,45,451538,0.23140996501211789,451493,45,170.35071672883538,0,0,0,0,0,0,0,0.0
68,1777472789.274653,decode,45,461538,0.23653489281469747,451538,45,170.35071672883538,1,0,0,1,1,0,0,0.0
70,1777472789.288595,decode,46,461630,0.2365820421504812,461584,46,170.35071672883538,0,0,0,0,0,0,0,0.0
71,1777472789.3004448,decode,46,471630,0.2417069699530608,461630,46,170.35071672883538,1,0,0,1,1,0,0,0.0
73,1777472789.3145719,decode,47,481677,0.2468559849163125,471677,47,170.35071672883538,1,0,0,1,1,0,0,0.0
75,1777472789.328771,decode,48,481773,0.24690518422321725,481725,48,170.35071672883538,0,0,0,0,0,0,0,0.0
76,1777472789.3410928,decode,48,491773,0.25203011202579684,481773,48,170.35071672883538,1,0,0,1,1,0,0,0.0
78,1777472789.355821,decode,49,491871,0.2520803363182621,491822,49,170.35071672883538,0,0,0,0,0,0,0,0.0
79,1777472789.368056,decode,49,501871,0.2572052641208417,491871,49,170.35071672883538,1,0,0,1,1,0,0,0.0
81,1777472789.3858647,decode,50,511921,0.2623558165624342,501921,50,170.35071672883538,1,0,0,1,1,0,0,0.0
83,1777472789.400751,decode,51,512023,0.2624080908260205,511972,51,170.35071672883538,0,0,0,0,0,0,0,0.0
84,1777472789.4133716,decode,51,522023,0.26753301862860007,512023,51,170.35071672883538,1,0,0,1,1,0,0,0.0
86,1777472789.4282238,decode,52,532075,0.27268459605575307,522075,52,170.35071672883538,1,0,0,1,1,0,0,0.0
88,1777472789.443933,decode,53,532181,0.27273892029046043,532128,53,170.35071672883538,0,0,0,0,0,0,0,0.0
89,1777472789.457814,decode,53,542181,0.27786384809304,532181,53,170.35071672883538,1,0,0,1,1,0,0,0.0
91,1777472789.4735663,decode,54,542289,0.27791919731330783,542235,54,170.35071672883538,0,0,0,0,0,0,0,0.0
92,1777472789.4875667,decode,54,552289,0.28304412511588745,542289,54,170.35071672883538,1,0,0,1,1,0,0,0.0
94,1777472789.5034113,decode,55,552399,0.2831004993217158,552344,55,170.35071672883538,0,0,0,0,0,0,0,0.0
95,1777472789.5175872,decode,55,562399,0.2882254271242954,552399,55,170.35071672883538,1,0,0,1,1,0,0,0.0
98,1777472789.5366483,decode,57,572513,0.2934087791038244,572456,57,170.35071672883538,0,0,0,0,0,0,0,0.0
99,1777472789.5511324,decode,57,582513,0.29853370690640396,572513,57,170.35071672883538,1,0,0,1,1,0,0,0.0
101,1777472789.567489,decode,58,582629,0.2985931560689139,582571,58,170.35071672883538,0,0,0,0,0,0,0,0.0
102,1777472789.5821645,decode,58,592629,0.30371808387149346,582629,58,170.35071672883538,1,0,0,1,1,0,0,0.0
105,1777472789.6022882,decode,60,602749,0.308904510807704,602689,60,170.35071672883538,0,0,0,0,0,0,0,0.0
106,1777472789.6172006,decode,60,602809,0.30893526037451946,602749,60,170.35071672883538,0,0,0,0,0,0,0,0.0
107,1777472789.6320784,decode,60,612809,0.3140601881770991,602809,60,170.35071672883538,1,0,0,1,1,0,0,0.0
