rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
10e94c8e53284cc8b4c12e3ee93c494b,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473190.4079525,8739596.290125933,8739596.291504899,8739596.29230032,8739596.292534405,8739596.29278199,8739601.235909918,0,False,False,15200,15200,15000,200,decode
022a13c488224ee4b05abd6de6835cfc,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473190.610446,8739596.489739878,8739596.704393053,8739596.707085878,8739596.709393987,8739596.712089146,8739601.277311457,0,False,False,15200,15200,15000,200,decode
2d4dfef55d0140f4b9ecad2bd954aad9,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473190.6765878,8739596.55768252,8739596.70445037,8739596.707753565,8739596.709433677,8739596.7120898,8739601.277329726,0,False,False,15200,15200,15000,200,decode
fd40ec9224554feea3f8df9944763f09,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473190.7111173,8739596.593545938,8739596.704478946,8739596.708079876,8739596.709452562,8739596.712090045,8739601.27734203,0,False,False,15200,15200,15000,200,decode
94443f8184684e5ba9dfbe874e3f1398,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473190.7479496,8739596.630735513,8739596.704506679,8739596.708414847,8739596.709472936,8739596.712090349,8739601.277360372,0,False,False,15200,15200,15000,200,decode
7f7570d78d3b46f289d080397c06e17d,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473190.7841938,8739596.665819276,8739596.704536937,8739596.708745424,8739596.709492298,8739596.712090628,8739601.277372014,0,False,False,15200,15200,15000,200,decode
57d136d104304c4d8d8c34d02b833e25,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473190.8192675,8739596.702168588,8739596.704564752,8739596.709071035,8739596.709511567,8739596.712090885,8739601.27738351,0,False,False,15200,15200,15000,200,decode
35ea7721bb454c238e69761bc278b9f6,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473190.9276075,8739596.808375424,8739596.909102596,8739596.910545666,8739596.911430946,8739596.912565885,8739601.32802048,0,False,False,15199,15199,15000,200,decode
1a79ac6911f54601a8c1a56694f9551d,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473190.9967816,8739596.8774539,8739596.909159655,8739596.911207834,8739596.91146707,8739596.91256645,8739601.328040361,0,False,False,15199,15199,15000,200,decode
2c5b89f8cca646fb8eb324404a847230,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473190.4435418,8739596.324107872,8739596.704221142,8739596.70533629,8739596.709286394,8739596.712087268,8739601.737245591,0,False,False,15211,15211,15000,211,decode
313ef0f5c9a8408498b8e73096af73e9,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473190.477554,8739596.357357515,8739596.704262728,8739596.705737783,8739596.709309466,8739596.712087974,8739601.737262247,0,False,False,15211,15211,15000,211,decode
974a0712b7034a3b9a1b6d42382c426b,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473190.510798,8739596.391818313,8739596.704296691,8739596.706062585,8739596.709330164,8739596.712088289,8739601.737274766,0,False,False,15211,15211,15000,211,decode
eb6b701830aa416db61f8e24332b68ec,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473190.5452533,8739596.424323887,8739596.704328638,8739596.706412535,8739596.709349703,8739596.712088607,8739601.737285974,0,False,False,15211,15211,15000,211,decode
5c53b7e2a32049a5986acf6f36d55ebb,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473190.577741,8739596.457026003,8739596.70436336,8739596.706747966,8739596.709373686,8739596.71208889,8739601.737297595,0,False,False,15211,15211,15000,211,decode
bd0d6c0c60ad4ed694b32f896fe51ac7,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473190.643151,8739596.523159295,8739596.704421364,8739596.707427444,8739596.70941364,8739596.712089509,8739601.73730854,0,False,False,15211,15211,15000,211,decode
7896ab9fbad448faa8cd3bf42ddcf785,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473190.8555996,8739596.73810379,8739596.909030452,8739596.909854412,8739596.911391044,8739596.912565067,8739601.776683006,0,False,False,15210,15210,15000,211,decode
10f0033162874b5badede0a7a2348b19,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473190.891532,8739596.774159737,8739596.90907069,8739596.910222119,8739596.911411978,8739596.912565637,8739601.776698966,0,False,False,15210,15210,15000,211,decode
6946cd1c6e2443fe8f909416b1be39ba,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473190.9617999,8739596.843342163,8739596.909132028,8739596.910882533,8739596.911449041,8739596.912566159,8739601.77671173,0,False,False,15210,15210,15000,211,decode
ee6e0687d3334bfda0d1e6abb4bd7c65,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473191.030875,8739596.911874408,8739596.921094416,8739596.921640413,8739596.92182647,8739596.922235215,8739601.776723417,0,False,False,15210,15210,15000,211,decode
23e4c44cfbac46feaf0f7731b2b72749,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473191.0653012,8739596.945585985,8739596.953072054,8739596.953625584,8739596.953778071,8739596.954015303,8739601.951869369,0,False,False,15211,15211,15000,211,decode
2c6f0c8a0cc240f8851c9dd4cc7733cb,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473191.0990033,8739596.992431361,8739596.999173667,8739596.999754962,8739596.999916779,8739597.000157764,8739602.153317014,0,False,False,15211,15211,15000,211,decode
143d3e39046f4791b631367433ab729a,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473191.1473465,8739597.048188608,8739597.055527473,8739597.056099882,8739597.05626376,8739597.056514008,8739602.399880297,0,False,False,15211,15211,15000,211,decode
e9325f2d7a844122a64c40748bf8378c,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.2546933,8739597.15553248,8739597.163998185,8739597.164583333,8739597.164743584,8739597.165034525,8739602.39990377,0,False,False,15200,15200,15000,200,decode
a5f49ecc8aeb4af6b291716d9a3e58a1,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.309131,8739597.199331079,8739597.20505983,8739597.205640849,8739597.205797065,8739597.206084693,8739602.562658228,0,False,False,15200,15200,15000,200,decode
5caae8c6bf6e47a5ba72b9a3fce14e86,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473191.2018273,8739597.101086775,8739597.10419329,8739597.1047681,8739597.104925307,8739597.105164822,8739602.602488674,0,False,False,15210,15210,15000,211,decode
ab52458065e54ab7967ab070300ad821,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.4196355,8739597.299380789,8739597.304860152,8739597.305460794,8739597.305605298,8739597.305875812,8739602.926365359,0,False,False,15200,15200,15000,200,decode
7db9a40e8b8044f28167fc6f36710006,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473191.3527653,8739597.23303603,8739597.237403832,8739597.237977445,8739597.238135045,8739597.238430528,8739603.128186183,0,False,False,15211,15211,15000,211,decode
49e7528af14649c38e1397ffe19c3094,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.4858887,8739597.366007118,8739597.375245785,8739597.375839695,8739597.375993583,8739597.376260404,8739603.167987853,0,False,False,15200,15200,15000,200,decode
43fb57890cf74eb697d5096ee653b656,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473191.3864594,8739597.2661968,8739597.270663016,8739597.271253247,8739597.271409849,8739597.271674577,8739603.250769706,0,False,False,15211,15211,15000,211,decode
533d8a8b50184ac7926f773c6497dc3e,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.5194228,8739597.400313318,8739597.411394546,8739597.411963295,8739597.412116997,8739597.41241371,8739603.290283334,0,False,False,15199,15199,15000,200,decode
c6303f7c9f7c4b47b076a587e93e949e,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.5538223,8739597.436027382,8739597.448719285,8739597.449333068,8739597.44949064,8739597.449761389,8739603.415445853,0,False,False,15200,15200,15000,200,decode
fec9b7b8c14c47a383a771e4e3f79f9a,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473191.4527926,8739597.332474658,8739597.339697829,8739597.340294678,8739597.340460386,8739597.340728562,8739603.498246107,0,False,False,15211,15211,15000,211,decode
625584540cd1400d860d8d0505534fdd,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.5906882,8739597.47150827,8739597.47422012,8739597.474774921,8739597.474924425,8739597.47521128,8739603.498262588,0,False,False,15200,15200,15000,200,decode
5a845bd9e427406dbf9baaf93ab475dd,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.62492,8739597.505185574,8739597.512594841,8739597.513209404,8739597.51337181,8739597.513659323,8739603.620148476,0,False,False,15200,15200,15000,200,decode
6e8ecbee10544fd3a8e7c5ab7f155b61,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.6586087,8739597.539156938,8739597.55130011,8739597.551860675,8739597.55201072,8739597.552295081,8739603.741935026,0,False,False,15200,15200,15000,200,decode
c8dba3ab111a476e96fa611f5efd5384,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.7256584,8739597.605373,8739597.619693633,8739597.620257562,8739597.62041922,8739597.620708078,8739603.942969672,0,False,False,15200,15200,15000,200,decode
94780a7e5f9f477a9ad9765b7fd47ab8,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.758774,8739597.639451558,8739597.652294422,8739597.6528842,8739597.653044237,8739597.653340995,8739604.025483292,0,False,False,15200,15200,15000,200,decode
77c383f2305746689580f3c29c3bce0e,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473191.692568,8739597.572245909,8739597.578532783,8739597.579081912,8739597.579232387,8739597.57952411,8739604.265908832,0,False,False,15211,15211,15000,211,decode
f6cd0413b4df4150a13795813635b4ba,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.8618443,8739597.74205023,8739597.754488643,8739597.75507049,8739597.755225433,8739597.755528014,8739604.305410648,0,False,False,15199,15199,15000,200,decode
33dc0804198c4807b8fdf5bb8863070c,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.8954604,8739597.775639929,8739597.78499401,8739597.785566235,8739597.78571158,8739597.786003867,8739604.39140345,0,False,False,15200,15200,15000,200,decode
f5e443c0b90f4368b1fede1833bfdcb4,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473191.7928634,8739597.674218964,8739597.681257773,8739597.681829324,8739597.681969045,8739597.68226187,8739604.552916829,0,False,False,15211,15211,15000,211,decode
d940c2085a8b415a94ac495917e0f7fa,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473191.963353,8739597.843836106,8739597.84736615,8739597.847959112,8739597.848118898,8739597.848415157,8739604.552943317,0,False,False,15200,15200,15000,200,decode
5a0ccf60a938432a9b1a905b00c1e1d6,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473191.827638,8739597.708320022,8739597.710640106,8739597.711195732,8739597.711346187,8739597.711638657,8739604.640145691,0,False,False,15211,15211,15000,211,decode
8721697dbe0241ac9bfe44ff7925e6d5,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473192.0332932,8739597.914323416,8739597.92690141,8739597.92749103,8739597.927636666,8739597.92793004,8739604.762074063,0,False,False,15200,15200,15000,200,decode
7b625d749ae5482886d9554b2afaf8b9,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473191.9290383,8739597.809933374,8739597.815959182,8739597.816559184,8739597.816714078,8739597.817002645,8739604.923175393,0,False,False,15211,15211,15000,211,decode
23a444132a0b444995c88900dd3457a7,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473192.1017601,8739597.981678009,8739597.99276868,8739597.993340505,8739597.993504565,8739597.993793983,8739604.923201421,0,False,False,15200,15200,15000,200,decode
d01e04c8ae6d49569704404f2d9ff938,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473191.9972548,8739597.879834563,8739597.894629365,8739597.89525438,8739597.895429118,8739597.895720633,8739605.121704297,0,False,False,15211,15211,15000,211,decode
66434b0ab6004502a25cdcb63218cc8d,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473192.2011094,8739598.081031067,8739598.095365107,8739598.095945263,8739598.096102415,8739598.096391149,8739605.160908012,0,False,False,15199,15199,15000,200,decode
cbee5dc0c000427ca7821ca7ffc52365,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473192.2344365,8739598.115084227,8739598.130883232,8739598.131582508,8739598.131754236,8739598.132054495,8739605.245661285,0,False,False,15200,15200,15000,200,decode
7ea76fb508654628bbb04053ed68888c,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.0677388,8739597.948347729,8739597.959668215,8739597.960249472,8739597.960408652,8739597.960703786,8739605.284964217,0,False,False,15210,15210,15000,211,decode
7b57900bf4f04dbdba0f3565bd66bfa8,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.1350849,8739598.014516367,8739598.026433052,8739598.027001584,8739598.02715129,8739598.027443642,8739605.448309483,0,False,False,15211,15211,15000,211,decode
c2996d21a82c41a3be381698d1adb6fb,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.1679125,8739598.0477092,8739598.060748437,8739598.061324729,8739598.06148539,8739598.061769774,8739605.530084513,0,False,False,15211,15211,15000,211,decode
c3598fb70f954daeb657c41dc087f229,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473192.4411027,8739598.321034817,8739598.32604345,8739598.3265928,8739598.326735256,8739598.327158593,8739605.611182215,0,False,False,15200,15200,15000,200,decode
cfb5eea1a4e248ce882c3ed583bce45a,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473192.4744437,8739598.354240097,8739598.371197114,8739598.371836716,8739598.371991945,8739598.372261884,8739605.732079718,0,False,False,15200,15200,15000,200,decode
2e747ee18736495aa0365e8ae571a4e1,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473192.5076494,8739598.387398794,8739598.39089886,8739598.391511468,8739598.391663998,8739598.392078092,8739605.732094338,0,False,False,15200,15200,15000,200,decode
1b87d364aff14a1cb6001d59d38cd8fc,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.268512,8739598.151578542,8739598.166848728,8739598.167490963,8739598.167657996,8739598.167946862,8739605.770775683,0,False,False,15210,15210,15000,211,decode
08c6f59bf51648d8a24daeceff3a88b3,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.304996,8739598.187981065,8739598.204574874,8739598.205154719,8739598.205310006,8739598.205600817,8739605.854709499,0,False,False,15211,15211,15000,211,decode
7e663baff7424236a38fe9162021ac71,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.341394,8739598.22114756,8739598.223075137,8739598.223651472,8739598.223798055,8739598.224198654,8739605.854725929,0,False,False,15211,15211,15000,211,decode
8488e572caf545b0800ee6d56975f97d,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.3745627,8739598.254498096,8739598.266652334,8739598.267237619,8739598.26739584,8739598.267680204,8739605.981554238,0,False,False,15211,15211,15000,211,decode
ab8749209ad74c199bba6bc3384ff126,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473192.6080217,8739598.488572445,8739598.503655827,8739598.504264588,8739598.504426619,8739598.504710045,8739605.98158514,0,False,False,15200,15200,15000,200,decode
db07e966eacc45939e02e986cec97e63,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473192.641975,8739598.521450939,8739598.524144797,8739598.524745291,8739598.524893692,8739598.525302634,8739605.981596861,0,False,False,15200,15200,15000,200,decode
18189e1965a74f8782cec4b53e60f614,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.4079127,8739598.287701314,8739598.30688769,8739598.307508092,8739598.307663828,8739598.307931159,8739606.06338689,0,False,False,15211,15211,15000,211,decode
450b168c06234e458b3fe824e936397d,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473192.6748517,8739598.556606498,8739598.57178002,8739598.572415616,8739598.572575869,8739598.572865231,8739606.101971213,0,False,False,15199,15199,15000,200,decode
d9ac211e936a4fc1ad7a1d5a2bd5b41f,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.5408053,8739598.421263231,8739598.436845157,8739598.43749187,8739598.437649664,8739598.437918631,8739606.304399448,0,False,False,15211,15211,15000,211,decode
27c58c50516a4ca7aff0cf2cb24109d1,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.574671,8739598.454609405,8739598.456899231,8739598.457508475,8739598.457652902,8739598.458083438,8739606.304415803,0,False,False,15211,15211,15000,211,decode
5b11bafd911d42b1a8fcd57afbd43e92,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473192.8449576,8739598.724830523,8739598.743402867,8739598.744045962,8739598.744208815,8739598.74450604,8739606.385379115,0,False,False,15200,15200,15000,200,decode
27a1360ea9c84726b6666e5bc0009b5c,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.7100208,8739598.59006735,8739598.592605567,8739598.593202312,8739598.59334226,8739598.59377836,8739606.545139069,0,False,False,15211,15211,15000,211,decode
f8445d20e2084653afda28d0fcc4d6ae,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.7434788,8739598.625517871,8739598.64704544,8739598.64770136,8739598.647865128,8739598.648130037,8739606.66652492,0,False,False,15211,15211,15000,211,decode
6e07de58d81e440487725addfff665d7,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.7789335,8739598.658549368,8739598.668573804,8739598.669167284,8739598.669314839,8739598.669745613,8739606.666540941,0,False,False,15211,15211,15000,211,decode
c9981e1e64724620afd2170bad7d03fa,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473193.0141711,8739598.894012714,8739598.918765385,8739598.919464353,8739598.919626905,8739598.919892568,8739606.666572614,0,False,False,15200,15200,15000,200,decode
91684557b46044379dae5b42a3c8f341,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.811948,8739598.691551132,8739598.696700182,8739598.697305625,8739598.697467575,8739598.697759354,8739606.74859052,0,False,False,15211,15211,15000,211,decode
2c270a2f16b449269ddb179dbcf9b8ba,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473193.1143258,8739598.993150482,8739598.996198604,8739598.996817866,8739598.996967861,8739598.997382812,8739606.748629965,0,False,False,15200,15200,15000,200,decode
530ecf957f474fd490d876c4954c235d,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.8782334,8739598.757493114,8739598.76564796,8739598.766271137,8739598.766427588,8739598.766840838,8739606.830490666,0,False,False,15211,15211,15000,211,decode
9ef7b910c6d34b0ea8c6758f2e00a846,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473193.1465712,8739599.025759188,8739599.051078564,8739599.051740767,8739599.051899487,8739599.052194012,8739606.86968965,0,False,False,15199,15199,15000,200,decode
c1a0387f7d2b47f39ab0d65699263682,15200,15001,0,"{""type"": ""length"", ""length"": 200}",200,1777473193.1792045,8739599.058219746,8739599.075459864,8739599.076159278,8739599.07631407,8739599.076748177,8739606.869703894,0,False,False,15199,15199,15000,200,decode
320e12af955f4b1296004457d3b19278,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.9109113,8739598.790347885,8739598.794418093,8739598.795039926,8739598.795197895,8739598.795496456,8739606.917501984,0,False,False,15211,15211,15000,211,decode
4c16a8a3d5944dad8340454dae83e459,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.943776,8739598.826661913,8739598.842380134,8739598.843009217,8739598.843170164,8739598.84347145,8739606.999878595,0,False,False,15211,15211,15000,211,decode
50791b26a8344351a28e5d11f6444809,15211,15001,0,"{""type"": ""length"", ""length"": 211}",211,1777473192.9801257,8739598.860739294,8739598.865360346,8739598.866038818,8739598.866204128,8739598.866626708,8739606.999895062,0,False,False,15211,15211,15000,211,decode
