rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
batchq-000000-type_a-0.000000000,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.979510332,9340698.79116148,9340698.848813511,9340698.878140485,9340702.711894851,0,False,False,8050,8050,8000,50,decode
batchq-000006-type_a-0.000301012,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.980580349,9340698.792672316,9340698.848931104,9340698.878144277,9340702.7119353,0,False,False,8050,8050,8000,50,decode
batchq-000009-type_a-0.000432687,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.9806581,9340698.793434236,9340698.84899802,9340698.878145212,9340702.711955776,0,False,False,8050,8050,8000,50,decode
batchq-000010-type_a-0.000523981,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.980684545,9340698.79367858,9340698.84901649,9340698.878145944,9340702.711967856,0,False,False,8050,8050,8000,50,decode
batchq-000012-type_a-0.000540943,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.980736772,9340698.794183096,9340698.84905388,9340698.878146611,9340702.711983392,0,False,False,8050,8050,8000,50,decode
batchq-000013-type_a-0.000557903,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.980762288,9340698.794428648,9340698.849072132,9340698.87814736,9340702.711994737,0,False,False,8050,8050,8000,50,decode
batchq-000014-type_a-0.000563887,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.980789024,9340698.794668877,9340698.849090492,9340698.878147716,9340702.712006493,0,False,False,8050,8050,8000,50,decode
batchq-000016-type_a-0.000765010,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.980839944,9340698.795161648,9340698.849127496,9340698.878148302,9340702.712021336,0,False,False,8050,8050,8000,50,decode
batchq-000018-type_a-0.000856918,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.98089164,9340698.79565618,9340698.849164203,9340698.87814901,9340702.712036463,0,False,False,8050,8050,8000,50,decode
batchq-000019-type_a-0.000980043,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.9809168,9340698.795893831,9340698.849183315,9340698.87814928,9340702.712047758,0,False,False,8050,8050,8000,50,decode
batchq-000020-type_a-0.000982123,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.980944589,9340698.796134438,9340698.849201968,9340698.87814972,9340702.71205892,0,False,False,8050,8050,8000,50,decode
batchq-000023-type_a-0.001332479,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.98102141,9340698.79686966,9340698.849257289,9340698.878151538,9340702.712077178,0,False,False,8050,8050,8000,50,decode
batchq-000026-type_a-0.001511122,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981098723,9340698.797605066,9340698.849312373,9340698.878152348,9340702.71209561,0,False,False,8050,8050,8000,50,decode
batchq-000030-type_a-0.001534991,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981201207,9340698.798574625,9340698.849390712,9340698.878154043,9340702.712116893,0,False,False,8050,8050,8000,50,decode
batchq-000031-type_a-0.001555059,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981226832,9340698.798809925,9340698.849408703,9340698.878154349,9340702.712128319,0,False,False,8050,8050,8000,50,decode
batchq-000034-type_a-0.001575320,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.98130498,9340698.7995387,9340698.849463435,9340698.878155353,9340702.712146401,0,False,False,8050,8050,8000,50,decode
batchq-000036-type_a-0.001611595,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.98135868,9340698.800018484,9340698.84950065,9340698.878155729,9340702.712161325,0,False,False,8050,8050,8000,50,decode
batchq-000039-type_a-0.001685988,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981435891,9340698.80075046,9340698.849555291,9340698.878156647,9340702.712180084,0,False,False,8050,8050,8000,50,decode
batchq-000040-type_a-0.001742542,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981464919,9340698.800990772,9340698.8495736,9340698.878157029,9340702.712191284,0,False,False,8050,8050,8000,50,decode
batchq-000041-type_a-0.001776964,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.98149051,9340698.801233623,9340698.84959204,9340698.878157364,9340702.71220253,0,False,False,8050,8050,8000,50,decode
batchq-000044-type_a-0.001871601,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981566932,9340698.801961165,9340698.849646626,9340698.878158528,9340702.712220348,0,False,False,8050,8050,8000,50,decode
batchq-000045-type_a-0.001886624,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.98159236,9340698.802202009,9340698.849665225,9340698.878158756,9340702.712231653,0,False,False,8050,8050,8000,50,decode
batchq-000046-type_a-0.001921176,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981619032,9340698.802448664,9340698.849683408,9340698.878159137,9340702.712242875,0,False,False,8050,8050,8000,50,decode
batchq-000047-type_a-0.001966804,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.98164508,9340698.802690068,9340698.849701652,9340698.878159411,9340702.712254064,0,False,False,8050,8050,8000,50,decode
batchq-000050-type_a-0.002027697,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981725264,9340698.803413296,9340698.849757103,9340698.878160365,9340702.712272938,0,False,False,8050,8050,8000,50,decode
batchq-000051-type_a-0.002181491,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981751012,9340698.803652558,9340698.849775726,9340698.878160601,9340702.712284703,0,False,False,8050,8050,8000,50,decode
batchq-000052-type_a-0.002203764,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981778316,9340698.803889437,9340698.849793904,9340698.878160976,9340702.712296031,0,False,False,8050,8050,8000,50,decode
batchq-000054-type_a-0.002275967,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981829708,9340698.804376362,9340698.849830689,9340698.878161753,9340702.712311247,0,False,False,8050,8050,8000,50,decode
batchq-000055-type_a-0.002365718,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981854966,9340698.804613516,9340698.849849228,9340698.878162488,9340702.712322496,0,False,False,8050,8050,8000,50,decode
batchq-000056-type_a-0.002370474,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981879735,9340698.804852815,9340698.849867484,9340698.878162868,9340702.712333687,0,False,False,8050,8050,8000,50,decode
batchq-000057-type_a-0.002464007,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981904624,9340698.805095486,9340698.84988556,9340698.878163252,9340702.71234556,0,False,False,8050,8050,8000,50,decode
batchq-000058-type_a-0.002482704,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.981986511,9340698.805334823,9340698.849903854,9340698.878164113,9340702.712362742,0,False,False,8050,8050,8000,50,decode
batchq-000060-type_a-0.002489430,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982039567,9340698.805822164,9340698.849940116,9340698.87816549,9340702.712377978,0,False,False,8050,8050,8000,50,decode
batchq-000064-type_a-0.002786799,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982145583,9340698.806790596,9340698.850012815,9340698.878167173,9340702.712399399,0,False,False,8050,8050,8000,50,decode
batchq-000066-type_a-0.003123862,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.98219478,9340698.80727936,9340698.850049203,9340698.878172118,9340702.712414348,0,False,False,8050,8050,8000,50,decode
batchq-000067-type_a-0.003289095,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982223717,9340698.80752453,9340698.850067295,9340698.878172576,9340702.712425692,0,False,False,8050,8050,8000,50,decode
batchq-000068-type_a-0.003325424,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982250243,9340698.807766197,9340698.85008526,9340698.878173055,9340702.712444369,0,False,False,8050,8050,8000,50,decode
batchq-000070-type_a-0.003335701,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982300475,9340698.808246205,9340698.850121468,9340698.878173884,9340702.712459387,0,False,False,8050,8050,8000,50,decode
batchq-000071-type_a-0.003450976,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982324852,9340698.80849634,9340698.850139532,9340698.878174426,9340702.712470803,0,False,False,8050,8050,8000,50,decode
batchq-000072-type_a-0.003508986,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982350318,9340698.808734534,9340698.85015867,9340698.878174812,9340702.712482397,0,False,False,8050,8050,8000,50,decode
batchq-000073-type_a-0.003522001,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.98237882,9340698.808971426,9340698.850176971,9340698.878175331,9340702.712494172,0,False,False,8050,8050,8000,50,decode
batchq-000075-type_a-0.003590356,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982429707,9340698.809462976,9340698.850213118,9340698.878176207,9340702.712509088,0,False,False,8050,8050,8000,50,decode
batchq-000076-type_a-0.003593855,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982457705,9340698.809705377,9340698.850231389,9340698.87817706,9340702.71252052,0,False,False,8050,8050,8000,50,decode
batchq-000079-type_a-0.003833897,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.98253394,9340698.810433444,9340698.850287545,9340698.878178405,9340702.712538633,0,False,False,8050,8050,8000,50,decode
batchq-000080-type_a-0.003863843,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982559487,9340698.810676424,9340698.850305457,9340698.878179112,9340702.712550145,0,False,False,8050,8050,8000,50,decode
batchq-000083-type_a-0.003972469,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982637469,9340698.8114015,9340698.85036327,9340698.878180588,9340702.71256792,0,False,False,8050,8050,8000,50,decode
batchq-000084-type_a-0.004009823,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.9826623,9340698.811639488,9340698.850381052,9340698.878180914,9340702.712579073,0,False,False,8050,8050,8000,50,decode
batchq-000087-type_a-0.004083234,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982737234,9340698.812366137,9340698.85043563,9340698.878181756,9340702.712597504,0,False,False,8050,8050,8000,50,decode
batchq-000088-type_a-0.004162357,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982762637,9340698.812602924,9340698.850453628,9340698.878182001,9340702.712608576,0,False,False,8050,8050,8000,50,decode
batchq-000089-type_a-0.004182796,8050,8001,0,"{""type"": ""length"", ""length"": 50}",50,1778074199.1153333,9340697.682541126,9340697.982787766,9340698.812842468,9340698.85047188,9340698.87818222,9340702.71261967,0,False,False,8050,8050,8000,50,decode
