rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
batchq-000000-type_a-0.000000000,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.260217885,9337601.090760564,9337601.147906248,9337601.177026348,9337604.171204291,0,False,False,8027,8027,8000,27,decode
batchq-000006-type_a-0.000301012,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.261327036,9337601.092268296,9337601.148021834,9337601.177031344,9337604.171254031,0,False,False,8027,8027,8000,27,decode
batchq-000009-type_a-0.000432687,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.261413196,9337601.093017517,9337601.148078136,9337601.177032627,9337604.17127866,0,False,False,8027,8027,8000,27,decode
batchq-000010-type_a-0.000523981,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.261439284,9337601.093263434,9337601.148096396,9337601.177032916,9337604.17129148,0,False,False,8027,8027,8000,27,decode
batchq-000012-type_a-0.000540943,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.261491943,9337601.093761751,9337601.148132272,9337601.177033748,9337604.171309257,0,False,False,8027,8027,8000,27,decode
batchq-000013-type_a-0.000557903,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.261516824,9337601.094006397,9337601.148149816,9337601.17703408,9337604.17132221,0,False,False,8027,8027,8000,27,decode
batchq-000014-type_a-0.000563887,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.261542927,9337601.094245473,9337601.148167396,9337601.177034428,9337604.17133545,0,False,False,8027,8027,8000,27,decode
batchq-000016-type_a-0.000765010,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.261593148,9337601.09474218,9337601.148203203,9337601.177035293,9337604.171351895,0,False,False,8027,8027,8000,27,decode
batchq-000018-type_a-0.000856918,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.261645157,9337601.095221184,9337601.148238696,9337601.177035961,9337604.171373053,0,False,False,8027,8027,8000,27,decode
batchq-000019-type_a-0.000980043,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.261670336,9337601.09546894,9337601.148257283,9337601.177036336,9337604.171385743,0,False,False,8027,8027,8000,27,decode
batchq-000020-type_a-0.000982123,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.261697516,9337601.095712297,9337601.148274941,9337601.177036608,9337604.171398336,0,False,False,8027,8027,8000,27,decode
batchq-000023-type_a-0.001332479,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.261773927,9337601.096437767,9337601.148327904,9337601.177038122,9337604.171419812,0,False,False,8027,8027,8000,27,decode
batchq-000026-type_a-0.001511122,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.261851916,9337601.097161068,9337601.148386553,9337601.177039672,9337604.171441307,0,False,False,8027,8027,8000,27,decode
batchq-000030-type_a-0.001534991,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.26195293,9337601.09813737,9337601.148457238,9337601.177041637,9337604.171466868,0,False,False,8027,8027,8000,27,decode
batchq-000031-type_a-0.001555059,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.261977714,9337601.09838388,9337601.148474848,9337601.177042073,9337604.171479644,0,False,False,8027,8027,8000,27,decode
batchq-000034-type_a-0.001575320,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.262055742,9337601.099106127,9337601.148527335,9337601.177043434,9337604.171500001,0,False,False,8027,8027,8000,27,decode
batchq-000036-type_a-0.001611595,8027,8001,0,"{""type"": ""length"", ""length"": 27}",27,1778071102.347407,9337599.953894388,9337600.262109278,9337601.099600034,9337601.148563374,9337601.177044095,9337604.17151692,0,False,False,8027,8027,8000,27,decode
