batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1778144805.5609303,decode,243,1944486,0.9965350363126759,1944243,243,0.0,19757,0,243,1944000,1944243,1944243,0.9964105005670733,0,19757,0,0,0,0.0
4,1778144805.600355,decode,243,1944729,0.9966595720582786,1944486,243,0.0,19757,0,243,1944243,1944486,1944486,0.9965350363126759,0,19757,0,0,0,0.0
5,1778144805.640886,decode,243,1944972,0.9967841078038813,1944729,243,0.0,19757,0,243,1944486,1944729,1944729,0.9966595720582786,0,19757,0,0,0,0.0
6,1778144805.6805398,decode,243,1945215,0.9969086435494839,1944972,243,0.0,19757,0,243,1944729,1944972,1944972,0.9967841078038813,0,19757,0,0,0,0.0
7,1778144805.7200615,decode,243,1945458,0.9970331792950867,1945215,243,0.0,19757,0,243,1944972,1945215,1945215,0.9969086435494839,0,19757,0,0,0,0.0
8,1778144805.7604883,decode,243,1945701,0.9971577150406894,1945458,243,0.0,19757,0,243,1945215,1945458,1945458,0.9970331792950867,0,19757,0,0,0,0.0
9,1778144805.8013372,decode,243,1945944,0.9972822507862921,1945701,243,0.0,19757,0,243,1945458,1945701,1945701,0.9971577150406894,0,19757,0,0,0,0.0
10,1778144805.8417861,decode,243,1946187,0.9974067865318947,1945944,243,0.0,19757,0,243,1945701,1945944,1945944,0.9972822507862921,0,19757,0,0,0,0.0
11,1778144805.8818338,decode,243,1946430,0.9975313222774974,1946187,243,0.0,19757,0,243,1945944,1946187,1946187,0.9974067865318947,0,19757,0,0,0,0.0
12,1778144805.9218884,decode,243,1946673,0.9976558580231001,1946430,243,0.0,19757,0,243,1946187,1946430,1946430,0.9975313222774974,0,19757,0,0,0,0.0
13,1778144805.9618309,decode,243,1946916,0.9977803937687028,1946673,243,0.0,19757,0,243,1946430,1946673,1946673,0.9976558580231001,0,19757,0,0,0,0.0
14,1778144806.0019739,decode,243,1947159,0.9979049295143054,1946916,243,0.0,19757,0,243,1946673,1946916,1946916,0.9977803937687028,0,19757,0,0,0,0.0
15,1778144806.0420446,decode,243,1947402,0.9980294652599081,1947159,243,0.0,19757,0,243,1946916,1947159,1947159,0.9979049295143054,0,19757,0,0,0,0.0
16,1778144806.0818512,decode,243,1947645,0.9981540010055109,1947402,243,0.0,19757,0,243,1947159,1947402,1947402,0.9980294652599081,0,19757,0,0,0,0.0
17,1778144806.1219828,decode,243,1947888,0.9982785367511136,1947645,243,0.0,19757,0,243,1947402,1947645,1947645,0.9981540010055109,0,19757,0,0,0,0.0
18,1778144806.1626909,decode,243,1948131,0.9984030724967162,1947888,243,0.0,19757,0,243,1947645,1947888,1947888,0.9982785367511136,0,19757,0,0,0,0.0
19,1778144806.2026021,decode,243,1948374,0.9985276082423189,1948131,243,0.0,19757,0,243,1947888,1948131,1948131,0.9984030724967162,0,19757,0,0,0,0.0
20,1778144806.2424364,decode,243,1948617,0.9986521439879216,1948374,243,0.0,19757,0,243,1948131,1948374,1948374,0.9985276082423189,0,19757,0,0,0,0.0
21,1778144806.2823715,decode,243,1948860,0.9987766797335242,1948617,243,0.0,19757,0,243,1948374,1948617,1948617,0.9986521439879216,0,19757,0,0,0,0.0
22,1778144806.322815,decode,243,1949103,0.9989012154791269,1948860,243,0.0,19757,0,243,1948617,1948860,1948860,0.9987766797335242,0,19757,0,0,0,0.0
23,1778144806.3628159,decode,243,1949346,0.9990257512247296,1949103,243,0.0,19757,0,243,1948860,1949103,1949103,0.9989012154791269,0,19757,0,0,0,0.0
24,1778144806.403302,decode,243,1949589,0.9991502869703323,1949346,243,0.0,19757,0,243,1949103,1949346,1949346,0.9990257512247296,0,19757,0,0,0,0.0
25,1778144806.4432344,decode,243,1949832,0.999274822715935,1949589,243,0.0,19757,0,243,1949346,1949589,1949589,0.9991502869703323,0,19757,0,0,0,0.0
26,1778144806.4835825,decode,243,1950075,0.9993993584615377,1949832,243,0.0,19757,0,243,1949589,1949832,1949832,0.999274822715935,0,19757,0,0,0,0.0
27,1778144806.5240948,decode,243,1950318,0.9995238942071404,1950075,243,0.0,19757,0,243,1949832,1950075,1950075,0.9993993584615377,0,19757,0,0,0,0.0
28,1778144806.5657814,decode,243,1950561,0.9996484299527431,1950318,243,0.0,19757,0,243,1950075,1950318,1950318,0.9995238942071404,0,19757,0,0,0,0.0
29,1778144806.6056762,decode,243,1950804,0.9997729656983457,1950561,243,0.0,19757,0,243,1950318,1950561,1950561,0.9996484299527431,0,19757,0,0,0,0.0
30,1778144806.6453109,decode,243,1951047,0.9998975014439484,1950804,243,0.0,19757,0,243,1950561,1950804,1950804,0.9997729656983457,0,19757,0,0,0,0.0
31,1778144806.775076,decode,243,1943260,0.9959067201640797,1951047,242,0.0,19757,0,243,1950804,1951047,1951047,0.9998975014439484,0,19757,0,0,0,0.0
32,1778144806.8151252,decode,242,1943502,0.9960307434169021,1943260,242,0.0,19757,1,242,1943018,1943260,1943260,0.9959067201640797,1,19758,0,0,0,0.0
33,1778144806.8550153,decode,242,1943744,0.9961547666697246,1943502,242,0.0,19757,0,242,1943260,1943502,1943502,0.9960307434169021,1,19758,0,0,0,0.0
34,1778144806.8948793,decode,242,1943986,0.9962787899225469,1943744,242,0.0,19757,0,242,1943502,1943744,1943744,0.9961547666697246,1,19758,0,0,0,0.0
35,1778144806.9343522,decode,242,1944228,0.9964028131753694,1943986,242,0.0,19757,0,242,1943744,1943986,1943986,0.9962787899225469,1,19758,0,0,0,0.0
36,1778144806.9736688,decode,242,1944470,0.9965268364281918,1944228,242,0.0,19757,0,242,1943986,1944228,1944228,0.9964028131753694,1,19758,0,0,0,0.0
37,1778144807.0136912,decode,242,1944712,0.9966508596810142,1944470,242,0.0,19757,0,242,1944228,1944470,1944470,0.9965268364281918,1,19758,0,0,0,0.0
38,1778144807.0541706,decode,242,1944954,0.9967748829338366,1944712,242,0.0,19757,0,242,1944470,1944712,1944712,0.9966508596810142,1,19758,0,0,0,0.0
39,1778144807.094162,decode,242,1945196,0.9968989061866591,1944954,242,0.0,19757,0,242,1944712,1944954,1944954,0.9967748829338366,1,19758,0,0,0,0.0
40,1778144807.135011,decode,242,1945438,0.9970229294394816,1945196,242,0.0,19757,0,242,1944954,1945196,1945196,0.9968989061866591,1,19758,0,0,0,0.0
41,1778144807.1751814,decode,242,1945680,0.9971469526923039,1945438,242,0.0,19757,0,242,1945196,1945438,1945438,0.9970229294394816,1,19758,0,0,0,0.0
42,1778144807.2159245,decode,242,1945922,0.9972709759451264,1945680,242,809.280461862732,19757,0,242,1945438,1945680,1945680,0.9971469526923039,1,19758,0,0,0,0.0
43,1778144807.2555008,decode,242,1946164,0.9973949991979488,1945922,242,809.280461862732,19757,0,242,1945680,1945922,1945922,0.9972709759451264,1,19758,0,0,0,0.0
44,1778144807.2955432,decode,242,1946406,0.9975190224507712,1946164,242,809.280461862732,19757,0,242,1945922,1946164,1946164,0.9973949991979488,1,19758,0,0,0,0.0
45,1778144807.3358722,decode,242,1946648,0.9976430457035936,1946406,242,809.280461862732,19757,0,242,1946164,1946406,1946406,0.9975190224507712,1,19758,0,0,0,0.0
46,1778144807.3760846,decode,242,1946890,0.9977670689564161,1946648,242,809.280461862732,19757,0,242,1946406,1946648,1946648,0.9976430457035936,1,19758,0,0,0,0.0
47,1778144807.4163148,decode,242,1947132,0.9978910922092386,1946890,242,809.280461862732,19757,0,242,1946648,1946890,1946890,0.9977670689564161,1,19758,0,0,0,0.0
48,1778144807.456632,decode,242,1947374,0.9980151154620609,1947132,242,809.280461862732,19757,0,242,1946890,1947132,1947132,0.9978910922092386,1,19758,0,0,0,0.0
49,1778144807.4977806,decode,242,1947616,0.9981391387148834,1947374,242,809.280461862732,19757,0,242,1947132,1947374,1947374,0.9980151154620609,1,19758,0,0,0,0.0
50,1778144807.536765,decode,242,1947858,0.9982631619677058,1947616,242,809.280461862732,19757,0,242,1947374,1947616,1947616,0.9981391387148834,1,19758,0,0,0,0.0
51,1778144807.6013381,decode,242,0,0.0,1947858,242,809.280461862732,19757,0,242,1947616,1947858,1947858,0.9982631619677058,1,19758,0,0,0,0.0
52,1778144809.3299463,decode,242,1944028,0.9963003146193178,1948100,242,809.280461862732,19758,0,242,1947858,1948100,1948100,0.9983871852205282,0,19758,243,0,0,0.0
54,1778144809.3918767,decode,243,1944514,0.9965493861105231,1944271,243,809.280461862732,19515,0,243,1944028,1944271,1944271,0.9964248503649205,0,19515,0,0,0,0.0
55,1778144809.4320898,decode,243,1944757,0.9966739218561258,1944514,243,809.280461862732,19515,0,243,1944271,1944514,1944514,0.9965493861105231,0,19515,0,0,0,0.0
56,1778144809.471751,decode,243,1945000,0.9967984576017286,1944757,243,809.280461862732,19515,0,243,1944514,1944757,1944757,0.9966739218561258,0,19515,0,0,0,0.0
57,1778144809.5118048,decode,243,1945243,0.9969229933473313,1945000,243,809.280461862732,19515,0,243,1944757,1945000,1945000,0.9967984576017286,0,19515,0,0,0,0.0
58,1778144809.5519273,decode,243,1945486,0.9970475290929339,1945243,243,809.280461862732,19515,0,243,1945000,1945243,1945243,0.9969229933473313,0,19515,0,0,0,0.0
59,1778144809.5918868,decode,243,1945729,0.9971720648385366,1945486,243,809.280461862732,19515,0,243,1945243,1945486,1945486,0.9970475290929339,0,19515,0,0,0,0.0
60,1778144809.6318371,decode,243,1945972,0.9972966005841393,1945729,243,809.280461862732,19515,0,243,1945486,1945729,1945729,0.9971720648385366,0,19515,0,0,0,0.0
61,1778144809.6721795,decode,243,1946215,0.9974211363297419,1945972,243,809.280461862732,19515,0,243,1945729,1945972,1945972,0.9972966005841393,0,19515,0,0,0,0.0
62,1778144809.7121048,decode,243,1946458,0.9975456720753446,1946215,243,809.280461862732,19515,0,243,1945972,1946215,1946215,0.9974211363297419,0,19515,0,0,0,0.0
