rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
batchq-000000-type_a-0.000000000,10005,10001,0,"{""type"": ""length"", ""length"": 5}",5,1778166666.3328714,9433177.216269951,9433178.204293063,9433179.873059865,9433179.930701688,9433179.961708369,9433182.861600004,0,False,False,10005,10005,10000,5,decode
batchq-000006-type_a-3.010121431,10005,10001,0,"{""type"": ""length"", ""length"": 5}",5,1778166666.3328714,9433177.216269951,9433178.210328452,9433179.87493516,9433179.930830063,9433179.96171572,9433182.861657713,0,False,False,10005,10005,10000,5,decode
batchq-000008-type_a-4.326867124,10005,10001,0,"{""type"": ""length"", ""length"": 5}",5,1778166666.3328714,9433177.216269951,9433178.21052486,9433179.87543598,9433179.93086844,9433179.961717244,9433182.861675808,0,False,False,10005,10005,10000,5,decode
batchq-000009-type_a-5.239809678,10005,10001,0,"{""type"": ""length"", ""length"": 5}",5,1778166666.3328714,9433177.216269951,9433178.21055254,9433179.875703081,9433179.930887949,9433179.96171772,9433182.861688064,0,False,False,10005,10005,10000,5,decode
batchq-000010-type_a-5.409434549,10005,10001,0,"{""type"": ""length"", ""length"": 5}",5,1778166666.3328714,9433177.216269951,9433178.210581832,9433179.8759928,9433179.930906732,9433179.961718304,9433182.861700347,0,False,False,10005,10005,10000,5,decode
batchq-000011-type_a-5.579030841,10005,10001,0,"{""type"": ""length"", ""length"": 5}",5,1778166666.3328714,9433177.216269951,9433178.21061406,9433179.876259912,9433179.930925824,9433179.961718788,9433182.861713631,0,False,False,10005,10005,10000,5,decode
batchq-000012-type_a-5.638869609,10005,10001,0,"{""type"": ""length"", ""length"": 5}",5,1778166666.3328714,9433177.216269951,9433178.210640784,9433179.87656425,9433179.930944966,9433179.961719794,9433182.861726604,0,False,False,10005,10005,10000,5,decode
batchq-000015-type_a-7.650100474,10005,10001,0,"{""type"": ""length"", ""length"": 5}",5,1778166666.3328714,9433177.216269951,9433178.21073086,9433179.87737924,9433179.93100206,9433179.96172165,9433182.861747496,0,False,False,10005,10005,10000,5,decode
batchq-000017-type_a-8.569182627,10005,10001,0,"{""type"": ""length"", ""length"": 5}",5,1778166666.3328714,9433177.216269951,9433178.210784135,9433179.87795372,9433179.931040691,9433179.961722914,9433182.861763984,0,False,False,10005,10005,10000,5,decode
batchq-000023-type_a-9.800432689,10005,10001,0,"{""type"": ""length"", ""length"": 5}",5,1778166666.3328714,9433177.216269951,9433178.21094728,9433179.879605992,9433179.931156386,9433179.96172784,9433182.861797696,0,False,False,10005,10005,10000,5,decode
