batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1778167050.212183,decode,4096,417792,0.21411549338217734,413696,4096,0.0,75904,0,4096,409600,413696,413696,0.2120163218784305,0,75904,0,0,0,0,0.0
4,1778167050.362603,decode,4096,421888,0.21621466488592417,417792,4096,0.0,75904,0,4096,413696,417792,417792,0.21411549338217734,0,75904,0,0,0,0,0.0
5,1778167050.508347,decode,4096,425984,0.218313836389671,421888,4096,0.0,75904,0,4096,417792,421888,421888,0.21621466488592417,0,75904,0,0,0,0,0.0
6,1778167050.8876913,decode,4096,213255,0.10929170386512004,425984,4096,0.0,75904,0,4096,421888,425984,425984,0.218313836389671,0,75904,0,0,0,0,0.0
7,1778167051.777046,decode,4096,421786,0.21616239059554768,430080,2031,0.0,75904,0,4096,425984,430080,430080,0.22041300789341783,0,75904,2065,0,0,0,0.0
8,1778167053.300526,decode,2031,421786,0.21616239059554768,215286,2031,0.0,75904,0,2031,213255,215286,421786,0.21616239059554768,0,75904,0,2065,0,0,0.0
10,1778167053.6000876,decode,4096,429978,0.22036073360304134,425882,4096,0.0,73839,0,4096,421786,425882,425882,0.2182615620992945,0,73839,0,0,0,0,0.0
11,1778167053.7456663,decode,4096,434074,0.22245990510678817,429978,4096,0.0,73839,0,4096,425882,429978,429978,0.22036073360304134,0,73839,0,0,0,0,0.0
12,1778167053.893326,decode,4096,438170,0.224559076610535,434074,4096,0.0,73839,0,4096,429978,434074,434074,0.22245990510678817,0,73839,0,0,0,0,0.0
13,1778167054.317798,decode,4096,107520,0.05510325197335446,438170,4096,0.0,73839,0,4096,434074,438170,438170,0.224559076610535,0,73839,0,0,0,0,0.0
14,1778167055.5533504,decode,4096,415744,0.21306590763030392,442266,1024,0.0,73839,0,4096,438170,442266,442266,0.22665824811428184,0,73839,3072,0,0,0,0.0
