rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
batchq-000000-type_a-0.000000000,8100,8001,0,"{""type"": ""length"", ""length"": 100}",100,1778153390.2280078,9419898.40663476,9419898.817111008,9419899.811248459,9419899.878976984,9419899.911490962,9419906.938095056,0,False,False,8100,8100,8000,100,decode
batchq-000006-type_a-3.010121431,8100,8001,0,"{""type"": ""length"", ""length"": 100}",100,1778153390.2280078,9419898.40663476,9419898.818719588,9419899.813156163,9419899.879098495,9419899.911496192,9419906.938154873,0,False,False,8100,8100,8000,100,decode
batchq-000009-type_a-4.326867124,8100,8001,0,"{""type"": ""length"", ""length"": 100}",100,1778153390.2280078,9419898.40663476,9419898.81881082,9419899.814313607,9419899.879154412,9419899.911497839,9419906.93818122,0,False,False,8100,8100,8000,100,decode
batchq-000010-type_a-5.239809678,8100,8001,0,"{""type"": ""length"", ""length"": 100}",100,1778153390.2280078,9419898.40663476,9419898.818839436,9419899.81465964,9419899.879173404,9419899.911498455,9419906.938195622,0,False,False,8100,8100,8000,100,decode
batchq-000012-type_a-5.409434549,8100,8001,0,"{""type"": ""length"", ""length"": 100}",100,1778153390.2280078,9419898.40663476,9419898.818917044,9419899.815221112,9419899.879210936,9419899.911499595,9419906.938215418,0,False,False,8100,8100,8000,100,decode
batchq-000013-type_a-5.579030841,8100,8001,0,"{""type"": ""length"", ""length"": 100}",100,1778153390.2280078,9419898.40663476,9419898.818950728,9419899.815520875,9419899.879229479,9419899.911500018,9419906.938229904,0,False,False,8100,8100,8000,100,decode
batchq-000014-type_a-5.638869609,8100,8001,0,"{""type"": ""length"", ""length"": 100}",100,1778153390.2280078,9419898.40663476,9419898.818993025,9419899.81580077,9419899.879248004,9419899.911500504,9419906.938245855,0,False,False,8100,8100,8000,100,decode
batchq-000016-type_a-7.650100474,8100,8001,0,"{""type"": ""length"", ""length"": 100}",100,1778153390.2280078,9419898.40663476,9419898.819053357,9419899.816350643,9419899.879284969,9419899.91150145,9419906.938264612,0,False,False,8100,8100,8000,100,decode
batchq-000018-type_a-8.569182627,8100,8001,0,"{""type"": ""length"", ""length"": 100}",100,1778153390.2280078,9419898.40663476,9419898.819125822,9419899.81691199,9419899.879321968,9419899.91150224,9419906.938283293,0,False,False,8100,8100,8000,100,decode
batchq-000019-type_a-9.800432689,8100,8001,0,"{""type"": ""length"", ""length"": 100}",100,1778153390.2280078,9419898.40663476,9419898.819154449,9419899.817182988,9419899.879341988,9419899.911503104,9419906.938297408,0,False,False,8100,8100,8000,100,decode
batchq-000020-type_a-9.821231997,8100,8001,0,"{""type"": ""length"", ""length"": 100}",100,1778153390.2280078,9419898.40663476,9419898.819182944,9419899.81747413,9419899.879366184,9419899.911503725,9419906.938310973,0,False,False,8100,8100,8000,100,decode
