rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
batchq-000000-type_a-0.000000000,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.602202425,11600589.765270093,11600590.269572165,11600590.293153748,11600591.657274213,0,False,False,255,255,250,5,decode
batchq-000011-type_a-3.010121431,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.6134744,11600589.772922004,11600590.269785376,11600590.293159073,11600591.657344688,0,False,False,255,255,250,5,decode
batchq-000012-type_a-4.326867124,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.614233619,11600589.773589915,11600590.269803632,11600590.293159343,11600591.657359976,0,False,False,255,255,250,5,decode
batchq-000013-type_a-5.239809678,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.61426296,11600589.77427344,11600590.26982186,11600590.293159813,11600591.657373687,0,False,False,255,255,250,5,decode
batchq-000015-type_a-5.409434549,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.614318112,11600589.775617426,11600590.269858398,11600590.293160653,11600591.657393176,0,False,False,255,255,250,5,decode
batchq-000016-type_a-5.579030841,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.614343984,11600589.776286092,11600590.269876309,11600590.293161275,11600591.657407152,0,False,False,255,255,250,5,decode
batchq-000017-type_a-5.638869609,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.614369703,11600589.776959548,11600590.269895015,11600590.293161588,11600591.65742122,0,False,False,255,255,250,5,decode
batchq-000019-type_a-7.650100474,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.61442078,11600589.778309364,11600590.269932192,11600590.293162152,11600591.657439392,0,False,False,255,255,250,5,decode
batchq-000021-type_a-8.569182627,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.61447056,11600589.779659906,11600590.26996874,11600590.293162929,11600591.657457525,0,False,False,255,255,250,5,decode
batchq-000022-type_a-9.800432689,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.614496162,11600589.78033827,11600590.269986758,11600590.29316328,11600591.657471033,0,False,False,255,255,250,5,decode
batchq-000023-type_a-9.821231997,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.61452445,11600589.781014424,11600590.270005172,11600590.293163683,11600591.657484744,0,False,False,255,255,250,5,decode
batchq-000030-type_a-13.324789472,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.614703055,11600589.785723124,11600590.27013921,11600590.29316704,11600591.657523427,0,False,False,255,255,250,5,decode
batchq-000033-type_a-15.111219016,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.614779528,11600589.787761541,11600590.270193724,11600590.293168131,11600591.657545589,0,False,False,255,255,250,5,decode
batchq-000034-type_a-15.349906641,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.614803962,11600589.788432067,11600590.27021162,11600590.293168448,11600591.657559227,0,False,False,255,255,250,5,decode
batchq-000035-type_a-15.550585630,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.614828741,11600589.789116852,11600590.270229988,11600590.293168776,11600591.65757287,0,False,False,255,255,250,5,decode
batchq-000036-type_a-15.753197052,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.614853384,11600589.78978396,11600590.270248337,11600590.293169152,11600591.657586124,0,False,False,255,255,250,5,decode
batchq-000037-type_a-16.115950782,255,251,0,"{""type"": ""length"", ""length"": 5}",5,1778311274.3735037,11600584.666450135,11600586.614878435,11600589.790461272,11600590.270266231,11600590.293169454,11600591.657599876,0,False,False,255,255,250,5,decode
