batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1778775235.1752975,decode,2563,771308,0.9997964910916244,771463,2554,0.0,157429,8,2563,768900,771463,771463,0.9999974075298296,8,157437,0,0,0,0,0.0
4,1778775235.3653302,decode,2554,771438,0.9999650016526997,771308,2546,0.0,157429,9,2554,768754,771308,771308,0.9997964910916244,17,157446,0,0,0,0,0.0
5,1778775235.5584252,decode,2546,771248,0.9997187169865127,771438,2537,0.0,157429,8,2546,768892,771438,771438,0.9999650016526997,25,157454,0,0,0,0,0.0
6,1778775235.7415946,decode,2537,771345,0.9998444517897765,771248,2529,0.0,157429,9,2537,768711,771248,771248,0.9997187169865127,34,157463,0,0,0,0,0.0
7,1778775235.983901,decode,2529,582318,0.7548210223406117,771345,2521,0.0,157429,8,2529,768816,771345,771345,0.9998444517897765,42,157471,0,0,0,0,0.0
8,1778775237.2125134,decode,2521,771400,0.9999157447194623,771426,2521,0.0,157479,8,2521,768905,771426,771426,0.9999494468316774,0,157479,618,630,0,0,0.0
10,1778775237.6169918,decode,2524,770720,0.9990343048615297,771224,2516,0.0,156849,9,2524,768700,771224,771224,0.999687607344468,9,156858,0,0,0,0,0.0
11,1778775237.763286,decode,2516,592689,0.7682642764091696,771332,2516,0.0,156851,8,2516,768816,771332,771332,0.999827600733669,15,156866,2,2,0,0,0.0
14,1778775239.2216794,decode,2523,566521,0.7343443966997855,771312,2515,0.0,156269,8,2523,768789,771312,771312,0.9998016760319651,8,156277,580,0,0,0,0.0
15,1778775240.437363,decode,2515,770811,0.9991522622542824,771419,2515,0.0,156285,8,2515,768904,771419,771419,0.999940373186081,0,156285,661,683,0,0,0.0
18,1778775240.989068,decode,2528,722683,0.936767060074015,771239,2520,0.0,155600,9,2528,768711,771239,771239,0.999707050870746,9,155609,2,0,0,0,0.0
19,1778775241.348086,decode,2520,770050,0.998165827354449,771351,2520,0.0,155617,8,2520,768831,771351,771351,0.9998522292002877,0,155617,159,162,0,0,0.0
22,1778775241.8951788,decode,2515,724324,0.9388941818488201,771365,2507,0.0,155451,8,2515,768850,771365,771365,0.9998703764914805,8,155459,4,0,0,0,0.0
23,1778775242.3458893,decode,2507,512391,0.6641791915381774,771464,2507,0.0,155467,8,2507,768957,771464,771464,0.9999987037649148,0,155467,154,157,0,0,0.0
26,1778775244.3802996,decode,2537,679527,0.8808267387373374,771428,2528,0.0,154447,8,2537,768891,771428,771428,0.9999520393018477,8,154455,828,0,0,0,0.0
27,1778775244.9423406,decode,2528,723871,0.9383069873552268,771247,2528,0.0,154464,9,2528,768719,771247,771247,0.9997174207514274,0,154464,298,306,0,0,0.0
30,1778775245.645922,decode,2532,717121,0.9295574005301601,771403,2523,0.0,154000,8,2532,768871,771403,771403,0.9999196334247179,8,154008,154,0,0,0,0.0
31,1778775246.0461342,decode,2523,723669,0.9380451478680173,771217,2523,0.0,154017,9,2523,768694,771217,771217,0.9996785336988716,0,154017,175,181,0,0,0.0
34,1778775246.7755034,decode,2524,640212,0.829865256362894,771193,2516,0.0,153677,9,2524,768669,771193,771193,0.9996474240568269,9,153686,155,0,0,0,0.0
35,1778775247.542809,decode,2516,720002,0.9332918538106071,771301,2516,0.0,153694,8,2516,768785,771301,771301,0.9997874174460281,0,153694,426,437,0,0,0.0
38,1778775248.2540915,decode,2526,730072,0.9463449411185213,771428,2517,0.0,153086,8,2526,768902,771428,771428,0.9999520393018477,8,153094,164,0,0,0,0.0
39,1778775248.6419244,decode,2517,647996,0.8399551502660523,771236,2517,0.0,153103,9,2517,768719,771236,771236,0.9997031621654904,0,153103,134,137,0,0,0.0
42,1778775249.729539,decode,2526,669294,0.8675623651105364,771422,2517,0.0,152555,8,2526,768896,771422,771422,0.9999442618913366,8,152563,397,0,0,0,0.0
43,1778775250.3679802,decode,2517,685580,0.8886728497080231,771230,2517,0.0,152572,9,2517,768713,771230,771230,0.9996953847549792,0,152572,330,340,0,0,0.0
46,1778775251.2391016,decode,2529,689144,0.8932926315516582,771209,2521,0.0,151946,9,2529,768680,771209,771209,0.99966816381819,9,151955,275,0,0,0,0.0
47,1778775251.7704415,decode,2521,732616,0.9496425631752574,771322,2521,0.0,151963,8,2521,768801,771322,771322,0.9998146383828171,0,151963,267,274,0,0,0.0
50,1778775252.4290333,decode,2524,710096,0.9204513490566649,771440,2515,0.0,151560,8,2524,768916,771440,771440,0.9999675941228702,8,151568,125,0,0,0,0.0
51,1778775252.874344,decode,2515,636910,0.8255850881115799,771246,2515,0.0,151577,9,2515,768731,771246,771246,0.9997161245163423,0,151577,199,204,0,0,0.0
54,1778775253.9877326,decode,2529,681692,0.8836330876967847,771439,2520,0.0,150925,8,2529,768910,771439,771439,0.9999662978877849,8,150933,431,0,0,0,0.0
55,1778775254.5418916,decode,2520,686232,0.8895179949835702,771250,2520,0.0,150942,9,2520,768730,771250,771250,0.999721309456683,0,150942,291,299,0,0,0.0
58,1778775255.3994458,decode,2529,704786,0.9135683407542792,771261,2521,0.0,150359,9,2529,768732,771261,771261,0.9997355680426202,9,150368,274,0,0,0,0.0
59,1778775255.901192,decode,2521,697904,0.9046476508979668,771374,2521,0.0,150376,8,2521,768853,771374,771374,0.9998820426072472,0,150376,216,222,0,0,0.0
62,1778775256.7258556,decode,2526,673714,0.8732917241870986,771230,2518,0.0,149909,9,2526,768704,771230,771230,0.9996953847549792,9,149918,237,0,0,0,0.0
63,1778775257.333995,decode,2518,692040,0.897046528358383,771340,2518,0.0,149926,8,2518,768822,771340,771340,0.9998379706143506,0,149926,317,325,0,0,0.0
66,1778775258.1743977,decode,2528,691520,0.8963724861140816,771368,2519,0.0,149337,8,2528,768840,771368,771368,0.9998742651967361,8,149345,254,0,0,0,0.0
67,1778775258.689301,decode,2519,684626,0.8874362414367469,771178,2519,0.0,149354,9,2519,768659,771178,771178,0.999627980530549,0,149354,259,266,0,0,0.0
70,1778775259.5435398,decode,2528,695714,0.9018088960613897,771454,2519,0.0,148799,8,2528,768926,771454,771454,0.9999857414140628,8,148807,279,0,0,0,0.0
71,1778775260.0321548,decode,2519,687966,0.8917656666212984,771264,2519,0.0,148816,9,2519,768745,771264,771264,0.9997394567478758,0,148816,245,252,0,0,0.0
74,1778775260.8719022,decode,2527,682620,0.8848359938558457,771193,2519,0.0,148286,9,2527,768666,771193,771193,0.9996474240568269,9,148295,268,0,0,0,0.0
75,1778775261.4139028,decode,2519,705246,0.914164608893469,771304,2519,1579.377734931861,148303,8,2519,768785,771304,771304,0.9997913061512836,0,148303,288,296,0,0,0.0
78,1778775262.1706965,decode,2526,695428,0.9014381728270239,771372,2517,1579.377734931861,147787,8,2526,768846,771372,771372,0.9998794501370769,8,147795,213,0,0,0,0.0
79,1778775262.660818,decode,2517,680946,0.8826660963232292,771180,2517,1579.377734931861,147804,9,2517,768663,771180,771180,0.9996305730007194,0,147804,246,253,0,0,0.0
82,1778775263.5290792,decode,2527,686126,0.8893805940645395,771373,2518,1579.377734931861,147250,8,2527,768846,771373,771373,0.9998807463721621,8,147258,290,0,0,0,0.0
83,1778775264.068412,decode,2518,689820,0.8941688864692501,771182,2518,1579.377734931861,147267,9,2518,768664,771182,771182,0.9996331654708898,0,147267,276,284,0,0,0.0
86,1778775264.8971019,decode,2527,698670,0.9056405669732263,771247,2519,1579.377734931861,146711,9,2527,768720,771247,771247,0.9997174207514274,9,146720,262,0,0,0,0.0
87,1778775265.3698487,decode,2519,696364,0.9026514488667665,771358,2519,1579.377734931861,146728,8,2519,768839,771358,771358,0.9998613028458841,0,146728,236,242,0,0,0.0
90,1778775266.2112846,decode,2525,688480,0.8924319314550887,771189,2517,1579.377734931861,146236,9,2525,768664,771189,771189,0.9996422391164862,9,146245,241,0,0,0,0.0
91,1778775266.7376037,decode,2517,679768,0.8811391313928694,771298,2517,1579.377734931861,146253,8,2517,768781,771298,771298,0.9997835287407725,0,146253,269,276,0,0,0.0
94,1778775267.650806,decode,2527,693020,0.8983168387418742,771395,2518,1579.377734931861,145672,8,2527,768868,771395,771395,0.9999092635440363,8,145680,294,0,0,0,0.0
95,1778775268.167055,decode,2518,676692,0.8771519122708095,771204,2518,1579.377734931861,145689,9,2518,768686,771204,771204,0.9996616826427641,0,145689,254,261,0,0,0.0
98,1778775269.0506132,decode,2528,698394,0.9052828060897125,771320,2520,1579.377734931861,145113,8,2528,768792,771320,771320,0.9998120459126467,8,145121,304,0,0,0,0.0
99,1778775269.5200415,decode,2520,693804,0.8993330870486671,771432,2520,1579.377734931861,145129,8,2520,768912,771432,771432,0.9999572242421886,0,145129,237,243,0,0,0.0
102,1778775270.3194616,decode,2527,687662,0.8913716111553991,771331,2519,1579.377734931861,144628,8,2527,768804,771331,771331,0.9998263044985839,8,144636,249,0,0,0,0.0
103,1778775270.8354993,decode,2519,693570,0.8990297680387315,771442,2519,1579.377734931861,144644,8,2519,768923,771442,771442,0.9999701865930405,0,144644,272,279,0,0,0.0
106,1778775271.6347847,decode,2527,688380,0.8923023079465692,771397,2518,1579.377734931861,144106,8,2527,768870,771397,771397,0.9999118560142067,8,144114,250,0,0,0,0.0
107,1778775272.1515648,decode,2518,688798,0.8928441342121807,771206,2518,1579.377734931861,144123,9,2518,768688,771206,771206,0.9996642751129344,0,144123,269,276,0,0,0.0
110,1778775272.968854,decode,2527,689894,0.8942648078655545,771425,2518,1579.377734931861,143572,8,2527,768898,771425,771425,0.9999481505965921,8,143580,265,0,0,0,0.0
111,1778775273.479806,decode,2518,680376,0.881927242324668,771234,2518,1579.377734931861,143589,9,2518,768716,771234,771234,0.99970056969532,0,143589,264,271,0,0,0.0
114,1778775274.3340924,decode,2528,688364,0.8922815681852061,771404,2519,1579.377734931861,143015,8,2528,768876,771404,771404,0.9999209296598031,8,143023,292,0,0,0,0.0
115,1778775274.8526847,decode,2519,698666,0.9056353820328855,771214,2519,1579.377734931861,143032,9,2519,768695,771214,771214,0.999674644993616,0,143032,269,277,0,0,0.0
118,1778775275.623102,decode,2527,694850,0.9006889489477812,771393,2518,1579.377734931861,142513,8,2527,768866,771393,771393,0.999906671073866,8,142521,234,0,0,0,0.0
119,1778775276.1130729,decode,2518,681426,0.8832882891641228,771202,2518,1579.377734931861,142530,9,2518,768684,771202,771202,0.9996590901725937,0,142530,248,255,0,0,0.0
122,1778775276.983755,decode,2527,689814,0.8941611090587389,771253,2519,1579.377734931861,141975,9,2527,768726,771253,771253,0.9997251981619386,9,141984,289,0,0,0,0.0
123,1778775277.5074453,decode,2519,685566,0.8886547024168303,771364,2519,1579.377734931861,141992,8,2519,768845,771364,771364,0.9998690802563953,0,141992,265,272,0,0,0.0
126,1778775278.3448768,decode,2527,689360,0.8935726183300603,771193,2519,1579.377734931861,141434,9,2527,768666,771193,771193,0.9996474240568269,9,141443,276,0,0,0,0.0
127,1778775278.8687122,decode,2519,690394,0.894912925408152,771304,2519,1579.377734931861,141451,8,2519,768785,771304,771304,0.9997913061512836,0,141451,266,273,0,0,0.0
130,1778775279.6819754,decode,2527,688172,0.8920326910488486,771221,2519,1579.377734931861,140908,9,2527,768694,771221,771221,0.9996837186392125,9,140917,260,0,0,0,0.0
131,1778775280.1929333,decode,2519,688540,0.8925097055602004,771332,2519,1579.377734931861,140925,8,2519,768813,771332,771332,0.999827600733669,0,140925,270,277,0,0,0.0
134,1778775281.006463,decode,2527,697060,0.9035536284860622,771167,2519,1579.377734931861,140372,9,2527,768640,771167,771167,0.9996137219446118,9,140381,266,0,0,0,0.0
135,1778775281.4777892,decode,2519,687834,0.8915945635900527,771278,2519,1579.377734931861,140389,8,2519,768759,771278,771278,0.9997576040390685,0,140389,241,248,0,0,0.0
138,1778775282.2938478,decode,2527,691702,0.8966084008995872,771361,2518,1579.377734931861,139863,8,2527,768834,771361,771361,0.9998651915511397,8,139871,269,0,0,0,0.0
139,1778775282.789772,decode,2518,682872,0.8851626450973149,771170,2518,1579.377734931861,139880,9,2518,768652,771170,771170,0.9996176106498674,0,139880,258,265,0,0,0.0
142,1778775283.6350634,decode,2527,684184,0.8868633055290908,771199,2519,1579.377734931861,139320,9,2527,768672,771199,771199,0.9996552014673381,9,139329,284,0,0,0,0.0
143,1778775284.1703315,decode,2519,692830,0.8980705540756871,771310,2519,1579.377734931861,139337,8,2519,768791,771310,771310,0.9997990835617948,0,139337,283,290,0,0,0.0
146,1778775284.9588785,decode,2527,694352,0.9000434238753541,771257,2519,1579.377734931861,138785,9,2527,768730,771257,771257,0.9997303831022795,9,138794,252,0,0,0,0.0
147,1778775285.4406426,decode,2519,689034,0.8931500456922867,771368,2519,1579.377734931861,138802,8,2519,768849,771368,771368,0.9998742651967361,0,138802,250,257,0,0,0.0
150,1778775286.2421317,decode,2527,690220,0.8946873805033281,771361,2518,1579.377734931861,138271,8,2527,768834,771361,771361,0.9998651915511397,8,138279,265,0,0,0,0.0
151,1778775286.7404597,decode,2518,687806,0.8915582690076672,771170,2518,1579.377734931861,138288,9,2518,768652,771170,771170,0.9996176106498674,0,138288,263,270,0,0,0.0
154,1778775287.553173,decode,2527,684576,0.8873714296824872,771333,2519,1579.377734931861,137740,8,2527,768806,771333,771333,0.9998288969687542,8,137748,268,0,0,0,0.0
155,1778775288.083379,decode,2519,687276,0.8908712644125139,771444,2519,3783.6823793202593,137756,8,2519,768925,771444,771444,0.9999727790632109,0,137756,282,289,0,0,0.0
158,1778775288.8982167,decode,2528,691484,0.8963258216510146,771404,2519,3783.6823793202593,137187,8,2528,768876,771404,771404,0.9999209296598031,8,137195,270,0,0,0,0.0
159,1778775289.3918712,decode,2519,687314,0.8909205213457513,771214,2519,3783.6823793202593,137204,9,2519,768695,771214,771214,0.999674644993616,0,137204,259,266,0,0,0.0
162,1778775290.2241042,decode,2528,689312,0.893510399045971,771442,2519,3783.6823793202593,136658,8,2528,768914,771442,771442,0.9999701865930405,8,136666,270,0,0,0,0.0
163,1778775290.7394185,decode,2519,695950,0.9021148075414958,771252,2519,3783.6823793202593,136675,9,2519,768733,771252,771252,0.9997239019268535,0,136675,266,273,0,0,0.0
166,1778775291.5067527,decode,2527,684048,0.8866870175575042,771377,2518,3783.6823793202593,136151,8,2527,768850,771377,771377,0.9998859313125028,8,136159,242,0,0,0,0.0
167,1778775292.0390592,decode,2518,680826,0.8825105481130058,771186,2518,3783.6823793202593,136168,9,2518,768668,771186,771186,0.9996383504112306,0,136168,283,291,0,0,0.0
170,1778775292.8848803,decode,2528,694310,0.8999889820017758,771254,2520,3783.6823793202593,135575,9,2528,768726,771254,771254,0.9997264943970239,9,135584,291,0,0,0,0.0
171,1778775293.3702831,decode,2520,690266,0.8947470073172471,771366,2520,3783.6823793202593,135592,8,2520,768846,771366,771366,0.9998716727265657,0,135592,250,257,0,0,0.0
174,1778775294.1530006,decode,2528,693878,0.8994290084449715,771394,2519,3783.6823793202593,135065,8,2528,768866,771394,771394,0.9999079673089512,8,135073,261,0,0,0,0.0
175,1778775294.63202,decode,2519,690182,0.8946381235700906,771204,2519,3783.6823793202593,135082,9,2519,768685,771204,771204,0.9996616826427641,0,135082,251,258,0,0,0.0
178,1778775295.4207554,decode,2527,681500,0.8833842105604273,771309,2519,3783.6823793202593,134554,8,2527,768782,771309,771309,0.9997977873267095,8,134562,261,0,0,0,0.0
179,1778775295.9535003,decode,2519,691934,0.8969091274393524,771420,2519,3783.6823793202593,134570,8,2519,768901,771420,771420,0.9999416694211662,0,134570,292,299,0,0,0.0
182,1778775296.7267401,decode,2527,692572,0.8977361254237068,771261,2519,3783.6823793202593,134006,9,2527,768734,771261,771261,0.9997355680426202,9,134015,255,0,0,0,0.0
183,1778775297.2125468,decode,2519,679786,0.8811624636244029,771372,2519,3783.6823793202593,134023,8,2519,768853,771372,771372,0.9998794501370769,0,134023,256,262,0,0,0.0
186,1778775298.0489278,decode,2528,690524,0.8950814359692274,771414,2519,3783.6823793202593,133456,8,2528,768886,771414,771414,0.9999338920106551,8,133464,294,0,0,0,0.0
187,1778775298.5429385,decode,2519,690038,0.8944514657178226,771224,2519,3783.6823793202593,133473,9,2519,768705,771224,771224,0.999687607344468,0,133473,262,269,0,0,0.0
190,1778775299.3222575,decode,2527,693966,0.8995430771324687,771165,2519,3783.6823793202593,132933,9,2527,768638,771165,771165,0.9996111294744415,9,132942,261,0,0,0,0.0
191,1778775299.8032043,decode,2519,691086,0.895809920087107,771276,2519,3783.6823793202593,132950,8,2519,768757,771276,771276,0.9997550115688981,0,132950,251,258,0,0,0.0
194,1778775300.584871,decode,2527,687382,0.8910086653315445,771313,2519,3783.6823793202593,132425,8,2527,768786,771313,771313,0.9998029722670504,8,132433,258,0,0,0,0.0
195,1778775301.0936434,decode,2519,684000,0.8866247982734149,771424,2519,3783.6823793202593,132441,8,2519,768905,771424,771424,0.999946854361507,0,132441,273,280,0,0,0.0
198,1778775301.9004862,decode,2528,694536,0.9002819311310299,771428,2519,3783.6823793202593,131870,8,2528,768900,771428,771428,0.9999520393018477,8,131878,281,0,0,0,0.0
199,1778775302.371751,decode,2519,692100,0.8971243024634947,771238,2519,3783.6823793202593,131887,9,2519,768719,771238,771238,0.9997057546356607,0,131887,249,256,0,0,0.0
202,1778775303.142492,decode,2527,690866,0.895524748368364,771427,2518,3783.6823793202593,131367,8,2527,768900,771427,771427,0.9999507430667626,8,131375,255,0,0,0,0.0
203,1778775303.6363297,decode,2518,686994,0.8905057261184889,771236,2518,3783.6823793202593,131384,9,2518,768718,771236,771236,0.9997031621654904,0,131384,261,268,0,0,0.0
206,1778775304.4302619,decode,2527,685944,0.8891446792790341,771421,2518,3783.6823793202593,130835,8,2527,768894,771421,771421,0.9999429656562514,8,130843,271,0,0,0,0.0
207,1778775304.9430454,decode,2518,682438,0.8846000790703402,771230,2518,3783.6823793202593,130852,9,2518,768712,771230,771230,0.9996953847549792,0,130852,277,285,0,0,0.0
210,1778775305.7721696,decode,2528,698198,0.9050287440130143,771366,2519,3783.6823793202593,130271,8,2528,768838,771366,771366,0.9998716727265657,8,130279,286,0,0,0,0.0
211,1778775306.231035,decode,2519,685562,0.8886495174764896,771176,2519,3783.6823793202593,130288,9,2519,768657,771176,771176,0.9996253880603786,0,130288,237,244,0,0,0.0
214,1778775307.0368755,decode,2527,684126,0.8867881238941494,771189,2519,3783.6823793202593,129758,9,2527,768662,771189,771189,0.9996422391164862,9,129767,276,0,0,0,0.0
215,1778775307.555937,decode,2519,689008,0.8931163435800716,771300,2519,3783.6823793202593,129775,8,2519,768781,771300,771300,0.9997861212109428,0,129775,283,291,0,0,0.0
218,1778775308.3371751,decode,2528,683750,0.8863007395021161,771336,2520,3783.6823793202593,129210,8,2528,768808,771336,771336,0.9998327856740098,8,129218,265,0,0,0,0.0
219,1778775308.8687894,decode,2520,687736,0.8914675325517035,771448,2520,3783.6823793202593,129226,8,2520,768928,771448,771448,0.9999779640035517,0,129226,285,292,0,0,0.0
222,1778775309.6450593,decode,2528,693748,0.8992604978838962,771264,2520,3783.6823793202593,128655,9,2528,768736,771264,771264,0.9997394567478758,9,128664,269,0,0,0,0.0
223,1778775310.1199887,decode,2520,692768,0.897990187500405,771376,2520,3783.6823793202593,128672,8,2520,768856,771376,771376,0.9998846350774176,0,128672,252,259,0,0,0.0
226,1778775310.874068,decode,2527,685022,0.8879495505304842,771195,2519,3783.6823793202593,128151,9,2527,768668,771195,771195,0.9996500165269974,9,128160,253,0,0,0,0.0
227,1778775311.3869872,decode,2519,693050,0.8983557257944301,771306,2519,3783.6823793202593,128168,8,2519,768787,771306,771306,0.999793898621454,0,128168,280,288,0,0,0.0
230,1778775312.1318626,decode,2527,686368,0.8896942829551567,771177,2519,3783.6823793202593,127619,9,2527,768650,771177,771177,0.9996266842954639,9,127628,252,0,0,0,0.0
231,1778775312.632268,decode,2519,696616,0.9029781001082356,771288,2519,3783.6823793202593,127636,8,2519,768769,771288,771288,0.9997705663899205,0,127636,276,283,0,0,0.0
