batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1778774939.088539,decode,2563,771308,0.9997977870645941,771463,2554,0.0,77429,8,2563,768900,771463,771463,0.9999987037632346,8,77437,0,0,0,0,0.0
4,1778774939.23841,decode,2554,771438,0.999966297844099,771308,2546,0.0,77429,9,2554,768754,771308,771308,0.9997977870645941,17,77446,0,0,0,0,0.0
5,1778774939.3934956,decode,2546,771248,0.9997200128586687,771438,2537,0.0,77429,8,2546,768892,771438,771438,0.999966297844099,25,77454,0,0,0,0,0.0
6,1778774939.5422623,decode,2537,771345,0.9998457478249148,771248,2529,0.0,77429,9,2537,768711,771248,771248,0.9997200128586687,34,77463,0,0,0,0,0.0
7,1778774939.6908655,decode,2529,771426,0.999950743002914,771345,2521,0.0,77429,8,2529,768816,771345,771345,0.9998457478249148,42,77471,0,0,0,0,0.0
8,1778774939.8433976,decode,2521,771184,0.9996370537056817,771426,2512,0.0,77429,8,2521,768905,771426,771426,0.999950743002914,50,77479,0,0,0,0,0.0
9,1778774939.9916894,decode,2512,771232,0.999699273070422,771184,2504,0.0,77429,9,2512,768672,771184,771184,0.9996370537056817,59,77488,0,0,0,0,0.0
10,1778774940.262829,decode,2504,379761,0.4922601702736615,771232,2496,0.0,77429,8,2504,768728,771232,771232,0.999699273070422,67,77496,0,0,0,0,0.0
11,1778774943.183552,decode,2496,771192,0.9996474235998051,771264,2496,0.0,77504,8,2496,768768,771264,771264,0.9997407526469154,0,77504,1267,1304,0,0,0.0
13,1778774943.4397628,decode,2525,770499,0.9987491315213671,771317,2517,0.0,76200,8,2525,768792,771317,771317,0.9998094531954829,8,76208,0,0,0,0,0.0
14,1778774943.4954371,decode,2517,770783,0.9991172627627471,771426,2517,0.0,76203,8,2517,768909,771426,771426,0.999950743002914,13,76216,3,3,0,0,0.0
17,1778774943.729577,decode,2508,769405,0.9973310484999948,771183,2500,0.0,76200,9,2508,768675,771183,771183,0.9996357574689162,20,76220,2,0,0,0,0.0
18,1778774943.790641,decode,2500,769049,0.9968695882115044,771259,2500,0.0,76206,8,2500,768759,771259,771259,0.9997342714630884,22,76228,6,6,0,0,0.0
21,1778774944.146345,decode,2492,382625,0.4959725923698319,771241,2484,0.0,76200,9,2492,768749,771241,771241,0.9997109392013107,23,76223,7,0,0,0,0.0
22,1778774946.9173043,decode,2484,768997,0.9968021838997024,771305,2484,0.0,76231,8,2484,768821,771305,771305,0.9997938983542978,0,76231,1234,1296,0,0,0.0
25,1778774947.2722826,decode,2537,768544,0.9962149886449659,771234,2529,0.0,74927,9,2537,768697,771234,771234,0.9997018655439528,9,74936,8,0,0,0,0.0
26,1778774947.3974035,decode,2529,584560,0.7577281635954497,771355,2529,0.0,74936,8,2529,768826,771355,771355,0.9998587101925689,8,74944,9,9,0,0,0.0
29,1778774948.6287282,decode,2537,770473,0.9987154293654662,771297,2529,0.0,74312,9,2537,768760,771297,771297,0.9997835284601744,9,74321,606,0,0,0,0.0
30,1778774948.6813676,decode,2529,771059,0.9994750241100039,771418,2529,0.0,74315,8,2529,768889,771418,771418,0.9999403731087906,14,74329,3,3,0,0,0.0
33,1778774948.9097774,decode,2520,770312,0.9985067352462331,771169,2512,0.0,74312,9,2520,768649,771169,771169,0.9996176101542004,22,74334,1,0,0,0,0.0
34,1778774948.9655156,decode,2512,768742,0.9964716435245197,771257,2512,0.0,74315,8,2512,768745,771257,771257,0.9997316789895575,27,74342,3,3,0,0,0.0
37,1778774949.2122507,decode,2504,770054,0.9981723061607541,771246,2496,0.0,74312,9,2504,768742,771246,771246,0.9997174203851379,27,74339,8,0,0,0,0.0
38,1778774949.3798196,decode,2496,380100,0.4926995945371398,771314,2496,0.0,74316,8,2496,768818,771314,771314,0.9998055644851866,31,74347,4,4,0,0,0.0
41,1778774952.415779,decode,2533,771296,0.999782232223409,771179,2525,0.0,73039,9,2533,768646,771179,771179,0.9996305725218545,9,73048,1258,0,0,0,0.0
42,1778774952.5444424,decode,2525,673735,0.8733200771520123,771296,2517,0.0,73039,8,2525,768771,771296,771296,0.999782232223409,17,73056,0,0,0,0,0.0
43,1778774953.0457091,decode,2517,771243,0.9997135316748416,771397,2517,0.0,73064,8,2517,768880,771397,771397,0.9999131521367167,0,73064,316,325,0,0,0.0
45,1778774953.290321,decode,2518,768961,0.9967555193761471,771361,2510,0.0,72739,8,2518,768843,771361,771361,0.9998664876131614,8,72747,0,0,0,0,0.0
46,1778774953.3540716,decode,2510,771361,0.9998664876131614,771463,2510,0.0,72747,8,2510,768953,771463,771463,0.9999987037632346,8,72755,8,8,0,0,0.0
48,1778774953.603752,decode,2502,570931,0.7400617527195047,771463,2493,0.0,72739,8,2502,768961,771463,771463,0.9999987037632346,16,72755,0,0,0,0,0.0
49,1778774954.6963332,decode,2493,771349,0.9998509327719765,771229,2493,0.0,72764,9,2493,768736,771229,771229,0.9996953843601257,0,72764,636,668,0,0,0.0
51,1778774955.0227866,decode,2516,488062,0.6326439082056973,771165,2508,0.0,72096,9,2516,768649,771165,771165,0.9996124252071387,9,72105,0,0,0,0,0.0
52,1778774956.7685559,decode,2508,771262,0.9997381601733847,771265,2508,0.0,72113,8,2508,768757,771265,771265,0.9997420488836809,0,72113,911,944,0,0,0.0
54,1778774957.7583246,decode,2533,769344,0.997251978057304,771395,2524,0.0,71169,8,2533,768862,771395,771395,0.9999105596631859,8,71177,0,0,0,0,0.0
55,1778774957.8355908,decode,2524,724628,0.939289454854666,771210,2524,0.0,71176,9,2524,768686,771210,771210,0.9996707558615826,10,71186,6,7,0,0,0.0
58,1778774958.3249664,decode,2520,769462,0.9974049339956239,771248,2512,0.0,71023,9,2520,768728,771248,771248,0.9997200128586687,9,71032,152,0,0,0,0.0
59,1778774958.3842208,decode,2512,769722,0.9977419555546337,771352,2512,0.0,71029,8,2512,768840,771352,771352,0.9998548214822727,11,71040,6,6,0,0,0.0
62,1778774958.6776962,decode,2504,570434,0.7394175230470897,771326,2496,0.0,71023,8,2504,768822,771326,771326,0.9998211193263716,14,71037,5,0,0,0,0.0
63,1778774959.8350632,decode,2496,671036,0.8698215341221366,771404,2496,0.0,71045,8,2496,768908,771404,771404,0.9999222257940746,0,71045,638,670,0,0,0.0
66,1778774960.555794,decode,2528,769914,0.9979908330135949,771364,2519,0.0,70041,8,2528,768836,771364,771364,0.9998703763234578,8,70049,326,0,0,0,0.0
67,1778774960.667344,decode,2519,584234,0.757305590409922,771174,2519,2118.441601290445,70046,9,2519,768655,771174,771174,0.9996240913380274,12,70058,4,5,0,0,0.0
70,1778774961.8972244,decode,2530,771378,0.9998885236381737,771264,2522,2118.441601290445,69429,9,2530,768734,771264,771264,0.9997407526469154,9,69438,605,0,0,0,0.0
71,1778774961.9978957,decode,2522,748901,0.9707530098617693,771378,2513,2118.441601290445,69429,8,2522,768856,771378,771378,0.9998885236381737,17,69446,0,0,0,0,0.0
72,1778774962.1777053,decode,2513,771410,0.9999300032146672,771173,2513,2118.441601290445,69455,9,2513,768660,771173,771173,0.9996227951012621,0,69455,72,75,0,0,0.0
74,1778774962.4378011,decode,2507,671150,0.8699693051133948,771217,2499,2118.441601290445,69380,9,2507,768710,771217,771217,0.9996798295189406,9,69389,0,0,0,0,0.0
75,1778774962.930774,decode,2499,771350,0.9998522290087418,771308,2499,2118.441601290445,69397,8,2499,768809,771308,771308,0.9997977870645941,0,69397,318,334,0,0,0.0
77,1778774963.2567778,decode,2507,473379,0.6136112637789968,771457,2498,2118.441601290445,69063,8,2507,768950,771457,771457,0.9999909263426421,8,69071,0,0,0,0,0.0
78,1778774965.107104,decode,2498,771279,0.9997601961983968,771246,2498,2118.441601290445,69080,9,2498,768748,771246,771246,0.9997174203851379,0,69080,955,993,0,0,0.0
80,1778774965.3831766,decode,2528,651814,0.8449052710171829,771407,2519,2118.441601290445,68087,8,2528,768879,771407,771407,0.9999261145043709,8,68095,0,0,0,0,0.0
81,1778774965.973714,decode,2519,771214,0.9996759408086443,771217,2519,2118.441601290445,68104,9,2519,768698,771217,771217,0.9996798295189406,0,68104,385,398,0,0,0.0
83,1778774966.212214,decode,2524,768956,0.9967490381923201,771338,2516,2118.441601290445,67706,8,2524,768814,771338,771338,0.9998366741675567,8,67714,0,0,0,0,0.0
84,1778774966.2759376,decode,2516,764272,0.9906774651830805,771446,2516,2118.441601290445,67714,8,2516,768930,771446,771446,0.9999766677382224,8,67722,8,8,0,0,0.0
87,1778774966.6576688,decode,2508,617337,0.800214916055707,771280,2500,2118.441601290445,67691,8,2508,768772,771280,771280,0.9997614924351622,8,67699,23,0,0,0,0.0
88,1778774967.4553401,decode,2500,720109,0.9334317609117211,771372,2500,2118.441601290445,67707,8,2500,768872,771372,771372,0.9998807462175812,0,67707,489,513,0,0,0.0
91,1778774967.9626417,decode,2520,679668,0.8810106498812648,771229,2512,2118.441601290445,67023,9,2520,768709,771229,771229,0.9996953843601257,9,67032,166,0,0,0,0.0
92,1778774968.4581113,decode,2512,627948,0.8139692843736065,771333,2512,2118.441601290445,67040,8,2512,768821,771333,771333,0.9998301929837297,0,67040,291,305,0,0,0.0
95,1778774969.3781598,decode,2530,770032,0.9981437889519148,771178,2522,2118.441601290445,66257,9,2530,768648,771178,771178,0.9996292762850891,9,66266,465,0,0,0,0.0
96,1778774969.4523644,decode,2522,703624,0.9120632978337291,771292,2522,2118.441601290445,66261,8,2522,768770,771292,771292,0.9997770472763473,13,66274,4,4,0,0,0.0
99,1778774970.01504,decode,2520,771348,0.999849636535211,771244,2512,2118.441601290445,66044,9,2520,768724,771244,771244,0.999714827911607,9,66053,219,0,0,0,0.0
100,1778774970.1233337,decode,2512,721399,0.9351039063391163,771348,2504,2118.441601290445,66044,8,2512,768836,771348,771348,0.999849636535211,17,66061,0,0,0,0,0.0
101,1778774970.4003613,decode,2504,771207,0.9996668671512864,771436,2504,2118.441601290445,66069,8,2504,768932,771436,771436,0.9999637053705681,0,66069,159,166,0,0,0.0
103,1778774970.7112403,decode,2503,507535,0.657885526738772,771310,2495,2118.441601290445,65903,8,2503,768807,771310,771310,0.999800379538125,8,65911,0,0,0,0,0.0
104,1778774972.2668886,decode,2495,771235,0.9997031617807182,771397,2495,2118.441601290445,65919,8,2495,768902,771397,771397,0.9999131521367167,0,65919,844,879,0,0,0.0
106,1778774972.5534678,decode,2522,594199,0.7702225897773584,771357,2514,2118.441601290445,65040,8,2522,768835,771357,771357,0.9998613026660997,8,65048,0,0,0,0,0.0
107,1778774973.4875543,decode,2514,771199,0.999656497257163,771463,2514,2118.441601290445,65056,8,2514,768949,771463,771463,0.9999987037632346,0,65056,570,590,0,0,0.0
109,1778774973.7359521,decode,2526,734622,0.9522440450882996,771325,2518,2118.441601290445,64466,8,2526,768799,771325,771325,0.9998198230896063,8,64474,0,0,0,0,0.0
110,1778774973.9505987,decode,2518,771222,0.9996863107027677,771435,2518,2118.441601290445,64482,8,2518,768917,771435,771435,0.9999624091338027,0,64482,119,122,0,0,0.0
112,1778774974.202037,decode,2513,664677,0.8615787645308142,771335,2505,2118.441601290445,64360,8,2513,768822,771335,771335,0.9998327854572605,8,64368,0,0,0,0,0.0
113,1778774974.7306285,decode,2505,750541,0.9728788381570624,771432,2505,2118.441601290445,64376,8,2505,768927,771432,771432,0.9999585204235065,0,64376,339,355,0,0,0.0
116,1778774975.1352553,decode,2515,650180,0.8427872201424823,771356,2507,2118.441601290445,63952,8,2515,768841,771356,771356,0.9998600064293344,8,63960,67,0,0,0,0.0
117,1778774975.7937508,decode,2507,636476,0.8250235915091307,771455,2507,2118.441601290445,63968,8,2507,768948,771455,771455,0.9999883338691112,0,63968,385,404,0,0,0.0
120,1778774976.6795158,decode,2529,742123,0.9619671170657348,771305,2521,2118.441601290445,63115,8,2529,768776,771305,771305,0.9997938983542978,8,63123,438,0,0,0,0.0
