rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
batchq-000000-type_a-0.000000000,309,301,0,"{""type"": ""length"", ""length"": 9}",9,1778774919.5719938,10041514.046350809,10041515.969860869,10041519.061889365,10041521.097317547,10041521.180869952,10041529.201802729,0,False,False,309,309,300,9,decode
batchq-000011-type_a-3.010121431,309,301,0,"{""type"": ""length"", ""length"": 9}",9,1778774919.5719938,10041514.046350809,10041515.982307144,10041519.07057324,10041521.09753568,10041521.180874309,10041529.201874468,0,False,False,309,309,300,9,decode
batchq-000012-type_a-4.326867124,309,301,0,"{""type"": ""length"", ""length"": 9}",9,1778774919.5719938,10041514.046350809,10041515.982358169,10041519.071337692,10041521.097554216,10041521.180874592,10041529.20188786,0,False,False,309,309,300,9,decode
batchq-000013-type_a-5.239809678,309,301,0,"{""type"": ""length"", ""length"": 9}",9,1778774919.5719938,10041514.046350809,10041515.982391741,10041519.072117632,10041521.097572759,10041521.180874862,10041529.201900575,0,False,False,309,309,300,9,decode
batchq-000015-type_a-5.409434549,309,301,0,"{""type"": ""length"", ""length"": 9}",9,1778774919.5719938,10041514.046350809,10041515.982484648,10041519.073653348,10041521.097609883,10041521.180875512,10041529.201917926,0,False,False,309,309,300,9,decode
batchq-000016-type_a-5.579030841,309,301,0,"{""type"": ""length"", ""length"": 9}",9,1778774919.5719938,10041514.046350809,10041515.98254302,10041519.074421795,10041521.097628156,10041521.18087583,10041529.201931,0,False,False,309,309,300,9,decode
batchq-000017-type_a-5.638869609,309,301,0,"{""type"": ""length"", ""length"": 9}",9,1778774919.5719938,10041514.046350809,10041515.982573744,10041519.075192835,10041521.097646656,10041521.180876048,10041529.201943252,0,False,False,309,309,300,9,decode
batchq-000019-type_a-7.650100474,309,301,0,"{""type"": ""length"", ""length"": 9}",9,1778774919.5719938,10041514.046350809,10041515.98263776,10041519.076728996,10041521.097684473,10041521.18087656,10041529.201960346,0,False,False,309,309,300,9,decode
batchq-000021-type_a-8.569182627,309,301,0,"{""type"": ""length"", ""length"": 9}",9,1778774919.5719938,10041514.046350809,10041515.982700285,10041519.078261092,10041521.097721556,10041521.180877216,10041529.201978153,0,False,False,309,309,300,9,decode
batchq-000022-type_a-9.800432689,309,301,0,"{""type"": ""length"", ""length"": 9}",9,1778774919.5719938,10041514.046350809,10041515.98273234,10041519.079035874,10041521.09773994,10041521.180877509,10041529.201990506,0,False,False,309,309,300,9,decode
