batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,real_admission,real_retraction,retracted_K_new,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1779413576.1124513,decode,2563,771308,0.9997964910916244,771463,2554,0.0,17429,8,2563,768900,771463,771463,0.9999974075298296,8,17437,0,2563,0,8,0,0,0,0.0
4,1779413576.2472079,decode,2554,771438,0.9999650016526997,771308,2546,0.0,17429,9,2554,768754,771308,771308,0.9997964910916244,17,17446,0,2554,0,9,0,0,0,0.0
5,1779413576.3858554,decode,2546,771248,0.9997187169865127,771438,2537,0.0,17429,8,2546,768892,771438,771438,0.9999650016526997,25,17454,0,0,8,0,0,0,0,0.0
6,1779413576.5185862,decode,2537,771345,0.9998444517897765,771248,2529,0.0,17429,9,2537,768711,771248,771248,0.9997187169865127,34,17463,0,0,9,0,0,0,0,0.0
7,1779413576.767781,decode,2529,380052,0.4926367365985495,771345,2521,0.0,17429,8,2529,768816,771345,771345,0.9998444517897765,42,17471,0,0,8,0,0,0,0,0.0
8,1779413579.5180802,decode,2521,771334,0.9998301932038395,771426,2521,0.0,17479,8,2521,768905,771426,771426,0.9999494468316774,0,17479,1279,0,8,0,1304,0,0,0.0
10,1779413579.7035828,decode,2537,770068,0.9981891595859825,771171,2529,0.0,16175,9,2537,768634,771171,771171,0.9996189068849527,9,16184,0,1262,0,9,0,0,0,0.0
11,1779413579.7563574,decode,2529,770353,0.9985585865852631,771292,2529,0.0,16179,8,2529,768763,771292,771292,0.9997757513302613,13,16192,4,1254,0,8,4,0,0,0.0
14,1779413579.927104,decode,2521,769625,0.9976149274432411,771372,2513,0.0,16175,8,2521,768851,771372,771372,0.9998794501370769,18,16193,3,0,1,7,0,0,0,0.0
15,1779413580.091878,decode,2513,385185,0.4992903112908557,771461,2513,0.0,16181,8,2513,768948,771461,771461,0.9999948150596593,20,16201,6,0,8,0,6,0,0,0.0
18,1779413582.9472036,decode,2546,577885,0.749074812207942,771449,2537,0.0,14908,8,2546,768903,771449,771449,0.9999792602386369,8,14916,1246,1276,0,8,0,0,0,0.0
