batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1779694400.7374022,decode,2563,771308,0.9997977870645941,771463,2554,0.0,87429,8,2563,768900,771463,771463,0.9999987037632346,8,87437,0,0,0,0,0.0
4,1779694400.917676,decode,2554,771438,0.999966297844099,771308,2546,0.0,87429,9,2554,768754,771308,771308,0.9997977870645941,17,87446,0,0,0,0,0.0
5,1779694401.1753278,decode,2546,517408,0.6706832723237895,771438,2537,0.0,87429,8,2546,768892,771438,771438,0.999966297844099,25,87454,0,0,0,0,0.0
6,1779694402.7594936,decode,2537,771234,0.9997018655439528,771248,2537,0.0,87463,9,2537,768711,771248,771248,0.9997200128586687,0,87463,835,846,0,0,0.0
8,1779694403.1584377,decode,2540,510492,0.6617184988541267,771374,2531,0.0,86617,8,2540,768834,771374,771374,0.999883338691112,8,86625,0,0,0,0,0.0
9,1779694404.7546043,decode,2531,769980,0.9980763846401128,771196,2531,0.0,86634,9,2531,768665,771196,771196,0.9996526085468668,0,86634,852,869,0,0,0.0
12,1779694405.2124834,decode,2540,692094,0.8971176879284063,771320,2532,0.0,85761,8,2540,768780,771320,771320,0.9998133419057792,8,85769,4,0,0,0,0.0
13,1779694405.6568155,decode,2532,771294,0.9997796397498782,771444,2532,0.0,85777,8,2532,768912,771444,771444,0.9999740752646915,0,85777,261,264,0,0,0.0
15,1779694406.0213318,decode,2527,597088,0.7739674177926643,771421,2518,0.0,85513,8,2527,768894,771421,771421,0.9999442618190868,8,85521,0,0,0,0,0.0
16,1779694406.9814494,decode,2518,771388,0.9999014860058278,771230,2518,0.0,85530,9,2518,768712,771230,771230,0.9996966805968911,0,85530,571,581,0,0,0.0
18,1779694407.401885,decode,2519,395768,0.5130090321777815,771207,2511,0.0,84949,9,2519,768688,771207,771207,0.9996668671512864,9,84958,0,0,0,0,0.0
19,1779694410.075054,decode,2511,771368,0.9998755612705195,771310,2511,0.0,84966,8,2511,768799,771310,771310,0.999800379538125,0,84966,1211,1252,0,0,0.0
21,1779694410.4206355,decode,2543,686942,0.8904394761129489,771211,2535,0.0,83714,9,2543,768668,771211,771211,0.9996720520983481,9,83723,0,0,0,0,0.0
22,1779694410.892106,decode,2535,769998,0.9980997169018905,771338,2535,0.0,83731,8,2535,768803,771338,771338,0.9998366741675567,0,83731,277,281,0,0,0.0
25,1779694411.4138014,decode,2531,498020,0.6455518339157758,771329,2523,0.0,83446,8,2531,768798,771329,771329,0.999825008036668,8,83454,4,0,0,0,0.0
26,1779694413.1075516,decode,2523,771320,0.9998133419057792,771444,2523,0.0,83462,8,2523,768921,771444,771444,0.9999740752646915,0,83462,891,911,0,0,0.0
28,1779694413.4733772,decode,2535,533206,0.6911612207439362,771455,2526,0.0,82551,8,2535,768920,771455,771455,0.9999883338691112,8,82559,0,0,0,0,0.0
29,1779694414.8818269,decode,2526,771406,0.9999248182676055,771272,2526,0.0,82568,9,2526,768746,771272,771272,0.9997511225410388,0,82568,773,794,0,0,0.0
31,1779694415.2441587,decode,2538,618798,0.8021087179699895,771244,2530,0.0,81774,9,2538,768706,771244,771244,0.999714827911607,9,81783,0,0,0,0,0.0
32,1779694416.080014,decode,2530,771198,0.9996552010203976,771366,2530,0.0,81791,8,2530,768836,771366,771366,0.9998729687969886,0,81791,499,508,0,0,0.0
34,1779694416.4540944,decode,2531,547990,0.7103247850839443,771329,2523,0.0,81283,8,2531,768798,771329,771329,0.999825008036668,8,81291,0,0,0,0,0.0
35,1779694417.7554948,decode,2523,771190,0.9996448311262742,771444,2523,0.0,81299,8,2523,768921,771444,771444,0.9999740752646915,0,81299,728,744,0,0,0.0
37,1779694418.138171,decode,2531,514538,0.6669630728070266,771321,2523,0.0,80555,8,2531,768790,771321,771321,0.9998146381425446,8,80563,0,0,0,0,0.0
38,1779694419.6850843,decode,2523,771338,0.9998366741675567,771436,2523,0.0,80571,8,2523,768913,771436,771436,0.9999637053705681,0,80571,833,856,0,0,0.0
40,1779694420.0350099,decode,2537,618194,0.8013257909636743,771175,2529,0.0,79715,9,2537,768638,771175,771175,0.9996253875747929,9,79724,0,0,0,0,0.0
41,1779694420.8608346,decode,2529,771194,0.9996500160733359,771296,2529,0.0,79732,8,2529,768767,771296,771296,0.999782232223409,0,79732,500,510,0,0,0.0
43,1779694421.2335713,decode,2531,514864,0.6673856459925545,771325,2523,0.0,79222,8,2531,768794,771325,771325,0.9998198230896063,8,79230,0,0,0,0,0.0
44,1779694422.7919269,decode,2523,771364,0.9998703763234578,771440,2523,0.0,79238,8,2523,768917,771440,771440,0.9999688903176298,0,79238,835,855,0,0,0.0
46,1779694423.1397688,decode,2534,561358,0.727652878164114,771198,2526,0.0,78383,9,2534,768664,771198,771198,0.9996552010203976,9,78392,0,0,0,0,0.0
47,1779694424.3224201,decode,2526,771358,0.9998625989028652,771316,2526,0.0,78400,8,2526,768790,771316,771316,0.9998081569587175,0,78400,682,700,0,0,0.0
49,1779694424.6812944,decode,2535,586326,0.760017317723186,771193,2527,0.0,77700,9,2535,768658,771193,771193,0.9996487198365704,9,77709,0,0,0,0,0.0
50,1779694425.6947432,decode,2527,771426,0.999950743002914,771312,2527,0.0,77717,8,2527,768785,771312,771312,0.9998029720116558,0,77717,603,617,0,0,0.0
