rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
batchq-000000-type_a-0.000000000,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.895093204,10961322.184657076,10961324.214795543,10961324.303389674,10961331.723166056,0,False,False,305,305,300,5,decode
batchq-000001-type_a-0.283772169,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.896481894,10961322.185601808,10961324.214819731,10961324.303392977,10961331.723184936,0,False,False,305,305,300,5,decode
batchq-000002-type_a-2.892001493,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.89787225,10961322.186440555,10961324.214840071,10961324.303394012,10961331.723198038,0,False,False,305,305,300,5,decode
batchq-000003-type_a-5.113960402,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899020853,10961322.187257405,10961324.214860087,10961324.303394925,10961331.7232099,0,False,False,305,305,300,5,decode
batchq-000004-type_a-6.263687348,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899242925,10961322.188087128,10961324.214879544,10961324.303395497,10961331.72322144,0,False,False,305,305,300,5,decode
batchq-000005-type_a-7.100438559,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899273336,10961322.188897973,10961324.214899348,10961324.303395964,10961331.723233579,0,False,False,305,305,300,5,decode
batchq-000006-type_a-7.892226396,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899310144,10961322.189697253,10961324.214917945,10961324.303396504,10961331.723245246,0,False,False,305,305,300,5,decode
batchq-000007-type_a-8.128485375,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899338622,10961322.190506866,10961324.214936668,10961324.30339694,10961331.72325688,0,False,False,305,305,300,5,decode
batchq-000008-type_a-9.597094385,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899372907,10961322.191297876,10961324.214955475,10961324.303397477,10961331.723268814,0,False,False,305,305,300,5,decode
batchq-000009-type_a-11.862673725,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899407014,10961322.192115873,10961324.214975053,10961324.30339792,10961331.723280156,0,False,False,305,305,300,5,decode
batchq-000010-type_a-13.141551330,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899440836,10961322.192896739,10961324.214994028,10961324.303398468,10961331.723292146,0,False,False,305,305,300,5,decode
batchq-000011-type_a-13.832262180,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899473552,10961322.1936943,10961324.215013167,10961324.303398915,10961331.723303592,0,False,False,305,305,300,5,decode
batchq-000012-type_a-14.416039901,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899501728,10961322.19447638,10961324.21503181,10961324.303399356,10961331.723315628,0,False,False,305,305,300,5,decode
batchq-000013-type_a-16.037704899,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899529768,10961322.195271304,10961324.215050438,10961324.30340016,10961331.723327132,0,False,False,305,305,300,5,decode
batchq-000014-type_a-17.900947303,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899558,10961322.196064131,10961324.215069376,10961324.303400736,10961331.723338723,0,False,False,305,305,300,5,decode
batchq-000015-type_a-18.161193478,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899583988,10961322.196853813,10961324.215088576,10961324.303401282,10961331.723349774,0,False,False,305,305,300,5,decode
batchq-000016-type_a-21.435781330,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899610965,10961322.197642999,10961324.215107016,10961324.303401642,10961331.723366192,0,False,False,305,305,300,5,decode
batchq-000017-type_a-21.496506688,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.89963692,10961322.198448936,10961324.215125842,10961324.303402476,10961331.723377552,0,False,False,305,305,300,5,decode
batchq-000018-type_a-21.838768695,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899664348,10961322.199217796,10961324.215144804,10961324.303402856,10961331.723389115,0,False,False,305,305,300,5,decode
batchq-000019-type_a-22.212973743,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.899690682,10961322.200020388,10961324.215164324,10961324.303403312,10961331.723400684,0,False,False,305,305,300,5,decode
batchq-000020-type_a-23.423321046,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779694599.7066722,10961320.020587804,10961320.8997196,10961322.200811751,10961324.215183118,10961324.303403905,10961331.72341212,0,False,False,305,305,300,5,decode
