batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1779692084.1938555,decode,2563,771308,0.9997964910916244,771463,2554,0.0,57429,8,2563,768900,771463,771463,0.9999974075298296,8,57437,0,0,0,0,0.0
4,1779692084.3622665,decode,2554,771438,0.9999650016526997,771308,2546,0.0,57429,9,2554,768754,771308,771308,0.9997964910916244,17,57446,0,0,0,0,0.0
5,1779692084.5308192,decode,2546,771248,0.9997187169865127,771438,2537,0.0,57429,8,2546,768892,771438,771438,0.9999650016526997,25,57454,0,0,0,0,0.0
6,1779692084.683484,decode,2537,771345,0.9998444517897765,771248,2529,0.0,57429,9,2537,768711,771248,771248,0.9997187169865127,34,57463,0,0,0,0,0.0
7,1779692084.9520903,decode,2529,391068,0.5069160622970582,771345,2521,0.0,57429,8,2529,768816,771345,771345,0.9998444517897765,42,57471,0,0,0,0,0.0
8,1779692087.7331045,decode,2521,771250,0.999721309456683,771426,2521,0.0,57479,8,2521,768905,771426,771426,0.9999494468316774,0,57479,1243,1267,0,0,0.0
10,1779692088.0037384,decode,2537,769676,0.997681035432586,771387,2528,0.0,56212,8,2537,768850,771387,771387,0.9998988936633548,8,56220,0,0,0,0,0.0
11,1779692088.0589502,decode,2528,769651,0.9976486295554562,771206,2528,0.0,56217,9,2528,768678,771206,771206,0.9996642751129344,12,56229,5,5,0,0,0.0
14,1779692088.300046,decode,2520,770445,0.998677840213101,771271,2512,0.0,56212,9,2520,768751,771271,771271,0.9997485303934721,15,56227,5,0,0,0,0.0
15,1779692088.4664648,decode,2512,373640,0.48432527723227886,771363,2512,0.0,56215,8,2512,768851,771363,771363,0.9998677840213102,20,56235,3,3,0,0,0.0
18,1779692091.6420648,decode,2546,583238,0.7560135586189911,771298,2538,0.0,54906,9,2546,768752,771298,771298,0.9997835287407725,9,54915,1283,0,0,0,0.0
19,1779692092.6656985,decode,2538,770408,0.9986298795149489,771428,2538,0.0,54923,8,2538,768890,771428,771428,0.9999520393018477,0,54923,615,627,0,0,0.0
22,1779692092.999438,decode,2542,769729,0.9977497358921014,771450,2533,0.0,54293,8,2542,768908,771450,771450,0.9999805564737221,8,54301,3,0,0,0,0.0
23,1779692093.0540671,decode,2533,769369,0.9972830912614312,771274,2533,0.0,54298,9,2533,768741,771274,771274,0.9997524190987277,12,54310,5,5,0,0,0.0
26,1779692093.3511736,decode,2525,565746,0.7333398145087593,771294,2517,0.0,54293,8,2525,768769,771294,771294,0.9997783438004316,14,54307,6,0,0,0,0.0
27,1779692094.5344613,decode,2517,586496,0.7602366925265566,771393,2517,0.0,54315,8,2517,768876,771393,771393,0.999906671073866,0,54315,672,685,0,0,0.0
30,1779692095.7538774,decode,2542,679462,0.8807424834567997,771438,2533,0.0,53014,8,2542,768896,771438,771438,0.9999650016526997,8,53022,596,0,0,0,0.0
31,1779692096.1992438,decode,2533,770022,0.9981295327720635,771262,2533,0.0,53031,9,2533,768729,771262,771262,0.9997368642777054,0,53031,300,306,0,0,0.0
34,1779692096.4972548,decode,2531,771166,0.9996124257095267,771353,2522,0.0,52721,8,2531,768822,771353,771353,0.9998548216704581,8,52729,4,0,0,0,0.0
35,1779692096.6516473,decode,2522,573157,0.7429462127251398,771166,2514,0.0,52721,9,2522,768644,771166,771166,0.9996124257095267,17,52738,0,0,0,0,0.0
36,1779692097.780521,decode,2514,568640,0.7370911188453138,771264,2514,0.0,52746,8,2514,768750,771264,771264,0.9997394567478758,0,52746,637,661,0,0,0.0
39,1779692099.1166203,decode,2540,675616,0.8757571633191396,771280,2532,0.0,51409,9,2540,768740,771280,771280,0.9997601965092389,9,51418,665,0,0,0,0.0
40,1779692099.5899205,decode,2532,732581,0.9495971949472757,771404,2532,0.0,51426,8,2532,768872,771404,771404,0.9999209296598031,0,51426,308,319,0,0,0.0
43,1779692100.0172539,decode,2537,769682,0.9976888128430972,771418,2528,0.0,50978,8,2537,768881,771418,771418,0.9999390769509958,8,50986,127,0,0,0,0.0
44,1779692100.0746207,decode,2528,769352,0.9972610552649829,771237,2528,0.0,50983,9,2528,768709,771237,771237,0.9997044584005755,12,50995,5,5,0,0,0.0
47,1779692100.421015,decode,2520,381512,0.4945292398229343,771272,2512,0.0,50978,9,2520,768752,771272,771272,0.9997498266285574,14,50992,6,0,0,0,0.0
48,1779692103.1935878,decode,2512,771222,0.9996850148742976,771366,2512,0.0,51000,8,2512,768854,771366,771366,0.9998716727265657,0,51000,1264,1299,0,0,0.0
50,1779692103.4794018,decode,2539,652582,0.8458996843667568,771361,2530,0.0,49701,8,2539,768822,771361,771361,0.9998651915511397,8,49709,0,0,0,0,0.0
51,1779692104.0656297,decode,2530,771382,0.9998924124879288,771182,2530,0.0,49718,9,2530,768652,771182,771182,0.9996331654708898,0,49718,385,396,0,0,0.0
53,1779692104.3010595,decode,2532,769790,0.9978288062322983,771214,2524,0.0,49322,9,2532,768682,771214,771214,0.999674644993616,9,49331,0,0,0,0,0.0
54,1779692104.4143987,decode,2524,566070,0.7337597946763625,771330,2524,0.0,49327,8,2524,768806,771330,771330,0.9998250082634986,12,49339,5,5,0,0,0.0
57,1779692105.8025775,decode,2538,574164,0.7442515214559312,771408,2529,0.0,48650,8,2538,768870,771408,771408,0.9999261146001439,8,48658,662,0,0,0,0.0
