batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,real_admission,real_retraction,retracted_K_new,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1779864769.2368722,decode,2563,771308,0.9997964910916244,771463,2554,0.0,117429,8,2563,768900,771463,771463,0.9999974075298296,8,117437,0,2563,0,8,0,0,0,0.0
4,1779864769.4133644,decode,2554,771438,0.9999650016526997,771308,2546,0.0,117429,9,2554,768754,771308,771308,0.9997964910916244,17,117446,0,2554,0,9,0,0,0,0.0
5,1779864769.614375,decode,2546,771248,0.9997187169865127,771438,2537,0.0,117429,8,2546,768892,771438,771438,0.9999650016526997,25,117454,0,0,8,0,0,0,0,0.0
6,1779864769.8642592,decode,2537,584380,0.7574938590862839,771248,2529,0.0,117429,9,2537,768711,771248,771248,0.9997187169865127,34,117463,0,0,9,0,0,0,0,0.0
7,1779864771.0601063,decode,2529,578875,0.7503580849422852,771345,2529,0.0,117471,8,2529,768816,771345,771345,0.9998444517897765,0,117471,613,0,8,0,623,0,0,0.0
10,1779864772.447229,decode,2541,770526,0.9987828352550019,771316,2533,0.0,116207,8,2541,768775,771316,771316,0.999806860972306,8,116215,631,1231,0,8,0,0,0,0.0
11,1779864772.5259938,decode,2533,771426,0.9999494468316774,771441,2533,0.0,116210,8,2533,768908,771441,771441,0.9999688903579553,13,116223,3,1223,0,8,3,0,0,0.0
13,1779864772.7582462,decode,2524,770412,0.9986350644552896,771238,2516,0.0,116207,9,2524,768714,771238,771238,0.9997057546356607,22,116229,0,0,6,3,0,0,0,0.0
14,1779864772.9189258,decode,2516,485127,0.6288386381754195,771330,2516,0.0,116210,8,2516,768814,771330,771330,0.9998250082634986,27,116237,3,0,8,0,3,0,0,0.0
17,1779864775.1265247,decode,2530,685007,0.8879301070042063,771185,2522,0.0,115280,9,2530,768655,771185,771185,0.9996370541761453,9,115289,931,934,0,9,0,0,0,0.0
18,1779864775.669513,decode,2522,567093,0.735085843168517,771299,2522,0.0,115297,8,2522,768777,771299,771299,0.9997848249758576,0,115297,282,926,0,8,288,0,0,0.0
21,1779864777.1660542,decode,2543,767981,0.9954839169631804,771236,2535,0.0,114328,9,2543,768693,771236,771236,0.9997031621654904,9,114337,657,960,0,9,0,0,0,0.0
22,1779864777.2779365,decode,2535,701641,0.9094916814113407,771363,2535,0.0,114339,8,2535,768828,771363,771363,0.9998677840213102,6,114345,11,952,0,8,11,0,0,0.0
25,1779864778.0275755,decode,2530,601651,0.7798811352426877,771371,2521,0.0,114102,8,2530,768841,771371,771371,0.9998781539019916,8,114110,229,235,0,8,0,0,0,0.0
26,1779864778.9851723,decode,2521,697240,0.9037869508013974,771183,2521,0.0,114119,9,2521,768662,771183,771183,0.999634461705975,0,114119,550,226,0,9,566,0,0,0.0
29,1779864779.7433255,decode,2531,598888,0.7762996377022937,771171,2523,0.0,113306,9,2531,768640,771171,771171,0.9996189068849527,9,113315,244,804,0,9,0,0,0,0.0
30,1779864780.7005482,decode,2523,752236,0.9750746955467844,771286,2523,0.0,113323,8,2523,768763,771286,771286,0.99976797391975,0,113323,557,796,0,8,575,0,0,0.0
33,1779864781.2218983,decode,2533,686036,0.889263932906872,771269,2525,0.0,112684,9,2533,768736,771269,771269,0.9997459379233018,9,112693,63,630,0,9,0,0,0,0.0
34,1779864781.7440245,decode,2525,712868,0.9240445127128256,771386,2525,0.0,112701,8,2525,768861,771386,771386,0.9998975974282696,0,112701,276,622,0,8,284,0,0,0.0
37,1779864782.4380784,decode,2527,559330,0.7250231702021479,771195,2519,0.0,112222,9,2527,768668,771195,771195,0.9996500165269974,9,112231,192,470,0,9,0,0,0,0.0
38,1779864783.6844597,decode,2519,719750,0.932965202569138,771306,2519,0.0,112239,8,2519,768787,771306,771306,0.999793898621454,0,112239,685,462,0,8,707,0,0,0.0
41,1779864784.3312824,decode,2534,633706,0.821431950898615,771184,2526,0.0,111360,9,2534,768650,771184,771184,0.9996357579410602,9,111369,170,870,0,9,0,0,0,0.0
42,1779864785.0831268,decode,2526,737358,0.9557893099492524,771302,2526,0.0,111377,8,2526,768776,771302,771302,0.9997887136811132,0,111377,444,862,0,8,459,0,0,0.0
