batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,real_admission,real_retraction,retracted_K_new,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1779987581.214999,decode,2563,771308,0.9997977870645941,771463,2554,0.0,57429,8,2563,768900,771463,771463,0.9999987037632346,8,57437,0,2563,0,8,0,0,0,0.0
4,1779987581.3557012,decode,2554,771438,0.999966297844099,771308,2546,0.0,57429,9,2554,768754,771308,771308,0.9997977870645941,17,57446,0,2554,0,9,0,0,0,0.0
5,1779987581.5058644,decode,2546,771248,0.9997200128586687,771438,2537,0.0,57429,8,2546,768892,771438,771438,0.999966297844099,25,57454,0,0,8,0,0,0,0,0.0
6,1779987581.71342,decode,2537,582550,0.7551227276969502,771248,2529,0.0,57429,9,2537,768711,771248,771248,0.9997200128586687,34,57463,0,0,9,0,0,0,0,0.0
7,1779987582.8583217,decode,2529,572440,0.7420177739985275,771345,2529,0.0,57471,8,2529,768816,771345,771345,0.9998457478249148,0,57471,619,0,8,0,629,0,0,0.0
10,1779987584.168468,decode,2541,770696,0.9990044901641554,771181,2533,0.0,56179,9,2541,768640,771181,771181,0.9996331649953853,9,56188,652,1258,0,9,0,0,0,0.0
11,1779987584.2184858,decode,2533,769470,0.9974153038897473,771306,2533,0.0,56181,8,2533,768773,771306,771306,0.9997951945910633,15,56196,2,1250,0,8,2,0,0,0.0
14,1779987584.453669,decode,2525,769960,0.9980504599048043,771395,2516,0.0,56179,8,2525,768870,771395,771395,0.9999105596631859,17,56196,6,0,0,8,0,0,0,0.0
15,1779987584.59291,decode,2516,480085,0.6223038275279209,771184,2516,0.0,56183,9,2516,768668,771184,771184,0.9996370537056817,22,56205,4,0,9,0,4,0,0,0.0
18,1779987586.6472108,decode,2531,679243,0.88045974925596,771234,2523,0.0,55230,9,2531,768703,771234,771234,0.9997018655439528,9,55239,947,957,0,9,0,0,0,0.0
