rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
batchq-000000-type_a-0.000000000,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779987564.1015127,11254325.952171884,11254327.202887371,11254330.113099258,11254332.15223105,11254332.23290986,11254339.613645935,0,False,False,305,305,300,5,decode
batchq-000006-type_a-0.283772169,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779987564.1015127,11254325.952171884,11254327.208813507,11254330.119880056,11254332.152345568,11254332.232913105,11254339.613695724,0,False,False,305,305,300,5,decode
batchq-000012-type_a-2.892001493,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779987564.1015127,11254325.952171884,11254327.211708348,11254330.126397217,11254332.152458292,11254332.232915437,11254339.613732697,0,False,False,305,305,300,5,decode
batchq-000019-type_a-5.113960402,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779987564.1015127,11254325.952171884,11254327.211900624,11254330.133982439,11254332.15258514,11254332.232918112,11254339.613772936,0,False,False,305,305,300,5,decode
batchq-000022-type_a-6.263687348,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779987564.1015127,11254325.952171884,11254327.211985093,11254330.137225276,11254332.15263875,11254332.232919551,11254339.613795592,0,False,False,305,305,300,5,decode
batchq-000026-type_a-7.100438559,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779987564.1015127,11254325.952171884,11254327.212089809,11254330.141587785,11254332.152709233,11254332.232920973,11254339.61382216,0,False,False,305,305,300,5,decode
batchq-000028-type_a-7.892226396,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779987564.1015127,11254325.952171884,11254327.212145153,11254330.1437665,11254332.152744612,11254332.232921667,11254339.613840172,0,False,False,305,305,300,5,decode
batchq-000029-type_a-8.128485375,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779987564.1015127,11254325.952171884,11254327.212172111,11254330.144851837,11254332.152761888,11254332.232921964,11254339.61385277,0,False,False,305,305,300,5,decode
batchq-000034-type_a-9.597094385,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779987564.1015127,11254325.952171884,11254327.212302092,11254330.15028053,11254332.152850136,11254332.232923565,11254339.613883372,0,False,False,305,305,300,5,decode
batchq-000041-type_a-11.862673725,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779987564.1015127,11254325.952171884,11254327.212487444,11254330.15789272,11254332.152973024,11254332.232925858,11254339.613922467,0,False,False,305,305,300,5,decode
batchq-000044-type_a-13.141551330,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779987564.1015127,11254325.952171884,11254327.21256632,11254330.161134891,11254332.153025128,11254332.232926652,11254339.613944964,0,False,False,305,305,300,5,decode
batchq-000046-type_a-13.832262180,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779987564.1015127,11254325.952171884,11254327.21261822,11254330.16329328,11254332.153060278,11254332.232927244,11254339.613961937,0,False,False,305,305,300,5,decode
batchq-000049-type_a-14.416039901,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779987564.1015127,11254325.952171884,11254327.212694775,11254330.16652944,11254332.15311276,11254332.23292818,11254339.61398263,0,False,False,305,305,300,5,decode
