rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
batchq-000000-type_a-0.000000000,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.860150872,11254695.67328182,11254697.679049127,11254697.764014656,11254705.244333744,0,False,False,306,306,300,6,decode
batchq-000003-type_a-0.283772169,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.863165343,11254695.675770825,11254697.679112872,11254697.764016466,11254705.244373485,0,False,False,306,306,300,6,decode
batchq-000006-type_a-2.892001493,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.865983613,11254695.67809994,11254697.679170104,11254697.764017822,11254705.24439732,0,False,False,306,306,300,6,decode
batchq-000011-type_a-5.113960402,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.868323086,11254695.681937624,11254697.679263074,11254697.764019381,11254705.244428772,0,False,False,306,306,300,6,decode
batchq-000012-type_a-6.263687348,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.868350148,11254695.682716472,11254697.679281576,11254697.764019758,11254705.244441234,0,False,False,306,306,300,6,decode
batchq-000015-type_a-7.100438559,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.868435096,11254695.685032045,11254697.679336596,11254697.76402072,11254705.24446334,0,False,False,306,306,300,6,decode
batchq-000016-type_a-7.892226396,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.868461847,11254695.685807288,11254697.679359624,11254697.764021011,11254705.24447572,0,False,False,306,306,300,6,decode
batchq-000017-type_a-8.128485375,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.86848762,11254695.686583051,11254697.679378416,11254697.764021285,11254705.244488211,0,False,False,306,306,300,6,decode
batchq-000019-type_a-9.597094385,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.868539715,11254695.688128743,11254697.679416416,11254697.76402202,11254705.244505448,0,False,False,306,306,300,6,decode
batchq-000024-type_a-11.862673725,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.868681002,11254695.691988336,11254697.679509485,11254697.764024258,11254705.244536322,0,False,False,306,306,300,6,decode
batchq-000025-type_a-13.141551330,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.868707964,11254695.692759898,11254697.679527948,11254697.764024649,11254705.24454865,0,False,False,306,306,300,6,decode
batchq-000027-type_a-13.832262180,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.868759384,11254695.694295488,11254697.679564727,11254697.764025291,11254705.244566267,0,False,False,306,306,300,6,decode
batchq-000029-type_a-14.416039901,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.868810812,11254695.695841616,11254697.679601856,11254697.764025845,11254705.244583195,0,False,False,306,306,300,6,decode
batchq-000031-type_a-16.037704899,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.868861964,11254695.697389193,11254697.679638973,11254697.764026456,11254705.244600115,0,False,False,306,306,300,6,decode
batchq-000034-type_a-17.900947303,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.868938811,11254695.699727312,11254697.679694204,11254697.764027152,11254705.244621292,0,False,False,306,306,300,6,decode
batchq-000036-type_a-18.161193478,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.868993787,11254695.701275457,11254697.679731162,11254697.764027689,11254705.244638216,0,False,False,306,306,300,6,decode
batchq-000040-type_a-21.435781330,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.869098516,11254695.70436454,11254697.679805627,11254697.764029196,11254705.244664686,0,False,False,306,306,300,6,decode
batchq-000041-type_a-21.496506688,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.869124865,11254695.705133948,11254697.679824095,11254697.764029507,11254705.244676623,0,False,False,306,306,300,6,decode
batchq-000042-type_a-21.838768695,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.869150432,11254695.705898598,11254697.679842463,11254697.764029723,11254705.244688412,0,False,False,306,306,300,6,decode
batchq-000043-type_a-22.212973743,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.869175343,11254695.70666468,11254697.679860843,11254697.764029955,11254705.244700233,0,False,False,306,306,300,6,decode
batchq-000045-type_a-23.423321046,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.86922626,11254695.708206484,11254697.679897508,11254697.764030552,11254705.244716538,0,False,False,306,306,300,6,decode
batchq-000046-type_a-24.652983903,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.869251411,11254695.708976952,11254697.679915747,11254697.764030783,11254705.24472898,0,False,False,306,306,300,6,decode
batchq-000050-type_a-27.518192719,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.869360017,11254695.712064678,11254697.679988312,11254697.76403178,11254705.24475372,0,False,False,306,306,300,6,decode
batchq-000051-type_a-28.450570066,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779987928.8766065,11254691.641474081,11254692.869386252,11254695.712836584,11254697.68000662,11254697.764032042,11254705.2447665,0,False,False,306,306,300,6,decode
