batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,real_admission,real_retraction,retracted_K_new,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1779987860.5440044,decode,2563,771308,0.9997964910916244,771463,2554,0.0,57429,8,2563,768900,771463,771463,0.9999974075298296,8,57437,0,2563,0,8,0,0,0,0.0
4,1779987860.6828134,decode,2554,771438,0.9999650016526997,771308,2546,0.0,57429,9,2554,768754,771308,771308,0.9997964910916244,17,57446,0,2554,0,9,0,0,0,0.0
5,1779987860.8256416,decode,2546,771248,0.9997187169865127,771438,2537,0.0,57429,8,2546,768892,771438,771438,0.9999650016526997,25,57454,0,0,8,0,0,0,0,0.0
6,1779987860.9619043,decode,2537,771345,0.9998444517897765,771248,2529,0.0,57429,9,2537,768711,771248,771248,0.9997187169865127,34,57463,0,0,9,0,0,0,0,0.0
7,1779987861.2194982,decode,2529,391068,0.5069160622970582,771345,2521,0.0,57429,8,2529,768816,771345,771345,0.9998444517897765,42,57471,0,0,8,0,0,0,0,0.0
8,1779987863.9100194,decode,2521,771250,0.999721309456683,771426,2521,0.0,57479,8,2521,768905,771426,771426,0.9999494468316774,0,57479,1243,0,8,0,1267,0,0,0.0
10,1779987864.1466675,decode,2537,769676,0.997681035432586,771387,2528,0.0,56212,8,2537,768850,771387,771387,0.9998988936633548,8,56220,0,1226,0,8,0,0,0,0.0
11,1779987864.3206751,decode,2528,376027,0.4874193903806394,771206,2528,0.0,56217,9,2528,768678,771206,771206,0.9996642751129344,12,56229,5,1217,0,9,5,0,0,0.0
14,1779987867.315396,decode,2554,770501,0.998750429377872,771281,2546,0.0,54906,9,2554,768727,771281,771281,0.9997614927443241,9,54915,1283,1314,0,9,0,0,0,0.0
15,1779987867.366488,decode,2546,768952,0.9967425612309049,771419,2546,0.0,54909,8,2546,768873,771419,771419,0.999940373186081,14,54923,3,1306,0,8,3,0,0,0.0
18,1779987867.6459067,decode,2537,581569,0.7538501422618006,771189,2529,0.0,54906,9,2537,768652,771189,771189,0.9996422391164862,15,54921,8,2,0,9,0,0,0,0.0
19,1779987868.6371038,decode,2529,769333,0.9972364267983641,771298,2529,0.0,54929,8,2529,768769,771298,771298,0.9997835287407725,0,54929,620,0,6,2,632,0,0,0.0
22,1779987868.9861474,decode,2533,566966,0.7349212213126973,771266,2525,0.0,54290,9,2533,768733,771266,771266,0.9997420492180462,9,54299,6,624,0,9,0,0,0,0.0
23,1779987870.1212,decode,2525,586466,0.7601978054740007,771383,2525,0.0,54307,8,2525,768858,771383,771383,0.999893708723014,0,54307,668,616,0,8,681,0,0,0.0
26,1779987871.2885191,decode,2546,770016,0.9981217553615523,771412,2537,0.0,53010,8,2546,768866,771412,771412,0.9999312995404847,8,53018,600,1289,0,8,0,0,0,0.0
27,1779987871.3985753,decode,2537,575636,0.7461595795013384,771240,2537,0.0,53014,9,2537,768703,771240,771240,0.9997083471058311,13,53027,4,1280,0,9,4,0,0,0.0
30,1779987872.6433563,decode,2546,679104,0.8802784312962999,771382,2537,0.0,52371,8,2546,768836,771382,771382,0.9998924124879288,8,52379,635,648,0,8,0,0,0,0.0
31,1779987873.077791,decode,2537,770588,0.998863201830284,771210,2537,0.0,52388,9,2537,768673,771210,771210,0.9996694600532753,0,52388,301,639,0,9,307,0,0,0.0
34,1779987873.4222655,decode,2535,567952,0.7361993091066996,771323,2527,0.0,52079,8,2535,768788,771323,771323,0.9998159346179023,8,52087,2,301,0,8,0,0,0,0.0
