rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
batchq-000000-type_a-0.000000000,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779985842.1355107,11252604.008952336,11252605.236031158,11252608.10247654,11252610.163213989,11252610.251020605,11252617.71038131,0,False,False,305,305,300,5,decode
batchq-000006-type_a-0.283772169,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779985842.1355107,11252604.008952336,11252605.242338765,11252608.107380409,11252610.163337093,11252610.25102394,11252617.710434476,0,False,False,305,305,300,5,decode
batchq-000012-type_a-2.892001493,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779985842.1355107,11252604.008952336,11252605.243975328,11252608.112053659,11252610.163454944,11252610.251026057,11252617.71047162,0,False,False,305,305,300,5,decode
batchq-000019-type_a-5.113960402,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779985842.1355107,11252604.008952336,11252605.244162744,11252608.11754136,11252610.163588045,11252610.25102852,11252617.71051042,0,False,False,305,305,300,5,decode
batchq-000022-type_a-6.263687348,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779985842.1355107,11252604.008952336,11252605.244245388,11252608.11987234,11252610.163644733,11252610.251029711,11252617.710532272,0,False,False,305,305,300,5,decode
batchq-000026-type_a-7.100438559,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779985842.1355107,11252604.008952336,11252605.244357096,11252608.122981116,11252610.163720084,11252610.251031194,11252617.710558811,0,False,False,305,305,300,5,decode
batchq-000028-type_a-7.892226396,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779985842.1355107,11252604.008952336,11252605.244410012,11252608.124532556,11252610.163758077,11252610.25103194,11252617.710578937,0,False,False,305,305,300,5,decode
batchq-000029-type_a-8.128485375,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779985842.1355107,11252604.008952336,11252605.24443592,11252608.125313193,11252610.163776956,11252610.251032393,11252617.710591229,0,False,False,305,305,300,5,decode
batchq-000034-type_a-9.597094385,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779985842.1355107,11252604.008952336,11252605.24456676,11252608.129253607,11252610.16387098,11252610.251034373,11252617.710621867,0,False,False,305,305,300,5,decode
batchq-000041-type_a-11.862673725,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779985842.1355107,11252604.008952336,11252605.244748507,11252608.134731092,11252610.164001156,11252610.251036553,11252617.710660856,0,False,False,305,305,300,5,decode
