rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
batchq-000000-type_a-0.000000000,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779985756.1147225,11252518.163311528,11252519.523537584,11252522.44460999,11252524.40896127,11252524.488893976,11252532.110053403,0,False,False,306,306,300,6,decode
batchq-000003-type_a-0.283772169,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779985756.1147225,11252518.163311528,11252519.526875598,11252522.447133832,11252524.409020185,11252524.488896064,11252532.110092811,0,False,False,306,306,300,6,decode
batchq-000006-type_a-2.892001493,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779985756.1147225,11252518.163311528,11252519.529894697,11252522.44944942,11252524.409073291,11252524.48889694,11252532.110119155,0,False,False,306,306,300,6,decode
batchq-000011-type_a-5.113960402,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779985756.1147225,11252518.163311528,11252519.532765549,11252522.45328543,11252524.409160212,11252524.488898532,11252532.110149467,0,False,False,306,306,300,6,decode
batchq-000012-type_a-6.263687348,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779985756.1147225,11252518.163311528,11252519.532793917,11252522.454056298,11252524.40917726,11252524.488898784,11252532.110162064,0,False,False,306,306,300,6,decode
batchq-000015-type_a-7.100438559,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779985756.1147225,11252518.163311528,11252519.532875152,11252522.456351988,11252524.409228608,11252524.48889969,11252532.110183524,0,False,False,306,306,300,6,decode
batchq-000016-type_a-7.892226396,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779985756.1147225,11252518.163311528,11252519.532901596,11252522.457116216,11252524.409246108,11252524.488899997,11252532.110195871,0,False,False,306,306,300,6,decode
batchq-000017-type_a-8.128485375,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779985756.1147225,11252518.163311528,11252519.532927483,11252522.457883384,11252524.409263277,11252524.488900334,11252532.110208271,0,False,False,306,306,300,6,decode
batchq-000019-type_a-9.597094385,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779985756.1147225,11252518.163311528,11252519.532986833,11252522.459424486,11252524.409298567,11252524.488900917,11252532.110224497,0,False,False,306,306,300,6,decode
batchq-000024-type_a-11.862673725,306,301,0,"{""type"": ""length"", ""length"": 6}",6,1779985756.1147225,11252518.163311528,11252519.53312444,11252522.463274585,11252524.409390379,11252524.488902833,11252532.11025508,0,False,False,306,306,300,6,decode
