rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
882138f706da4f468a125387c81b19b6,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776993939.679696,8260282.912814643,8260282.913721651,8260282.914524165,8260282.914754809,8260282.914895663,8260495.402372501,0,False,False,11000,11000,6000,5000,decode
1bbf92923e6e49f9a467537b7ad60e86,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776993939.696279,8260282.926890929,8260283.316971809,8260283.31851473,8260283.327175635,8260283.330317765,8260495.441578004,0,False,False,11000,11000,6000,5000,decode
6567e417763141dd8ba4217d5f7eb5cc,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776993939.7104053,8260282.940515013,8260283.317013348,8260283.318818749,8260283.3271996,8260283.330318391,8260495.441593816,0,False,False,11000,11000,6000,5000,decode
da86fdf026024dad8641ca22e7e5ecf5,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776993939.7239268,8260282.953649726,8260283.317046206,8260283.319091955,8260283.327220442,8260283.330318699,8260495.441606615,0,False,False,11000,11000,6000,5000,decode
ceac720bf4924a2ea8f426ff76cc22f9,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776993939.7370408,8260282.966926686,8260283.317077338,8260283.319352619,8260283.327240773,8260283.330318991,8260495.441618628,0,False,False,11000,11000,6000,5000,decode
10291ef73d8448918972e88948a42579,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776993939.750313,8260282.980141725,8260283.317108803,8260283.319610368,8260283.327261054,8260283.330319328,8260495.441630928,0,False,False,11000,11000,6000,5000,decode
f9f3b33395af4729a9bb042c84f9481c,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776993939.7635264,8260282.993419965,8260283.317139644,8260283.319865971,8260283.327282082,8260283.330319688,8260495.441645053,0,False,False,11000,11000,6000,5000,decode
6dbe1c99087a49d592e1b9225b46222a,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776993939.7767966,8260283.006626951,8260283.317168502,8260283.320098075,8260283.327301702,8260283.330320031,8260495.441657112,0,False,False,11000,11000,6000,5000,decode
c830769ddc7b41b0bc675d46ec5f939a,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776993939.7900093,8260283.019914101,8260283.317201228,8260283.320331044,8260283.327321113,8260283.330320332,8260495.441668828,0,False,False,11000,11000,6000,5000,decode
c1ba2b44ad224bbabbf72d693b94bb6b,11000,6001,0,"{""type"": ""length"", ""length"": 5000}",5000,1776993939.8032932,8260283.033023013,8260283.317231885,8260283.320584127,8260283.327341181,8260283.330320583,8260495.441680205,0,False,False,11000,11000,6000,5000,decode
