batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,real_admission,real_retraction,retracted_K_new,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1779702202.2014518,decode,1551,466892,0.9995268810758853,466851,1546,0.0,58444,5,1551,465300,466851,466851,0.9994391078818188,5,58449,0,1551,0,5,0,0,0,0.0
4,1779702202.3055766,decode,1546,466923,0.999593246173838,466892,1541,0.0,58444,5,1546,465346,466892,466892,0.9995268810758853,10,58454,0,1546,0,5,0,0,0,0.0
5,1779702202.4299705,decode,1541,466944,0.999638203175677,466923,1536,0.0,58444,5,1541,465382,466923,466923,0.999593246173838,15,58459,0,0,5,0,0,0,0,0.0
6,1779702202.546798,decode,1536,466955,0.9996617520814022,466944,1531,0.0,58444,5,1536,465408,466944,466944,0.999638203175677,20,58464,0,0,5,0,0,0,0,0.0
7,1779702202.6566246,decode,1531,466956,0.9996638928910135,466955,1526,0.0,58444,5,1531,465424,466955,466955,0.9996617520814022,25,58469,0,0,5,0,0,0,0,0.0
8,1779702202.759714,decode,1526,466947,0.9996446256045111,466956,1521,0.0,58444,5,1526,465430,466956,466956,0.9996638928910135,30,58474,0,0,5,0,0,0,0,0.0
9,1779702202.861774,decode,1521,466928,0.999603950221895,466947,1516,0.0,58444,5,1521,465426,466947,466947,0.9996446256045111,35,58479,0,0,5,0,0,0,0,0.0
10,1779702202.9629433,decode,1516,466899,0.9995418667431649,466928,1511,0.0,58444,5,1516,465412,466928,466928,0.999603950221895,40,58484,0,0,5,0,0,0,0,0.0
11,1779702203.0631359,decode,1511,466860,0.9994583751683211,466899,1506,0.0,58444,5,1511,465388,466899,466899,0.9995418667431649,45,58489,0,0,5,0,0,0,0,0.0
12,1779702203.1640215,decode,1506,466811,0.9993534754973636,466860,1501,0.0,58444,5,1506,465354,466860,466860,0.9994583751683211,50,58494,0,0,5,0,0,0,0,0.0
13,1779702203.2764778,decode,1501,234483,0.5019834601049424,466811,1501,0.0,58445,5,1501,465310,466811,466811,0.9993534754973636,54,58499,0,0,5,0,1,0,0,0.0
16,1779702205.056168,decode,1523,466944,0.999638203175677,466931,1518,0.0,57724,5,1523,465408,466931,466931,0.999610372650729,5,57729,748,725,0,5,0,0,0,0.0
17,1779702205.1317296,decode,1518,466635,0.998976693005761,466944,1513,0.0,57724,5,1518,465426,466944,466944,0.999638203175677,10,57734,0,720,0,5,0,0,0,0.0
18,1779702205.2436695,decode,1513,229871,0.49211004617726334,466947,1513,0.0,57725,5,1513,465434,466947,466947,0.9996446256045111,14,57739,1,0,5,0,1,0,0,0.0
21,1779702206.92323,decode,1543,466640,0.9989873970538178,466919,1538,0.0,56948,5,1543,465376,466919,466919,0.9995846829353925,5,56953,755,781,0,5,0,0,0,0.0
22,1779702206.9626951,decode,1538,464440,0.9942776159087844,466952,1538,0.0,56949,5,1538,465414,466952,466952,0.999655329652568,9,56958,1,776,0,5,1,0,0,0.0
25,1779702207.147755,decode,1533,465637,0.9968401650136048,466873,1528,0.0,56948,5,1533,465340,466873,466873,0.9994862056932691,6,56954,8,4,0,5,0,0,0,0.0
26,1779702207.1929362,decode,1528,464648,0.9947229043079512,466894,1528,0.0,56952,5,1528,465366,466894,466894,0.999531162695108,7,56959,4,0,1,4,4,0,0,0.0
29,1779702207.446764,decode,1524,465525,0.9966003943371304,467074,1519,0.0,56947,5,1524,465550,467074,467074,0.9999165084251562,5,56952,7,6,0,5,0,0,0,0.0
30,1779702207.4982214,decode,1519,464525,0.9944595847257516,467088,1519,0.0,56952,5,1519,465569,467088,467088,0.9999464797597155,5,56957,5,1,0,5,5,0,0,0.0
33,1779702207.770889,decode,1514,465689,0.9969514871133965,466939,1509,0.0,56944,5,1514,465425,466939,466939,0.9996274991276201,5,56949,8,8,0,5,0,0,0,0.0
34,1779702207.8516219,decode,1509,358969,0.7684842853870477,466943,1509,0.0,56948,5,1509,465434,466943,466943,0.9996360623660656,6,56954,4,3,0,5,4,0,0,0.0
37,1779702208.6361973,decode,1517,466678,0.9990687478190502,466986,1512,0.0,56590,5,1517,465469,466986,466986,0.9997281171793548,5,56595,347,359,0,5,0,0,0,0.0
38,1779702208.7320244,decode,1512,465725,0.9970285562594062,466993,1512,0.0,56591,5,1512,465481,466993,466993,0.9997431028466346,9,56600,1,354,0,5,1,0,0,0.0
41,1779702209.2610781,decode,1507,229004,0.49025396424419787,466932,1502,0.0,56590,5,1507,465425,466932,466932,0.9996125134603404,10,56600,4,0,0,5,0,0,0,0.0
42,1779702210.815925,decode,1502,466914,0.9995739788873356,466919,1502,0.0,56605,5,1502,465417,466919,466919,0.9995846829353925,0,56605,759,0,5,0,793,0,0,0.0
44,1779702211.0069757,decode,1531,465706,0.99698788087679,466945,1526,0.0,55812,5,1531,465414,466945,466945,0.9996403439852883,5,55817,0,783,0,5,0,0,0,0.0
45,1779702211.0948756,decode,1526,346016,0.7407543784908577,466966,1526,0.0,55816,5,1526,465440,466966,466966,0.9996853009871273,6,55822,4,778,0,5,4,0,0,0.0
48,1779702212.0786152,decode,1539,466672,0.9990559029613819,466955,1534,0.0,55415,5,1539,465416,466955,466955,0.9996617520814022,5,55420,385,402,0,5,0,0,0,0.0
49,1779702212.1165192,decode,1534,466658,0.9990259316268226,466984,1534,0.0,55416,5,1534,465450,466984,466984,0.9997238355601321,9,55425,1,397,0,5,1,0,0,0.0
52,1779702212.292378,decode,1529,466366,0.9984008152203,466981,1524,0.0,55415,5,1529,465452,466981,466981,0.999717413131298,13,55428,1,0,3,2,0,0,0,0.0
53,1779702212.333026,decode,1524,466966,0.9996853009871273,466990,1524,0.0,55417,5,1524,465466,466990,466990,0.9997366804178004,16,55433,2,0,5,0,2,0,0,0.0
55,1779702212.4947298,decode,1519,409554,0.8767771395786459,466973,1514,0.0,55415,5,1519,465454,466973,466973,0.9997002866544069,21,55436,0,0,3,2,0,0,0,0.0
56,1779702212.809172,decode,1514,466588,0.9988760749540261,466962,1514,0.0,55441,5,1514,465448,466962,466962,0.9996767377486818,0,55441,184,0,5,0,191,0,0,0.0
59,1779702213.0614982,decode,1516,466286,0.9982295504513897,466904,1511,0.0,55249,5,1516,465388,466904,466904,0.9995525707912218,5,55254,1,171,0,5,0,0,0,0.0
