batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,real_admission,real_retraction,retracted_K_new,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1779698869.911958,decode,2563,771308,0.9997964910916244,771463,2554,0.0,87429,8,2563,768900,771463,771463,0.9999974075298296,8,87437,0,2563,0,8,0,0,0,0.0
4,1779698870.1309159,decode,2554,771438,0.9999650016526997,771308,2546,0.0,87429,9,2554,768754,771308,771308,0.9997964910916244,17,87446,0,2554,0,9,0,0,0,0.0
5,1779698870.3678858,decode,2546,517408,0.6706824029606009,771438,2537,0.0,87429,8,2546,768892,771438,771438,0.9999650016526997,25,87454,0,0,8,0,0,0,0,0.0
6,1779698871.9468362,decode,2537,771234,0.99970056969532,771248,2537,0.0,87463,9,2537,768711,771248,771248,0.9997187169865127,0,87463,835,0,9,0,846,0,0,0.0
8,1779698872.2999077,decode,2540,510492,0.661717641111392,771374,2531,0.0,86617,8,2540,768834,771374,771374,0.9998820426072472,8,86625,0,821,0,8,0,0,0,0.0
9,1779698873.925988,decode,2531,769980,0.9980750908984853,771196,2531,0.0,86634,9,2531,768665,771196,771196,0.9996513127620825,0,86634,852,812,0,9,869,0,0,0.0
12,1779698874.3219514,decode,2540,692094,0.8971165250529836,771320,2532,0.0,85761,8,2540,768780,771320,771320,0.9998120459126467,8,85769,4,865,0,8,0,0,0,0.0
13,1779698874.736353,decode,2532,771294,0.9997783438004316,771444,2532,0.0,85777,8,2532,768912,771444,771444,0.9999727790632109,0,85777,261,857,0,8,264,0,0,0.0
15,1779698875.0475078,decode,2527,597088,0.7739664145489425,771421,2518,0.0,85513,8,2527,768894,771421,771421,0.9999429656562514,8,85521,0,256,0,8,0,0,0,0.0
16,1779698875.9856553,decode,2518,771388,0.99990018989844,771230,2518,0.0,85530,9,2518,768712,771230,771230,0.9996953847549792,0,85530,571,247,0,9,581,0,0,0.0
