batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,real_admission,real_retraction,retracted_K_new,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1779699197.4518647,decode,2563,771308,0.9997964910916244,771463,2554,0.0,27429,8,2563,768900,771463,771463,0.9999974075298296,8,27437,0,2563,0,8,0,0,0,0.0
4,1779699197.5871372,decode,2554,771438,0.9999650016526997,771308,2546,0.0,27429,9,2554,768754,771308,771308,0.9997964910916244,17,27446,0,2554,0,9,0,0,0,0.0
5,1779699197.7266943,decode,2546,771248,0.9997187169865127,771438,2537,0.0,27429,8,2546,768892,771438,771438,0.9999650016526997,25,27454,0,0,8,0,0,0,0,0.0
6,1779699198.0908003,decode,2537,0,0.0,771248,2529,0.0,27429,9,2537,768711,771248,771248,0.9997187169865127,34,27463,0,0,9,0,0,0,0,0.0
7,1779699206.548603,decode,2529,771350,0.9998509329652026,771345,2529,0.0,27471,8,2529,768816,771345,771345,0.9998444517897765,0,27471,2529,0,8,0,2571,0,0,0.0
9,1779699206.7691486,decode,2562,768918,0.9966984892380082,771212,2554,0.0,24900,9,2562,768650,771212,771212,0.9996720525234456,9,24909,0,2537,0,9,0,0,0,0.0
10,1779699206.8299024,decode,2554,768582,0.9962629542493827,771358,2554,0.0,24908,8,2554,768804,771358,771358,0.9998613028458841,9,24917,8,2529,0,8,8,0,0,0.0
13,1779699207.0614433,decode,2546,768816,0.9965662732593183,771428,2537,0.0,24900,8,2546,768882,771428,771428,0.9999520393018477,8,24908,9,9,0,8,0,0,0,0.0
14,1779699207.344134,decode,2537,2400,0.0031109642044681225,771256,2537,0.0,24908,9,2537,768719,771256,771256,0.9997290868671942,9,24917,8,0,0,9,8,0,0,0.0
17,1779699215.7940857,decode,2563,771308,0.9997964910916244,771463,2554,0.0,22346,8,2563,768900,771463,771463,0.9999974075298296,8,22354,2529,2563,0,8,0,0,0,0.0
18,1779699215.8842604,decode,2554,771438,0.9999650016526997,771308,2546,0.0,22346,9,2554,768754,771308,771308,0.9997964910916244,17,22363,0,2554,0,9,0,0,0,0.0
19,1779699215.9732895,decode,2546,771248,0.9997187169865127,771438,2537,0.0,22346,8,2546,768892,771438,771438,0.9999650016526997,25,22371,0,0,8,0,0,0,0,0.0
20,1779699216.2934043,decode,2537,0,0.0,771248,2529,0.0,22346,9,2537,768711,771248,771248,0.9997187169865127,34,22380,0,0,9,0,0,0,0,0.0
21,1779699224.6193924,decode,2529,771350,0.9998509329652026,771345,2529,0.0,22388,8,2529,768816,771345,771345,0.9998444517897765,0,22388,2529,0,8,0,2571,0,0,0.0
23,1779699224.8366241,decode,2562,768918,0.9966984892380082,771212,2554,0.0,19817,9,2562,768650,771212,771212,0.9996720525234456,9,19826,0,2537,0,9,0,0,0,0.0
24,1779699224.9009252,decode,2554,768582,0.9962629542493827,771358,2554,0.0,19825,8,2554,768804,771358,771358,0.9998613028458841,9,19834,8,2529,0,8,8,0,0,0.0
27,1779699225.1239493,decode,2546,768816,0.9965662732593183,771428,2537,0.0,19817,8,2546,768882,771428,771428,0.9999520393018477,8,19825,9,9,0,8,0,0,0,0.0
28,1779699225.4123275,decode,2537,2400,0.0031109642044681225,771256,2537,0.0,19825,9,2537,768719,771256,771256,0.9997290868671942,9,19834,8,0,0,9,8,0,0,0.0
31,1779699233.8770242,decode,2563,771308,0.9997964910916244,771463,2554,0.0,17263,8,2563,768900,771463,771463,0.9999974075298296,8,17271,2529,2563,0,8,0,0,0,0.0
32,1779699233.963975,decode,2554,771438,0.9999650016526997,771308,2546,0.0,17263,9,2554,768754,771308,771308,0.9997964910916244,17,17280,0,2554,0,9,0,0,0,0.0
33,1779699234.0553558,decode,2546,771248,0.9997187169865127,771438,2537,0.0,17263,8,2546,768892,771438,771438,0.9999650016526997,25,17288,0,0,8,0,0,0,0,0.0
34,1779699234.3685637,decode,2537,0,0.0,771248,2529,0.0,17263,9,2537,768711,771248,771248,0.9997187169865127,34,17297,0,0,9,0,0,0,0,0.0
35,1779699243.0763545,decode,2529,771350,0.9998509329652026,771345,2529,0.0,17305,8,2529,768816,771345,771345,0.9998444517897765,0,17305,2529,0,8,0,2571,0,0,0.0
37,1779699243.3941548,decode,2562,768918,0.9966984892380082,771212,2554,0.0,14734,9,2562,768650,771212,771212,0.9996720525234456,9,14743,0,2537,0,9,0,0,0,0.0
38,1779699243.4688694,decode,2554,768582,0.9962629542493827,771358,2554,0.0,14742,8,2554,768804,771358,771358,0.9998613028458841,9,14751,8,2529,0,8,8,0,0,0.0
41,1779699243.7045653,decode,2546,768816,0.9965662732593183,771428,2537,0.0,14734,8,2546,768882,771428,771428,0.9999520393018477,8,14742,9,9,0,8,0,0,0,0.0
42,1779699244.004247,decode,2537,2400,0.0031109642044681225,771256,2537,0.0,14742,9,2537,768719,771256,771256,0.9997290868671942,9,14751,8,0,0,9,8,0,0,0.0
45,1779699252.7418065,decode,2563,771308,0.9997964910916244,771463,2554,0.0,12180,8,2563,768900,771463,771463,0.9999974075298296,8,12188,2529,2563,0,8,0,0,0,0.0
46,1779699252.8436122,decode,2554,771438,0.9999650016526997,771308,2546,0.0,12180,9,2554,768754,771308,771308,0.9997964910916244,17,12197,0,2554,0,9,0,0,0,0.0
47,1779699252.9494638,decode,2546,771248,0.9997187169865127,771438,2537,0.0,12180,8,2546,768892,771438,771438,0.9999650016526997,25,12205,0,0,8,0,0,0,0,0.0
48,1779699253.2711396,decode,2537,0,0.0,771248,2529,0.0,12180,9,2537,768711,771248,771248,0.9997187169865127,34,12214,0,0,9,0,0,0,0,0.0
49,1779699261.9617918,decode,2529,771350,0.9998509329652026,771345,2529,0.0,12222,8,2529,768816,771345,771345,0.9998444517897765,0,12222,2529,0,8,0,2571,0,0,0.0
51,1779699262.3311136,decode,2562,768918,0.9966984892380082,771212,2554,0.0,9651,9,2562,768650,771212,771212,0.9996720525234456,9,9660,0,2537,0,9,0,0,0,0.0
52,1779699262.4057646,decode,2554,768582,0.9962629542493827,771358,2554,0.0,9659,8,2554,768804,771358,771358,0.9998613028458841,9,9668,8,2529,0,8,8,0,0,0.0
55,1779699262.63061,decode,2546,768816,0.9965662732593183,771428,2537,0.0,9651,8,2546,768882,771428,771428,0.9999520393018477,8,9659,9,9,0,8,0,0,0,0.0
56,1779699262.924891,decode,2537,2400,0.0031109642044681225,771256,2537,0.0,9659,9,2537,768719,771256,771256,0.9997290868671942,9,9668,8,0,0,9,8,0,0,0.0
59,1779699271.8434021,decode,2563,771308,0.9997964910916244,771463,2554,0.0,7097,8,2563,768900,771463,771463,0.9999974075298296,8,7105,2529,2563,0,8,0,0,0,0.0
60,1779699271.9477563,decode,2554,771438,0.9999650016526997,771308,2546,0.0,7097,9,2554,768754,771308,771308,0.9997964910916244,17,7114,0,2554,0,9,0,0,0,0.0
61,1779699272.0600176,decode,2546,771248,0.9997187169865127,771438,2537,0.0,7097,8,2546,768892,771438,771438,0.9999650016526997,25,7122,0,0,8,0,0,0,0,0.0
62,1779699272.7595966,decode,2537,0,0.0,771248,2529,1081.890933032038,7097,9,2537,768711,771248,771248,0.9997187169865127,34,7131,0,0,9,0,0,0,0,0.0
63,1779699281.3983998,decode,2529,771350,0.9998509329652026,771345,2529,1081.890933032038,7139,8,2529,768816,771345,771345,0.9998444517897765,0,7139,2529,0,8,0,2571,0,0,0.0
65,1779699281.6003568,decode,2562,768918,0.9966984892380082,771212,2554,1081.890933032038,4568,9,2562,768650,771212,771212,0.9996720525234456,9,4577,0,2537,0,9,0,0,0,0.0
66,1779699281.757917,decode,2554,768582,0.9962629542493827,771358,2554,1081.890933032038,4576,8,2554,768804,771358,771358,0.9998613028458841,9,4585,8,2529,0,8,8,0,0,0.0
69,1779699281.9920125,decode,2546,768816,0.9965662732593183,771428,2537,1081.890933032038,4568,8,2546,768882,771428,771428,0.9999520393018477,8,4576,9,9,0,8,0,0,0,0.0
70,1779699282.2911408,decode,2537,2400,0.0031109642044681225,771256,2537,1081.890933032038,4576,9,2537,768719,771256,771256,0.9997290868671942,9,4585,8,0,0,9,8,0,0,0.0
73,1779699290.948216,decode,2563,771308,0.9997964910916244,771463,2554,1081.890933032038,2014,8,2563,768900,771463,771463,0.9999974075298296,8,2022,2529,2563,0,8,0,0,0,0.0
74,1779699291.0472314,decode,2554,771438,0.9999650016526997,771308,2546,1081.890933032038,2014,9,2554,768754,771308,771308,0.9997964910916244,17,2031,0,2554,0,9,0,0,0,0.0
75,1779699291.1460025,decode,2546,771248,0.9997187169865127,771438,2537,1081.890933032038,2014,8,2546,768892,771438,771438,0.9999650016526997,25,2039,0,0,8,0,0,0,0,0.0
76,1779699291.4670677,decode,2537,0,0.0,771248,2529,1081.890933032038,2014,9,2537,768711,771248,771248,0.9997187169865127,34,2048,0,0,9,0,0,0,0,0.0
77,1779699297.4479752,decode,2529,616850,0.7995826123025672,771345,2529,1081.890933032038,2056,8,2529,768816,771345,771345,0.9998444517897765,0,2056,2529,0,8,0,2056,0,0,0.0
79,1779699297.5468805,decode,2056,618522,0.8017499173650133,618906,2056,1081.890933032038,0,0,2056,616850,618906,618906,0.8022476716377283,0,0,0,2031,0,0,0,0,0,0.0
80,1779699297.613035,decode,2056,617825,0.8008464415106323,620962,2048,1081.890933032038,0,0,2056,618906,620962,620962,0.8049127309728893,0,0,8,2031,0,0,0,0,0,0.0
81,1779699297.705765,decode,2048,617424,0.8003266512414692,620570,2039,1081.890933032038,0,0,2048,618522,620570,620570,0.8044046068194928,0,0,9,0,0,0,0,0,0,0.0
