rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
batchq-000000-type_a-0.000000000,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.561991865,12990229.433816608,12990230.975747647,12990231.026315363,12990234.401553163,0,False,False,305,305,300,5,decode
batchq-000003-type_a-0.283772169,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.56518883,12990229.440890815,12990230.975810342,12990231.026317475,12990234.401586913,0,False,False,305,305,300,5,decode
batchq-000006-type_a-2.892001493,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.56791216,12990229.445166912,12990230.975867944,12990231.026318604,12990234.401610745,0,False,False,305,305,300,5,decode
batchq-000011-type_a-5.113960402,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.570515135,12990229.44962718,12990230.975958314,12990231.026320197,12990234.401641753,0,False,False,305,305,300,5,decode
batchq-000012-type_a-6.263687348,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.570544817,12990229.450534469,12990230.97597621,12990231.026320484,12990234.401654268,0,False,False,305,305,300,5,decode
batchq-000015-type_a-7.100438559,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.57063124,12990229.453248251,12990230.97603198,12990231.02632153,12990234.401675727,0,False,False,305,305,300,5,decode
batchq-000016-type_a-7.892226396,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.570659231,12990229.454147443,12990230.976055639,12990231.026321843,12990234.401688645,0,False,False,305,305,300,5,decode
batchq-000017-type_a-8.128485375,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.570686273,12990229.455088653,12990230.976073457,12990231.026322156,12990234.401701499,0,False,False,305,305,300,5,decode
batchq-000019-type_a-9.597094385,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.57074294,12990229.456897045,12990230.976116972,12990231.026322816,12990234.40171926,0,False,False,305,305,300,5,decode
batchq-000024-type_a-11.862673725,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.57087946,12990229.46140425,12990230.976209324,12990231.026325023,12990234.401749829,0,False,False,305,305,300,5,decode
batchq-000025-type_a-13.141551330,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.570906255,12990229.462311266,12990230.976232857,12990231.02632547,12990234.401762309,0,False,False,305,305,300,5,decode
batchq-000027-type_a-13.832262180,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.570958767,12990229.463989284,12990230.97626934,12990231.026326181,12990234.401779916,0,False,False,305,305,300,5,decode
batchq-000029-type_a-14.416039901,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.571010794,12990229.465683252,12990230.976305248,12990231.02632675,12990234.401796672,0,False,False,305,305,300,5,decode
batchq-000031-type_a-16.037704899,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.571063297,12990229.467340678,12990230.976341045,12990231.02632741,12990234.401813917,0,False,False,305,305,300,5,decode
batchq-000034-type_a-17.900947303,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.571150556,12990229.47007355,12990230.97639665,12990231.02632819,12990234.401835298,0,False,False,305,305,300,5,decode
batchq-000036-type_a-18.161193478,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.571206642,12990229.47190394,12990230.976432748,12990231.026329003,12990234.401852014,0,False,False,305,305,300,5,decode
batchq-000040-type_a-21.435781330,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.571318064,12990229.47551168,12990230.9765055,12990231.02633049,12990234.401878566,0,False,False,305,305,300,5,decode
batchq-000041-type_a-21.496506688,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.571344184,12990229.476422368,12990230.976523476,12990231.026330687,12990234.40189074,0,False,False,305,305,300,5,decode
batchq-000042-type_a-21.838768695,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.57137019,12990229.47732324,12990230.976541225,12990231.0263309,12990234.40190297,0,False,False,305,305,300,5,decode
batchq-000043-type_a-22.212973743,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.57139636,12990229.478226796,12990230.97655964,12990231.026331138,12990234.401915547,0,False,False,305,305,300,5,decode
batchq-000045-type_a-23.423321046,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.57144862,12990229.48003604,12990230.976595933,12990231.026331672,12990234.401932055,0,False,False,305,305,300,5,decode
batchq-000046-type_a-24.652983903,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.571475372,12990229.480943333,12990230.976614246,12990231.026332272,12990234.401944444,0,False,False,305,305,300,5,decode
batchq-000050-type_a-27.518192719,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.57157887,12990229.484595923,12990230.976687072,12990231.026333515,12990234.401970573,0,False,False,305,305,300,5,decode
batchq-000051-type_a-28.450570066,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.571606852,12990229.485499386,12990230.976705097,12990231.026333854,12990234.401984295,0,False,False,305,305,300,5,decode
batchq-000052-type_a-28.889427478,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.571634294,12990229.486412486,12990230.976722945,12990231.026334248,12990234.40199705,0,False,False,305,305,300,5,decode
batchq-000054-type_a-29.435533595,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.571688607,12990229.488250757,12990230.97675866,12990231.02633501,12990234.402013496,0,False,False,305,305,300,5,decode
batchq-000060-type_a-31.805322872,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.571937626,12990229.493697748,12990230.976865493,12990231.02633701,12990234.402046012,0,False,False,305,305,300,5,decode
batchq-000061-type_a-32.095580261,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.571963709,12990229.494593864,12990230.976883076,12990231.026337286,12990234.40205845,0,False,False,305,305,300,5,decode
batchq-000063-type_a-32.456435988,305,301,0,"{""type"": ""length"", ""length"": 5}",5,1779700722.3055398,12990225.256434457,12990226.57201837,12990229.496406073,12990230.976918386,12990231.026337853,12990234.402074996,0,False,False,305,305,300,5,decode
