batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,real_admission,real_retraction,retracted_K_new,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1779699637.0747917,decode,1551,466892,0.9995268810758853,466851,1546,0.0,118443,6,1551,465300,466851,466851,0.9994391078818188,6,118449,0,1551,0,6,0,0,0,0.0
4,1779699637.261134,decode,1546,466923,0.999593246173838,466892,1541,0.0,118443,5,1546,465346,466892,466892,0.9995268810758853,11,118454,0,1546,0,5,0,0,0,0.0
5,1779699637.4256809,decode,1541,466944,0.999638203175677,466923,1536,0.0,118443,5,1541,465382,466923,466923,0.999593246173838,16,118459,0,0,5,0,0,0,0,0.0
6,1779699637.6076005,decode,1536,353800,0.7574184405058305,466944,1531,0.0,118443,5,1536,465408,466944,466944,0.999638203175677,21,118464,0,0,5,0,0,0,0,0.0
7,1779699638.3944182,decode,1531,466930,0.9996082318411177,466955,1531,0.0,118469,5,1531,465424,466955,466955,0.9996617520814022,0,118469,371,0,5,0,377,0,0,0.0
9,1779699638.8022876,decode,1532,349407,0.7480138638830433,466962,1527,0.0,118092,5,1532,465430,466962,466962,0.9996767377486818,5,118097,0,357,0,5,0,0,0,0.0
10,1779699639.7254467,decode,1527,467007,0.9997730741811939,466984,1527,0.0,118102,5,1527,465457,466984,466984,0.9997238355601321,0,118102,383,352,0,5,392,0,0,0.0
12,1779699640.028764,decode,1531,466142,0.9979212738673512,467038,1526,0.0,117710,5,1531,465507,467038,467038,0.9998394392791465,5,117715,0,387,0,5,0,0,0,0.0
13,1779699640.1560473,decode,1526,329319,0.7050092804096654,467059,1526,0.0,117713,5,1526,465533,467059,467059,0.9998843962809856,7,117720,3,382,0,5,3,0,0,0.0
16,1779699641.5548265,decode,1533,466461,0.998604192133381,467052,1528,0.0,117258,5,1533,465519,467052,467052,0.9998694106137059,5,117263,447,457,0,5,0,0,0,0.0
17,1779699641.6421025,decode,1528,410941,0.8797464425096283,467075,1528,0.0,117260,5,1528,465547,467075,467075,0.9999186492347676,8,117268,2,452,0,5,2,0,0,0.0
20,1779699642.3107395,decode,1526,466773,0.9992721247321312,467067,1521,0.0,117079,5,1526,465541,467067,467067,0.9999015227578766,5,117084,184,184,0,5,0,0,0,0.0
21,1779699642.4360256,decode,1521,270724,0.5795685412309227,467083,1521,0.0,117080,5,1521,465562,467083,467083,0.9999357757116586,9,117089,1,179,0,5,1,0,0,0.0
24,1779699643.878352,decode,1537,435058,0.9313763479072515,466961,1532,0.0,116434,5,1537,465424,466961,466961,0.9996745969390705,5,116439,633,650,0,5,0,0,0,0.0
25,1779699644.1477456,decode,1532,421332,0.9019915951814658,466988,1532,0.0,116444,5,1532,465456,466988,466988,0.9997323987985777,0,116444,103,645,0,5,106,0,0,0.0
