batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1769708124.8104947,decode,1,6,2.5548222269533746e-06,5,1,0.0,0,0,0,0,0,0.0
4,1769708124.8137019,decode,1,7,2.9806259314456037e-06,6,1,0.0,0,0,0,0,0,0.0
5,1769708124.81739,decode,1,8,3.4064296359378325e-06,7,1,0.0,0,0,0,0,0,0.0
6,1769708124.8210711,decode,1,9,3.832233340430062e-06,8,1,0.0,0,0,0,0,0,0.0
7,1769708124.8247676,decode,1,10,4.258037044922291e-06,9,1,0.0,0,0,0,0,0,0.0
8,1769708124.8284552,decode,1,11,4.6838407494145196e-06,10,1,0.0,0,0,0,0,0,0.0
9,1769708124.8324876,decode,1,0,0.0,11,1,0.0,0,0,0,0,0,0.0
9,1769708124.835805,decode,1,0,0.0,12,1,0.0,0,0,0,0,0,0.0
12,1769708165.0078528,decode,1,35001,0.01490355546093251,5001,1,0.0,6,0,0,0,0,0.0
15,1769708165.215635,decode,8,110009,0.04684223972748563,40009,8,0.0,14,0,0,0,0,0.0
17,1769708165.2243817,decode,22,115031,0.0489806259314456,110031,22,0.0,1,0,0,0,0,0.0
19,1769708165.2323234,decode,23,115077,0.04900021290185225,115054,23,0.0,0,0,0,0,0,0.0
20,1769708165.2382727,decode,23,115100,0.04901000638705557,115077,23,0.0,0,0,0,0,0,0.0
21,1769708165.2442515,decode,23,120100,0.05113902490951671,115100,23,0.0,1,0,0,0,0,0.0
23,1769708165.2521124,decode,24,120148,0.051159463487332336,120124,24,0.0,0,0,0,0,0,0.0
24,1769708165.2581456,decode,24,125148,0.053288482009793484,120148,24,0.0,1,0,0,0,0,0.0
26,1769708165.2667081,decode,25,125198,0.0533097721950181,125173,25,0.0,0,0,0,0,0,0.0
27,1769708165.27287,decode,25,130198,0.055438790717479244,125198,25,0.0,1,0,0,0,0,0.0
29,1769708165.2809913,decode,26,130250,0.05546093251011284,130224,26,0.0,0,0,0,0,0,0.0
30,1769708165.2873676,decode,26,135250,0.057589951032573986,130250,26,0.0,1,0,0,0,0,0.0
32,1769708165.295537,decode,27,140277,0.059730466255056416,135277,27,0.0,1,0,0,0,0,0.0
34,1769708165.3038244,decode,28,140333,0.059754311262507985,140305,28,0.0,0,0,0,0,0,0.0
35,1769708165.310354,decode,28,145333,0.06188332978496913,140333,28,0.0,1,0,0,0,0,0.0
37,1769708165.318866,decode,29,145391,0.06190802639982968,145362,29,0.0,0,0,0,0,0,0.0
38,1769708165.3254602,decode,29,150391,0.06403704492229083,145391,29,0.0,1,0,0,0,0,0.0
40,1769708165.3339698,decode,30,150451,0.06406259314456035,150421,30,0.0,0,0,0,0,0,0.0
41,1769708165.340619,decode,30,155451,0.0661916116670215,150451,30,0.0,1,0,0,0,0,0.0
43,1769708165.3493063,decode,31,155513,0.06621801149670002,155482,31,0.0,0,0,0,0,0,0.0
44,1769708165.3560555,decode,31,160513,0.06834703001916116,155513,31,0.0,1,0,0,0,0,0.0
46,1769708165.3647585,decode,32,160577,0.06837428145624867,160545,32,0.0,0,0,0,0,0,0.0
47,1769708165.3715944,decode,32,165577,0.07050329997870981,160577,32,0.0,1,0,0,0,0,0.0
49,1769708165.3808074,decode,33,170610,0.0726463700234192,165610,33,0.0,1,0,0,0,0,0.0
51,1769708165.3895912,decode,34,170678,0.07267532467532467,170644,34,0.0,0,0,0,0,0,0.0
52,1769708165.396555,decode,34,175678,0.07480434319778582,170678,34,0.0,1,0,0,0,0,0.0
54,1769708165.405539,decode,35,175748,0.07483414945710028,175713,35,0.0,0,0,0,0,0,0.0
55,1769708165.4127119,decode,35,180748,0.07696316797956142,175748,35,0.0,1,0,0,0,0,0.0
57,1769708165.4218729,decode,36,185784,0.07910751543538429,180784,36,0.0,1,0,0,0,0,0.0
59,1769708165.4310503,decode,37,185858,0.07913902490951671,185821,37,0.0,0,0,0,0,0,0.0
60,1769708165.4383934,decode,37,190858,0.08126804343197785,185858,37,0.0,1,0,0,0,0,0.0
62,1769708165.4480143,decode,38,190934,0.08130040451351926,190896,38,18.715292413778332,0,0,0,0,0,0.0
63,1769708165.4553185,decode,38,195934,0.08342942303598042,190934,38,18.715292413778332,1,0,0,0,0,0.0
66,1769708165.467117,decode,40,201014,0.08559250585480094,200974,40,18.715292413778332,0,0,0,0,0,0.0
67,1769708165.4746451,decode,40,201054,0.08560953800298063,201014,40,18.715292413778332,0,0,0,0,0,0.0
68,1769708165.4821725,decode,40,206054,0.08773855652544177,201054,40,18.715292413778332,1,0,0,0,0,0.0
71,1769708165.4945693,decode,42,211138,0.08990334255908027,211096,42,18.715292413778332,0,0,0,0,0,0.0
72,1769708165.5023527,decode,42,211180,0.08992122631466894,211138,42,18.715292413778332,0,0,0,0,0,0.0
73,1769708165.5101311,decode,42,216180,0.09205024483713008,211180,42,18.715292413778332,1,0,0,0,0,0.0
76,1769708165.5223608,decode,44,221268,0.09421673408558655,221224,44,18.715292413778332,0,0,0,0,0,0.0
77,1769708165.5303004,decode,44,221312,0.0942354694485842,221268,44,18.715292413778332,0,0,0,0,0,0.0
78,1769708165.5382547,decode,44,226312,0.09636448797104535,221312,44,18.715292413778332,1,0,0,0,0,0.0
81,1769708165.5531013,decode,46,231404,0.09853268043431977,231358,46,18.715292413778332,0,0,0,0,0,0.0
82,1769708165.5611832,decode,46,236404,0.10066169895678093,231404,46,18.715292413778332,1,0,0,0,0,0.0
84,1769708165.571394,decode,47,236498,0.1007017245050032,236451,47,18.715292413778332,0,0,0,0,0,0.0
85,1769708165.5795813,decode,47,241498,0.10283074302746434,236498,47,18.715292413778332,1,0,0,0,0,0.0
88,1769708165.5927022,decode,49,246596,0.10500149031296573,246547,49,18.715292413778332,0,0,0,0,0,0.0
89,1769708165.6010795,decode,49,251596,0.10713050883542687,246596,49,18.715292413778332,1,0,0,0,0,0.0
91,1769708165.6115124,decode,50,251696,0.1071730892058761,251646,50,18.715292413778332,0,0,0,0,0,0.0
92,1769708165.6200447,decode,50,256696,0.10930210772833723,251696,50,18.715292413778332,1,0,0,0,0,0.0
