batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,num_retracted_queue_reqs,num_total_queue_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1771518796.9494493,decode,1,6,5.080066074726079e-06,5,1,0.0,0,0,0,0,0,0,0,0.0
4,1771518796.9526408,decode,1,7,5.9267437538470915e-06,6,1,0.0,0,0,0,0,0,0,0,0.0
5,1771518796.9562888,decode,1,8,6.7734214329681045e-06,7,1,0.0,0,0,0,0,0,0,0,0.0
6,1771518796.959958,decode,1,9,7.620099112089118e-06,8,1,0.0,0,0,0,0,0,0,0,0.0
7,1771518796.9636319,decode,1,10,8.466776791210131e-06,9,1,0.0,0,0,0,0,0,0,0,0.0
8,1771518796.9672976,decode,1,11,9.313454470331143e-06,10,1,0.0,0,0,0,0,0,0,0,0.0
9,1771518796.9711232,decode,1,0,0.0,11,1,0.0,0,0,0,0,0,0,0,0.0
9,1771518796.9745774,decode,1,0,0.0,12,1,0.0,0,0,0,0,0,0,0,0.0
12,1771518826.7091,decode,1,25001,0.02116778865570445,5001,1,0.0,4,0,0,4,4,0,0,0.0
15,1771518826.9090502,decode,6,105007,0.08890708305146022,30007,6,0.0,15,0,0,15,15,0,0,0.0
18,1771518826.9209924,decode,23,115053,0.09741280701590992,115030,23,0.0,0,0,0,0,0,0,0,0.0
19,1771518826.926961,decode,23,120053,0.10164619541151498,115053,23,0.0,1,0,0,1,1,0,0,0.0
21,1771518826.9347172,decode,24,120101,0.1016868359401128,120077,24,0.0,0,0,0,0,0,0,0,0.0
22,1771518826.940775,decode,24,125101,0.10592022433571786,120101,24,0.0,1,0,0,1,1,0,0,0.0
24,1771518826.9492843,decode,25,130126,0.11017477967330096,125126,25,0.0,1,0,0,1,1,0,0,0.0
26,1771518826.957386,decode,26,130178,0.11021880691261525,130152,26,0.0,0,0,0,0,0,0,0,0.0
27,1771518826.963756,decode,26,135178,0.1144521953082203,130178,26,0.0,1,0,0,1,1,0,0,0.0
29,1771518826.971931,decode,27,135232,0.11449791590289285,135205,27,0.0,0,0,0,0,0,0,0,0.0
30,1771518826.9783666,decode,27,140232,0.1187313042984979,135232,27,0.0,1,0,0,1,1,0,0,0.0
33,1771518826.988869,decode,29,145290,0.123013799999492,145261,29,0.0,0,0,0,0,0,0,0,0.0
34,1771518826.9954655,decode,29,145319,0.1230383536521865,145290,29,0.0,0,0,0,0,0,0,0,0.0
35,1771518827.0020702,decode,29,150319,0.12727174204779157,145319,29,0.0,1,0,0,1,1,0,0,0.0
38,1771518827.0126984,decode,31,155381,0.13155762445950214,155350,31,0.0,0,0,0,0,0,0,0,0.0
39,1771518827.01947,decode,31,160381,0.1357910128551072,155381,31,0.0,1,0,0,1,1,0,0,0.0
41,1771518827.028092,decode,32,160445,0.13584520022657096,160413,32,0.0,0,0,0,0,0,0,0,0.0
42,1771518827.034938,decode,32,165445,0.140078588622176,160445,32,0.0,1,0,0,1,1,0,0,0.0
44,1771518827.0441158,decode,33,170478,0.14433991738119206,165478,33,0.0,1,0,0,1,1,0,0,0.0
46,1771518827.05289,decode,34,170546,0.1443974914633723,170512,34,0.0,0,0,0,0,0,0,0,0.0
47,1771518827.0598676,decode,34,175546,0.14863087985897735,170546,34,0.0,1,0,0,1,1,0,0,0.0
