request_id,req_type,prefill_tokens,decode_tokens,target_arrival,actual_send_offset,send_delay,send_time_epoch,recv_time_epoch,client_latency,server_prompt_tokens,server_completion_tokens,server_e2e_latency
0,short,5000,1211,0.0,0.009654760360717773,0.009654760360717773,1771519809.413246,1771520246.0335588,436.62031292915344,5000,1211,410.4788148403168
1,long,5000,1000,0.0,0.010091304779052734,0.010091304779052734,1771519809.4136825,1771519956.4017956,146.98811316490173,5000,1000,137.66091394424438
2,long,5000,1000,0.00015613396923034733,0.01027226448059082,0.010116130511360472,1771519809.4138634,1771519956.8259306,147.4120671749115,5000,1000,138.00853323936462
3,long,5000,1000,0.000568762328086759,0.010423421859741211,0.009854659531654451,1771519809.4140146,1771519957.1893613,147.77534675598145,5000,1000,138.2740342617035
4,short,5000,1211,0.0006020242861835042,0.0105743408203125,0.009972316534128996,1771519809.4141655,1771519975.330129,165.91596341133118,5000,1211,156.269713640213
5,long,5000,1000,0.0008322838839128538,0.010712385177612305,0.00988010129369945,1771519809.4143035,1771519959.290649,149.87634539604187,5000,1000,140.08585214614868
6,short,5000,1211,0.0008653734248925941,0.010846376419067383,0.009981002994174789,1771519809.4144375,1771519977.104162,167.68972444534302,5000,1211,157.8164975643158
7,short,5000,1211,0.0010479619356477848,0.01098179817199707,0.009933836236349285,1771519809.414573,1771519977.2470264,167.8324534893036,5000,1211,157.83780694007874
8,short,5000,1211,0.001081886909740254,0.011175394058227539,0.010093507148487285,1771519809.4147666,1771519977.6538699,168.23910331726074,5000,1211,158.12474370002747
9,short,5000,1211,0.001115806168123175,0.01131582260131836,0.010200016433195184,1771519809.414907,1771519978.0315776,168.6166706085205,5000,1211,158.33142471313477
10,short,5000,1211,0.0011277739218449113,0.011462926864624023,0.010335152942779112,1771519809.415054,1771519978.3440616,168.9290075302124,5000,1211,158.5028886795044
11,long,5000,1000,0.0011608426491276052,0.011603116989135742,0.010442274340008138,1771519809.4151943,1771519961.2880352,151.87284088134766,5000,1000,141.2898371219635
12,long,5000,1000,0.0013758901921616857,0.011738300323486328,0.010362410131324643,1771519809.4153295,1771519961.6506305,152.23530101776123,5000,1000,141.50089693069458
13,short,5000,1211,0.0015300200947408991,0.011875391006469727,0.010345370911728827,1771519809.4154665,1771519979.315958,169.90049147605896,5000,1211,159.02875590324402
14,long,5000,1000,0.001611600959389992,0.01201486587524414,0.010403264915854148,1771519809.415606,1771519962.1811132,152.76550722122192,5000,1000,141.7473485469818
15,short,5000,1211,0.0017138365254663521,0.01215219497680664,0.010438358451340288,1771519809.4157434,1771520036.7316418,227.3158984184265,5000,1211,216.13773155212402
16,short,5000,1211,0.00196008653780727,0.012288331985473633,0.010328245447666362,1771519809.4158795,1771520039.657296,230.24141645431519,5000,1211,218.9171485900879
17,short,5000,1211,0.0019642463994070975,0.012426137924194336,0.010461891524787239,1771519809.4160173,1771520040.6700065,231.25398921966553,5000,1211,219.75865960121155
18,long,5000,1000,0.001989955357000048,0.01256561279296875,0.010575657435968703,1771519809.4161568,1771520025.47526,216.05910325050354,5000,1000,204.42747974395752
19,long,5000,1000,0.002047403260108072,0.012703657150268555,0.010656253890160483,1771519809.4162948,1771520026.4221509,217.0058560371399,5000,1000,205.2120532989502
20,long,5000,1000,0.00218184679334232,0.012896060943603516,0.010714214150261196,1771519809.4164872,1771520026.8858542,217.46936702728271,5000,1000,205.49806547164917
21,long,5000,1000,0.0022318494191635447,0.013032913208007812,0.010801063788844267,1771519809.416624,1771520028.460122,219.0434980392456,5000,1000,206.96495246887207
22,short,5000,1211,0.00266495789443876,0.013170719146728516,0.010505761252289756,1771519809.4167619,1771519968.6631207,159.24635887145996,5000,1211,150.47146129608154
23,short,5000,1211,0.003022243803109695,0.01330876350402832,0.010286519700918626,1771519809.4169,1771519970.0629368,160.64603686332703,5000,1211,151.7323498725891
24,short,5000,1211,0.0030699813281594842,0.013444900512695312,0.010374919184535827,1771519809.417036,1771519971.1986456,161.78160953521729,5000,1211,152.74381303787231
25,short,5000,1211,0.003110117125909417,0.013590097427368164,0.010479980301458747,1771519809.4171813,1771519972.6700294,163.25284814834595,5000,1211,154.0576150417328
26,long,5000,1000,0.003110961102644611,0.013727426528930664,0.010616465426286054,1771519809.4173186,1771519956.4011157,146.98379707336426,5000,1000,137.64871048927307
27,short,5000,1211,0.0031506394104758684,0.013864994049072266,0.010714354638596397,1771519809.4174562,1771519974.5149596,165.0975034236908,5000,1211,155.59802341461182
28,short,5000,1211,0.0032231901563679636,0.01400136947631836,0.010778179319950395,1771519809.4175925,1771519975.3294942,165.9119017124176,5000,1211,156.25752592086792
29,short,5000,1211,0.0033719757225401346,0.014138936996459961,0.010766961273919826,1771519809.41773,1771519976.6578395,167.24010944366455,5000,1211,157.43915104866028
