rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
595a15056146411f80c265b4db4d5adb,12,5,0,"{""type"": ""length"", ""length"": 8}",8,1769714113.8089004,2082860.355696221,2082860.356620312,2082860.357703276,2082860.358207168,2082860.358270401,2082860.731450993,0,False,False,12,12,4,8,decode
2388ad9723c743778e80517423711fb2,7000,5001,0,"{""type"": ""length"", ""length"": 2000}",2000,1769714140.587373,2082887.148078802,2082887.149182217,2082887.150260089,2082887.150632276,2082887.150753097,2082991.407385759,0,False,False,7000,7000,5000,2000,decode
b80d13e80a624c6b958afc6ebaf5bfe3,7000,5001,0,"{""type"": ""length"", ""length"": 2000}",2000,1769714140.60337,2082887.16315872,2082887.255742714,2082887.256815486,2082887.258682148,2082887.259206193,2082991.458255671,0,False,False,7000,7000,5000,2000,decode
60e458a2c0144629847725f70df4d752,7000,5001,0,"{""type"": ""length"", ""length"": 2000}",2000,1769714140.6173754,2082887.178678659,2082887.255824968,2082887.257109615,2082887.258711173,2082887.259206756,2082991.458272305,0,False,False,7000,7000,5000,2000,decode
5f7ef6f1ac19469fb49175a356ec8544,7000,5001,0,"{""type"": ""length"", ""length"": 2000}",2000,1769714140.6329203,2082887.192679123,2082887.255887825,2082887.257370339,2082887.258738697,2082887.259207004,2082991.458285566,0,False,False,7000,7000,5000,2000,decode
f8f92b5052eb479ab9b363900f096c57,7000,5001,0,"{""type"": ""length"", ""length"": 2000}",2000,1769714140.6468923,2082887.206411481,2082887.255947166,2082887.257631558,2082887.258765788,2082887.25920731,2082991.458297942,0,False,False,7000,7000,5000,2000,decode
b638e1f76e1a46a8b52920284ab611de,7000,5001,0,"{""type"": ""length"", ""length"": 2000}",2000,1769714140.66063,2082887.221345835,2082887.256012004,2082887.257873239,2082887.258791974,2082887.259207602,2082991.458310123,0,False,False,7000,7000,5000,2000,decode
8f5879ebc3bf4c19bdebca2c9edda6d6,7000,5001,0,"{""type"": ""length"", ""length"": 2000}",2000,1769714140.675554,2082887.235892846,2082887.256070673,2082887.258118252,2082887.258817504,2082887.259207855,2082991.45832255,0,False,False,7000,7000,5000,2000,decode
e3ed3b1c72bd4a19a96559d8363cc53d,7000,5001,0,"{""type"": ""length"", ""length"": 2000}",2000,1769714140.6900985,2082887.24993323,2082887.256125744,2082887.258351627,2082887.25884109,2082887.259208189,2082991.458334381,0,False,False,7000,7000,5000,2000,decode
f7c45bb256cf48c4a4f21b4ea5b0a8f8,7000,5001,0,"{""type"": ""length"", ""length"": 2000}",2000,1769714140.7041502,2082887.264065423,2082887.451212718,2082887.45272401,2082887.456321,2082887.457317484,2082991.509120114,0,False,False,7000,7000,5000,2000,decode
