prompt_type,batch_kind,num_decode,decode_stage,prefill_chunk,kv_cache_tokens,batch_tokens,time_s
p512d1000,decode,1,250,0,762,1,0.00985785022238612
p512d1000,decode,1,500,0,1012,1,0.009847120607550535
p512d1000,decode,1,750,0,1262,1,0.00983699939498978
p512d1000,decode,1,1000,0,1512,1,0.00983699939498978
p512d1000,decode,4,250,0,3048,4,0.01078822029175263
p512d1000,decode,4,500,0,4048,4,0.0112640992761306
p512d1000,decode,4,750,0,5048,4,0.011514921597833279
p512d1000,decode,4,1000,0,6048,4,0.012141812230083076
p512d1000,decode,8,250,0,6096,8,0.012348781418819926
p512d1000,decode,8,500,0,8096,8,0.012967080249803552
p512d1000,decode,8,750,0,10096,8,0.013843511183945332
p512d1000,decode,8,1000,0,12096,8,0.01482754796032242
p512d1000,decode,16,250,0,12192,16,0.014072004395703757
p512d1000,decode,16,500,0,16192,16,0.015227997739486696
p512d1000,decode,16,750,0,20192,16,0.016583724747920817
p512d1000,decode,16,1000,0,24192,16,0.018120865789829858
p512d1000,decode,32,250,0,24384,32,0.017733062484903386
p512d1000,decode,32,500,0,32384,32,0.019761920049555248
p512d1000,decode,32,750,0,40384,32,0.02182193148391046
p512d1000,decode,32,1000,0,48384,32,0.024524265823635944
p512d1000,mixed,0,500,512,0,512,0.037193078253006856
p512d1000,mixed,4,500,512,4048,516,0.04211465305583298
