rotation,terminal_stage_count,tl,pipeline_depth,fluid_per_stage_P,batch_size_requests,batch_new_tokens,representative_block_kv_tokens,representative_continuous_kv_tokens,iteration_time_s,fluid_completion_boundary_req_s,C_op_worst_block_tokens,M_fluid_block_tokens,M_fluid_continuous_tokens,M_fluid_over_C_op_worst,C_op_worst_over_C_phys,C_phys_tokens
0,11,251,22,11.409090909090908,251,6371,132848,121634,0.30324959696991155,36.27374977547429,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
1,11,251,22,11.409090909090908,251,6116,132864,122154,0.3026835821550967,36.3415812700523,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
2,11,251,22,11.409090909090908,251,5861,132880,122419,0.3026835821550967,36.3415812700523,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
3,11,251,22,11.409090909090908,251,5861,132880,122428,0.3026835821550967,36.3415812700523,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
4,11,251,22,11.409090909090908,251,5861,132880,122437,0.3026835821550967,36.3415812700523,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
5,11,251,22,11.409090909090908,251,5861,132880,122446,0.3026835821550967,36.3415812700523,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
6,11,251,22,11.409090909090908,251,5861,132880,122455,0.3026835821550967,36.3415812700523,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
7,11,251,22,11.409090909090908,251,5861,132880,122464,0.3026835821550967,36.3415812700523,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
8,11,251,22,11.409090909090908,251,5861,132880,122473,0.3026835821550967,36.3415812700523,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
9,11,251,22,11.409090909090908,251,5861,132880,122482,0.3026835821550967,36.3415812700523,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
10,11,251,22,11.409090909090908,251,5861,132896,122491,0.3026835821550967,36.3415812700523,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
11,11,251,22,11.409090909090908,251,5861,132912,122500,0.3026835821550967,36.3415812700523,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
12,11,251,22,11.409090909090908,251,5861,132928,122509,0.3026835821550967,36.3415812700523,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
13,12,251,22,11.409090909090908,251,5861,132944,122518,0.3026835821550967,39.6453613855116,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
14,12,251,22,11.409090909090908,251,6116,132928,121994,0.3026835821550967,39.6453613855116,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
15,12,251,22,11.409090909090908,251,6371,132912,121725,0.30324959696991155,39.57136339142651,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
16,12,251,22,11.409090909090908,251,6371,132912,121712,0.30324959696991155,39.57136339142651,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
17,12,251,22,11.409090909090908,251,6371,132912,121699,0.30324959696991155,39.57136339142651,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
18,12,251,22,11.409090909090908,251,6371,132912,121686,0.30324959696991155,39.57136339142651,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
19,12,251,22,11.409090909090908,251,6371,132896,121673,0.30324959696991155,39.57136339142651,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
20,12,251,22,11.409090909090908,251,6371,132880,121660,0.30324959696991155,39.57136339142651,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
21,12,251,22,11.409090909090908,251,6371,132864,121647,0.30324959696991155,39.57136339142651,136544,132893.0909090909,122145.72727272726,0.9732620320855615,0.9966715328467153,137000.0
