rotation,terminal_stage_count,tl,pipeline_depth,fluid_per_stage_P,batch_size_requests,batch_new_tokens,representative_block_kv_tokens,representative_continuous_kv_tokens,iteration_time_s,fluid_completion_boundary_req_s,C_op_worst_block_tokens,M_fluid_block_tokens,M_fluid_continuous_tokens,M_fluid_over_C_op_worst,C_op_worst_over_C_phys,C_phys_tokens
0,1,40,22,1.8181818181818181,40,1060,21120,19290,0.08244445334810814,12.12937874398493,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
1,1,40,22,1.8181818181818181,40,805,21152,19819,0.06896995622723959,14.499066763290934,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
2,1,40,22,1.8181818181818181,40,550,21184,20093,0.046776098063250164,21.378439874309528,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
3,1,40,22,1.8181818181818181,40,550,21200,20111,0.046776098063250164,21.378439874309528,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
4,2,40,22,1.8181818181818181,40,550,21216,20129,0.046776098063250164,42.756879748619056,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
5,2,40,22,1.8181818181818181,40,805,21200,19614,0.06835208483575182,29.26026330880682,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
6,2,40,22,1.8181818181818181,40,1060,21184,19354,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
7,2,40,22,1.8181818181818181,40,1060,21184,19350,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
8,2,40,22,1.8181818181818181,40,1060,21184,19346,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
9,2,40,22,1.8181818181818181,40,1060,21184,19342,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
10,2,40,22,1.8181818181818181,40,1060,21184,19338,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
11,2,40,22,1.8181818181818181,40,1060,21184,19334,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
12,2,40,22,1.8181818181818181,40,1060,21184,19330,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
13,2,40,22,1.8181818181818181,40,1060,21184,19326,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
14,2,40,22,1.8181818181818181,40,1060,21184,19322,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
15,2,40,22,1.8181818181818181,40,1060,21184,19318,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
16,2,40,22,1.8181818181818181,40,1060,21184,19314,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
17,2,40,22,1.8181818181818181,40,1060,21184,19310,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
18,2,40,22,1.8181818181818181,40,1060,21184,19306,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
19,2,40,22,1.8181818181818181,40,1060,21168,19302,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
20,2,40,22,1.8181818181818181,40,1060,21152,19298,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
21,2,40,22,1.8181818181818181,40,1060,21136,19294,0.08244445334810814,24.25875748796986,21760,21178.181818181816,19465.454545454544,0.9732620320855614,0.15883211678832118,137000.0
