,Time (sec),request_completion
0,15.810142502816971,1
1,15.899440663532697,2
2,16.376559616730976,3
3,16.39396280087412,4
4,16.411112827988696,5
5,16.56422352001988,6
6,16.6149294093636,7
7,16.844000616082237,8
8,17.097629925029974,9
9,17.11222008014455,10
10,17.39963704910269,11
11,17.41392183888393,12
12,17.512856592241498,13
13,17.52690790976877,14
14,17.709213672677862,15
15,17.982719863805123,16
16,18.742544207077795,17
17,18.884507121598997,18
18,19.042331604508078,19
19,19.18015119122324,20
