,Request Id,request_execution_plus_preemption_time_normalized,cdf
19,19,0.015545934682939064,0.05
18,18,0.015631697737738478,0.1
17,17,0.01570907467515378,0.15
16,16,0.015772325931137626,0.2
0,0,0.015803810293056286,0.25
1,1,0.01582775661562829,0.3
15,15,0.01590780913434682,0.35
14,14,0.01596321399088942,0.4
4,4,0.015973702873022817,0.45
6,6,0.015994660683493225,0.5
3,3,0.01599525289680348,0.55
13,13,0.015997911214933297,0.6
5,5,0.016003974376353258,0.65
2,2,0.016015283331555573,0.7
12,12,0.016023377996301262,0.75
7,7,0.016029483057680805,0.8
9,9,0.016036373029928996,0.85
11,11,0.01603709188344701,0.9
8,8,0.01606095464837632,0.95
10,10,0.016062065352561005,1.0
