,cdf,batch_total_kv_tokens
0,0.0,513.372437267971
1,0.01,9946.764171188044
2,0.02,21015.232642154107
3,0.03,37234.946016380236
4,0.04,54557.09983941477
5,0.05,63007.13063609126
6,0.06,67575.66466132745
7,0.07,71467.86775684955
8,0.08,74832.17668127897
9,0.09,77886.13678462592
10,0.1,80741.1200272682
11,0.11,83533.52085691286
12,0.12,86077.496164882
13,0.13,88698.94708145913
14,0.14,91035.36226515402
15,0.15,93995.60614318507
16,0.16,95894.44398320108
17,0.17,98420.39544402923
18,0.18,101012.8828846017
19,0.19,103259.79243746356
20,0.2,104925.23770438747
21,0.21,106617.54442310857
22,0.22,108337.14583367776
23,0.23,110084.48216374076
24,0.24,111636.50423626234
25,0.25,113664.15610892996
26,0.26,116425.09552498625
27,0.27,118066.51050463293
28,0.28,118777.03925918153
29,0.29,119014.83112957045
30,0.3,119253.09905975964
31,0.31,119253.09905975964
32,0.32,119253.09905975964
33,0.33,119253.09905975964
34,0.34,119491.8440028221
35,0.35000000000000003,119491.8440028221
36,0.36,119491.8440028221
37,0.37,119491.8440028221
38,0.38,119491.8440028221
39,0.39,119491.8440028221
40,0.4,119731.0669137388
41,0.41000000000000003,119731.0669137388
42,0.42,119731.0669137388
43,0.43,119731.0669137388
44,0.44,119731.0669137388
45,0.45,119731.0669137388
46,0.46,119731.0669137388
47,0.47000000000000003,119970.7687494018
48,0.48,119970.7687494018
49,0.49,119970.7687494018
50,0.5,119970.7687494018
51,0.51,119970.7687494018
52,0.52,119970.7687494018
53,0.53,119970.7687494018
54,0.54,119970.7687494018
55,0.55,120210.95046861998
56,0.56,120210.95046861998
57,0.5700000000000001,120210.95046861998
58,0.58,120210.95046861998
59,0.59,120210.95046861998
60,0.6,120210.95046861998
61,0.61,120210.95046861998
62,0.62,120210.95046861998
63,0.63,120210.95046861998
64,0.64,120210.95046861998
65,0.65,120210.95046861998
66,0.66,120210.95046861998
67,0.67,120451.6130321206
68,0.68,120451.6130321206
69,0.6900000000000001,120451.6130321206
70,0.7000000000000001,120451.6130321206
71,0.71,120451.6130321206
72,0.72,120451.6130321206
73,0.73,120451.6130321206
74,0.74,120451.6130321206
75,0.75,120451.6130321206
76,0.76,120451.6130321206
77,0.77,120451.6130321206
78,0.78,120451.6130321206
79,0.79,120451.6130321206
80,0.8,120451.6130321206
81,0.81,120692.75740255543
82,0.8200000000000001,120692.75740255543
83,0.8300000000000001,120692.75740255543
84,0.84,120692.75740255543
85,0.85,120692.75740255543
86,0.86,120692.75740255543
87,0.87,120692.75740255543
88,0.88,120692.75740255543
89,0.89,120692.75740255543
90,0.9,120692.75740255543
91,0.91,120692.75740255543
92,0.92,120692.75740255543
93,0.93,120934.38454450235
94,0.9400000000000001,120934.38454450235
95,0.9500000000000001,120934.38454450235
96,0.96,120934.38454450235
97,0.97,120934.38454450235
98,0.98,120934.38454450235
99,0.99,121176.49542447148
100,1.0,121176.49542447148
