,Request Id,prefill_e2e_time,cdf
0,0,0.03680081811601719,0.0005
1,1,0.049773570437882456,0.001
5,5,0.051576453040435455,0.0015
11,11,0.054099215653581334,0.002
7,7,0.05505315737390659,0.0025
6,6,0.056467638406946685,0.003
18,18,0.05963743553915224,0.0035
16,16,0.05996745792899061,0.004
24,24,0.06156039763864163,0.0045
25,25,0.06196535400630321,0.005
22,22,0.06421095216038353,0.0055
14,14,0.06472861982627798,0.006
17,17,0.06477704944481744,0.0065
28,28,0.06490710251006515,0.007
30,30,0.06533999437625138,0.0075
31,31,0.06615137704124852,0.008
15,15,0.06803863118613851,0.0085
39,39,0.06857715755452976,0.009
23,23,0.0711262202713403,0.0095
38,38,0.07116447690308636,0.01
35,35,0.07122878479028572,0.0105
27,27,0.07173208307199275,0.011
21,21,0.07207563764395397,0.0115
26,26,0.07251639224710527,0.012
29,29,0.07261080100934869,0.0125
41,41,0.07644649232558365,0.013
47,47,0.07733669577716995,0.0135
13,13,0.07895559867841406,0.014
49,49,0.07904289954675825,0.0145
50,50,0.07971373239076307,0.015
37,37,0.08021493338411734,0.0155
40,40,0.08073038043472458,0.016
36,36,0.08121024686777023,0.0165
8,8,0.08338759136816165,0.017
10,10,0.08342312191695722,0.0175
62,62,0.08346395005247587,0.018
46,46,0.08375676547581357,0.0185
42,42,0.08438716166572213,0.019
2,2,0.08557138636637174,0.0195
45,45,0.08700847513485854,0.02
34,34,0.08749187027363892,0.0205
60,60,0.08767477631553788,0.021
48,48,0.08858564222166088,0.0215
66,66,0.09026358666670475,0.022
12,12,0.09097551734319498,0.0225
63,63,0.09198986475581528,0.023
9,9,0.09446944398803647,0.0235
52,52,0.09587349067656525,0.024
19,19,0.09588401936557789,0.0245
54,54,0.09590990860247572,0.025
51,51,0.09638287263800116,0.0255
53,53,0.09730658812206627,0.026
78,78,0.09735315072554585,0.0265
67,67,0.09735754002696062,0.027
76,76,0.09843172070637252,0.0275
20,20,0.09961871032444414,0.028
57,57,0.10000921046558275,0.0285
61,61,0.10144955043811343,0.029
32,32,0.10146899486414718,0.0295
3,3,0.10163448733074737,0.03
72,72,0.10199258939391953,0.0305
43,43,0.10327524757033935,0.031
56,56,0.1040988806651324,0.0315
80,80,0.10436535651350098,0.032
59,59,0.10507541703111478,0.0325
4,4,0.10522415141447766,0.033
96,96,0.1057787800064709,0.0335
74,74,0.10872881915401678,0.034
73,73,0.10905682744501632,0.0345
92,92,0.1104273894675245,0.035
95,95,0.11146678661987863,0.0355
81,81,0.11388042572613344,0.036
88,88,0.11424466493846808,0.0365
58,58,0.11431298877176133,0.037
70,70,0.11808582996130923,0.0375
104,104,0.1183772771401479,0.038
44,44,0.11926075214548781,0.0385
55,55,0.12123124420885567,0.039
109,109,0.12135298950892448,0.0395
99,99,0.12200419747750857,0.04
87,87,0.12264473705285184,0.0405
123,123,0.12279240713384354,0.041
89,89,0.12359199994939019,0.0415
71,71,0.1235984750755339,0.042
75,75,0.12419892485206319,0.0425
125,125,0.12439308406087335,0.043
64,64,0.12494194577921824,0.0435
139,139,0.125320510329189,0.044
105,105,0.1254320295691791,0.0445
112,112,0.1271206990330036,0.045
126,126,0.1274316077936426,0.0455
121,121,0.1285574979107338,0.046
85,85,0.12890897765637277,0.0465
77,77,0.12939742175743874,0.047
79,79,0.13053367598850585,0.0475
86,86,0.13095043495921743,0.048
100,100,0.1312179006834846,0.0485
113,113,0.13235194983280252,0.049
90,90,0.1330882961870472,0.0495
97,97,0.13388010189247268,0.05
122,122,0.13461581549407953,0.0505
119,119,0.13487087436896772,0.051
82,82,0.13562280148104122,0.0515
68,68,0.13620464819190126,0.052
83,83,0.13795976894619955,0.0525
106,106,0.13881428148020802,0.053
93,93,0.13906287583728272,0.0535
69,69,0.13907479833739878,0.054
110,110,0.13915694698812686,0.0545
33,33,0.13927959894179587,0.055
107,107,0.14016463773268484,0.0555
129,129,0.1413212597736475,0.056
138,138,0.14175697855717573,0.0565
84,84,0.1434768248309517,0.057
114,114,0.1435239747363859,0.0575
115,115,0.14481939288816292,0.058
94,94,0.14537462210076768,0.0585
65,65,0.1457348344215159,0.059
136,136,0.1469277497227992,0.0595
101,101,0.14784521900402225,0.06
124,124,0.14784550411467023,0.0605
102,102,0.1501262661368905,0.061
