,Request Id,prefill_time_execution_plus_preemption,cdf
0,0,0.03680081811601719,0.0005
1,1,0.047582374271861294,0.001
5,5,0.04946406650158719,0.0015
6,6,0.04975769850158718,0.002
4,4,0.04995341050158714,0.0025
7,7,0.05088128250158708,0.003
9,9,0.05308437487445872,0.0035
11,11,0.05338491887445884,0.004
14,14,0.053932630874458765,0.0045
13,13,0.05412775470014419,0.005
15,15,0.05526997487445895,0.0055
16,16,0.05559010287445876,0.006
17,17,0.05592449070014416,0.0065
18,18,0.05632487470014391,0.007
21,21,0.057864091614429736,0.0075
20,20,0.05815993013910514,0.008
22,22,0.05838428361442993,0.0085
23,23,0.05849845961442979,0.009
24,24,0.05875522761443008,0.0095
25,25,0.05917958548109681,0.01
26,26,0.059451969481096434,0.0105
27,27,0.05986182548109653,0.011
28,28,0.06057939348109631,0.0115
29,29,0.06122252213910517,0.012
30,30,0.06300863413910562,0.0125
31,31,0.06321791413910471,0.013
35,35,0.06625470896969698,0.0135
36,36,0.06672600496969672,0.014
37,37,0.06764912260086486,0.0145
38,38,0.0678106586008651,0.015
39,39,0.06821155460086548,0.0155
40,40,0.06873277060086558,0.016
41,41,0.0695529585027419,0.0165
42,42,0.06983839850274265,0.017
45,45,0.07098482979163023,0.0175
46,46,0.07151628579163116,0.018
47,47,0.07184729379163102,0.0185
48,48,0.0720791017916298,0.019
34,34,0.07208477238787836,0.0195
49,49,0.07372584449639241,0.02
50,50,0.074347156496394,0.0205
51,51,0.07461262849639283,0.021
52,52,0.07492520449639173,0.0215
53,53,0.0756028364963921,0.022
54,54,0.07605237249639174,0.0225
2,2,0.07608176423203439,0.023
44,44,0.0765846190926407,0.0235
3,3,0.07746378023203437,0.024
57,57,0.07749327652178906,0.0245
60,60,0.078647580521789,0.025
8,8,0.07952854823203426,0.0255
61,61,0.07956689440115561,0.026
10,10,0.07970800423203439,0.0265
62,62,0.07996267040115335,0.027
12,12,0.08021949223203428,0.0275
59,59,0.08289199422914884,0.028
63,63,0.08303518240115437,0.0285
56,56,0.08375877071168958,0.029
19,19,0.08409386023203425,0.0295
66,66,0.08772491775930824,0.03
67,67,0.08825637375930562,0.0305
65,65,0.08895797237633474,0.031
32,32,0.09106038823203466,0.0315
70,70,0.09109685619740127,0.032
69,69,0.09152872102395371,0.0325
33,33,0.09214955089870092,0.033
73,73,0.09269803539740096,0.0335
72,72,0.09275668879538301,0.034
74,74,0.093060531397402,0.0345
75,75,0.09367646739740465,0.035
76,76,0.0943773953974052,0.0355
77,77,0.09459114930216472,0.036
78,78,0.0952951493021672,0.0365
79,79,0.09536554930216568,0.037
43,43,0.09579434023203426,0.0375
80,80,0.09581879730216514,0.038
82,82,0.09710706777835654,0.0385
85,85,0.0972010356005768,0.039
89,89,0.09831445000519778,0.0395
84,84,0.09843402340086627,0.04
88,88,0.0986098036005778,0.0405
93,93,0.10010851651948016,0.041
58,58,0.10116951889870052,0.0415
96,96,0.10127126851947921,0.042
55,55,0.10174518823203549,0.0425
87,87,0.10281453484071434,0.043
426,426,0.10455242023203937,0.0435
685,685,0.1053065962320261,0.044
431,431,0.10535306023203361,0.0445
547,547,0.10552112423204107,0.045
436,436,0.10556336423204016,0.0455
546,546,0.10560880423204821,0.046
430,430,0.10560942289870923,0.0465
688,688,0.10568600956537466,0.047
437,437,0.10569699623204087,0.0475
425,425,0.10571299623205732,0.048
689,689,0.10572568956536088,0.0485
548,548,0.10573923623203996,0.049
1380,1380,0.10574742823200722,0.0495
432,432,0.10580438823203053,0.05
