,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
0,0,7.187659788284607e-05,0.0005
1,1,9.293432474972909e-05,0.001
359,359,9.385911780291461e-05,0.0015
5,5,9.660950488591248e-05,0.002
361,361,9.70898903305744e-05,0.0025
6,6,9.718300488591246e-05,0.003
4,4,9.756525488591238e-05,0.0035
7,7,9.937750488591226e-05,0.004
479,479,0.00010156435041376583,0.0045
478,478,0.0001015878551453564,0.005
1303,1303,0.00010215137018203661,0.0055
1656,1656,0.00010249747996898658,0.006
9,9,0.00010368041967667718,0.0065
363,363,0.00010393938912175569,0.007
1655,1655,0.00010395366536359836,0.0075
480,480,0.00010401884917965553,0.008
11,11,0.00010426741967667743,0.0085
364,364,0.00010444341706145123,0.009
954,954,0.00010480388259705265,0.0095
1064,1064,0.00010502268036033053,0.01
14,14,0.00010533716967667727,0.0105
1065,1065,0.00010547950388976634,0.011
13,13,0.00010571827089871913,0.0115
716,716,0.00010687807701875784,0.012
601,601,0.00010690296522004837,0.0125
1305,1305,0.0001071697685955876,0.013
953,953,0.00010780166503266715,0.0135
15,15,0.00010794916967667764,0.014
1306,1306,0.00010836116812692493,0.0145
16,16,0.00010857441967667726,0.015
1418,1418,0.0001086742675105055,0.0155
1066,1066,0.00010890310158758909,0.016
1067,1067,0.00010897378645607401,0.0165
17,17,0.00010922752089871906,0.017
482,482,0.00010957567157017315,0.0175
1419,1419,0.00010968014625275048,0.018
18,18,0.00011000952089871858,0.0185
366,366,0.00011030565739192976,0.019
833,833,0.00011057891266989014,0.0195
717,717,0.00011058369754023714,0.02
367,367,0.00011100284689201219,0.0205
718,718,0.00011206979693326242,0.021
483,483,0.00011275114847777304,0.0215
21,21,0.00011301580393443308,0.022
20,20,0.00011359361355293973,0.0225
22,22,0.00011403180393443346,0.023
1187,1187,0.00011416515915154921,0.0235
1892,1892,0.00011417271003146126,0.024
23,23,0.00011425480393443318,0.0245
1658,1658,0.00011467669202914525,0.025
24,24,0.00011475630393443376,0.0255
1893,1893,0.00011489140792903626,0.026
369,369,0.00011538775450047913,0.0265
25,25,0.0001155851278927672,0.027
1659,1659,0.00011583422200941411,0.0275
1069,1069,0.0001158468666986536,0.028
485,485,0.00011591109083940399,0.0285
26,26,0.00011611712789276647,0.029
1070,1070,0.00011649786098083508,0.0295
720,720,0.00011678709083786416,0.03
486,486,0.0001167916844057087,0.0305
27,27,0.00011691762789276666,0.031
1420,1420,0.0001173128381374619,0.0315
1071,1071,0.00011801029585327225,0.032
28,28,0.00011831912789276623,0.0325
1188,1188,0.00011847963271956109,0.033
1308,1308,0.0001187126130290757,0.0335
602,602,0.00011931182236161455,0.034
29,29,0.00011957523855293979,0.0345
371,371,0.0001200796497337402,0.035
1895,1895,0.00012038101286116114,0.0355
956,956,0.00012070658391023095,0.036
372,372,0.00012073642784486647,0.0365
1661,1661,0.00012163212623600561,0.037
1775,1775,0.00012179913323150722,0.0375
1776,1776,0.0001218396809509732,0.038
834,834,0.00012203145542581801,0.0385
1662,1662,0.00012249913378762552,0.039
488,488,0.00012267899817734078,0.0395
1073,1073,0.00012284390450408234,0.04
1896,1896,0.0001229247172243461,0.0405
603,603,0.00012293472284252604,0.041
30,30,0.00012306373855294067,0.0415
721,721,0.00012325628072448988,0.042
31,31,0.0001234724885529389,0.0425
1422,1422,0.00012441897888043857,0.043
1542,1542,0.00012490594541318594,0.0435
1663,1663,0.00012544553838031086,0.044
1423,1423,0.0001255501577476955,0.0445
957,957,0.00012573127607245002,0.045
1074,1074,0.00012619095407507297,0.0455
489,489,0.00012697159896695617,0.046
1309,1309,0.00012706476195007357,0.0465
836,836,0.00012845969335390514,0.047
374,374,0.00012863468704131962,0.0475
1310,1310,0.0001288873189363645,0.048
1665,1665,0.0001291602736462718,0.0485
35,35,0.00012940372845643942,0.049
837,837,0.00012951848005041767,0.0495
1425,1425,0.00012952890921294542,0.05
491,491,0.00013017513315037477,0.0505
36,36,0.0001303242284564389,0.051
1426,1426,0.00013044513930147517,0.0515
1778,1778,0.00013045174655712186,0.052
492,492,0.00013076696615187876,0.0525
1076,1076,0.0001316310600508298,0.053
1898,1898,0.00013163438816216018,0.0535
37,37,0.0001321271925798142,0.054
38,38,0.00013244269257981466,0.0545
1666,1666,0.00013266566468016382,0.055
723,723,0.0001326722096783505,0.0555
1077,1077,0.00013282533208754758,0.056
39,39,0.00013322569257981538,0.0565
1899,1899,0.00013341254352740046,0.057
959,959,0.00013345676152553426,0.0575
494,494,0.00013394758724135825,0.058
1900,1900,0.0001340118031211334,0.0585
40,40,0.00013424369257981558,0.059
1779,1779,0.0001345273838265228,0.0595
839,839,0.00013461149780404557,0.06
1544,1544,0.00013514239296760994,0.0605
840,840,0.00013523673337002357,0.061
1428,1428,0.0001356869862013601,0.0615
724,724,0.00013580222813551674,0.062
41,41,0.00013584562207566778,0.0625
42,42,0.00013640312207566924,0.063
960,960,0.00013647527090830428,0.0635
1545,1545,0.00013673137107537923,0.064
1312,1312,0.00013674374225422538,0.0645
1079,1079,0.0001369292597831866,0.065
495,495,0.00013697628040418294,0.0655
1429,1429,0.00013744594600613582,0.066
1668,1668,0.00013795958321550242,0.0665
1080,1080,0.00013834156204198483,0.067
45,45,0.0001386422456867778,0.0675
1190,1190,0.00013924405699741076,0.068
605,605,0.00013925145221324673,0.0685
376,376,0.00013952733213626984,0.069
1191,1191,0.00013967696749382335,0.0695
46,46,0.00013968024568677961,0.07
1669,1669,0.00013969156052265225,0.0705
497,497,0.00013994946021730255,0.071
1313,1313,0.00013997867167503254,0.0715
1430,1430,0.00014001704901571248,0.072
726,726,0.0001401860371794589,0.0725
47,47,0.00014032674568677933,0.073
1902,1902,0.00014059123769500747,0.0735
1781,1781,0.00014068315078647826,0.074
48,48,0.00014077949568677695,0.0745
34,34,0.00014079057107007492,0.075
377,377,0.00014091205771495243,0.0755
606,606,0.0001410565751597076,0.076
498,498,0.00014134849889392334,0.0765
842,842,0.0001416889698284142,0.077
1082,1082,0.00014235330507181515,0.0775
843,843,0.00014269356862355075,0.078
1671,1671,0.0001429663348088473,0.0785
727,727,0.00014318101354888175,0.079
1315,1315,0.00014349169790753971,0.0795
1782,1782,0.0001437625069480198,0.08
500,500,0.00014397055275275694,0.0805
49,49,0.00014399579003201643,0.081
360,360,0.00014412609628510186,0.0815
1672,1672,0.0001442505816006483,0.082
608,608,0.00014438993221038633,0.0825
1547,1547,0.00014455763248018383,0.083
1903,1903,0.00014498313782206266,0.0835
1432,1432,0.0001450381624882802,0.084
1083,1083,0.00014510098444827122,0.0845
50,50,0.00014520929003201954,0.085
715,715,0.00014552188347212225,0.0855
51,51,0.00014572779003201725,0.086
1316,1316,0.00014582391389402887,0.0865
52,52,0.0001463382900320151,0.087
1433,1433,0.00014658417860782775,0.0875
962,962,0.0001469137525248799,0.088
1674,1674,0.00014719715112871456,0.0885
729,729,0.00014747928271597476,0.089
53,53,0.00014766179003201582,0.0895
477,477,0.00014798932534329788,0.09
609,609,0.00014806981398972553,0.0905
1548,1548,0.00014810147154034533,0.091
730,730,0.00014816545121987626,0.0915
1784,1784,0.00014835590799168572,0.092
1085,1085,0.00014853959283488185,0.0925
54,54,0.00014853979003201512,0.093
2,2,0.00014859719576569216,0.0935
1193,1193,0.00014892531616965377,0.094
845,845,0.00014910105405130492,0.0945
1194,1194,0.0001491881873285314,0.095
1435,1435,0.00014940787179647998,0.0955
846,846,0.0001495435040501981,0.096
44,44,0.00014957933416531385,0.0965
1905,1905,0.00014959509970599938,0.097
963,963,0.00015022479022895794,0.0975
1318,1318,0.0001505383222766551,0.098
1675,1675,0.00015080742621885958,0.0985
611,611,0.00015104869122008863,0.099
3,3,0.00015129644576569214,0.0995
57,57,0.00015135405570661925,0.1
1086,1086,0.00015156222421377948,0.1005
381,381,0.00015168625901837627,0.101
612,612,0.00015170930275928572,0.1015
1785,1785,0.00015182661098211755,0.102
732,732,0.00015193238221211772,0.1025
1319,1319,0.0001519586279457211,0.103
733,733,0.000152337478557584,0.1035
362,362,0.00015264738542008257,0.104
848,848,0.00015309661502600368,0.1045
849,849,0.00015351534565983334,0.105
1907,1907,0.00015352618226874677,0.1055
1908,1908,0.0001535852203757328,0.106
60,60,0.00015360855570661913,0.1065
1677,1677,0.00015363821050886421,0.107
382,382,0.00015369555240488924,0.1075
1437,1437,0.00015372225657560342,0.108
1438,1438,0.00015378313947415513,0.1085
502,502,0.0001540805264336258,0.109
