,Request Id,request_e2e_time,cdf
0,0,25.742954030535195,0.0005
1,1,25.919166638638146,0.001
2,2,26.844807326523945,0.0015
3,3,26.86322682775268,0.002
4,4,26.896671741831213,0.0025
5,5,27.086498673288066,0.003
6,6,27.151852499138265,0.0035
7,7,27.750615645959485,0.004
8,8,28.267991343042908,0.0045
9,9,28.307837929284716,0.005
11,11,28.996152396769023,0.0055
10,10,28.99632717738507,0.006
12,12,29.218139886366277,0.0065
13,13,29.234575537523142,0.007
14,14,29.630486366870702,0.0075
15,15,30.32127882001727,0.008
16,16,32.523237626691746,0.0085
17,17,32.98666097883227,0.009
18,18,33.47530936477314,0.0095
19,19,33.9107999535335,0.01
20,20,33.94417686980838,0.0105
21,21,33.99566505481216,0.011
22,22,34.06644596941286,0.0115
23,23,34.26070903136971,0.012
24,24,34.46427837632879,0.0125
25,25,34.54051287144739,0.013
26,26,35.933953612938666,0.0135
27,27,36.285457323347934,0.014
28,28,36.7703975340737,0.0145
29,29,36.92292632655855,0.015
30,30,37.29616451340698,0.0155
31,31,37.705286524159746,0.016
32,32,38.288311677861856,0.0165
34,34,38.33914434511551,0.017
33,33,38.348600991272846,0.0175
35,35,39.393542052734716,0.018
36,36,39.477478686195745,0.0185
37,37,39.65277461036865,0.019
38,38,39.83778196025228,0.0195
39,39,39.887915322163266,0.02
40,40,40.0074003324718,0.0205
41,41,40.72996439051424,0.021
42,42,40.75771114611239,0.0215
43,43,40.9557801368087,0.022
44,44,41.012625154523235,0.0225
45,45,41.27570975450539,0.023
46,46,41.427711760267705,0.0235
47,47,41.522324260630825,0.024
48,48,41.76417348521875,0.0245
49,49,42.3057214858672,0.025
50,50,42.61350121647867,0.0255
51,51,42.786021975285216,0.026
52,52,43.01601390216889,0.0265
53,53,43.131326541256044,0.027
54,54,43.88331545059621,0.0275
55,55,43.898868754731296,0.028
56,56,43.91946732070792,0.0285
57,57,44.41221383102558,0.029
58,58,44.60653676679449,0.0295
59,59,44.635147535723405,0.03
60,60,44.77909190637451,0.0305
61,61,44.9649813560773,0.031
62,62,44.988029946938994,0.0315
63,63,45.555793384237845,0.032
64,64,45.845227690791994,0.0325
65,65,45.87629862755435,0.033
66,66,46.261602199464456,0.0335
67,67,46.32378496640624,0.034
68,68,46.54593377346648,0.0345
69,69,46.581241414820056,0.035
70,70,46.679052939285974,0.0355
72,72,46.94757421467631,0.036
71,71,46.96108592065691,0.0365
73,73,47.135974571609204,0.037
74,74,47.18069390815283,0.0375
75,75,47.35486901669532,0.038
76,76,47.38388009859179,0.0385
77,77,47.457717406572726,0.039
78,78,47.53976807672409,0.0395
79,79,47.61567505691691,0.04
80,80,47.747554565418255,0.0405
81,81,47.990960252712064,0.041
82,82,48.0191128052104,0.0415
83,83,48.11798175889967,0.042
84,84,48.15015472628225,0.0425
85,85,48.260489559233534,0.043
86,86,48.38725360436053,0.0435
87,87,48.402742536378824,0.044
88,88,48.46616297537387,0.0445
89,89,48.582706535473385,0.045
90,90,48.6890733185171,0.0455
92,92,48.69853718789601,0.046
91,91,48.73255715545391,0.0465
93,93,48.76165039131165,0.047
95,95,48.801296431140685,0.0475
94,94,48.81519870934887,0.048
96,96,49.142531201605976,0.0485
97,97,49.31074449092611,0.049
98,98,49.36598228192559,0.0495
99,99,49.46388963346169,0.05
101,101,49.613717256330546,0.0505
100,100,49.61391228517422,0.051
102,102,49.62136956746342,0.0515
103,103,49.674129413014015,0.052
104,104,49.937345054347674,0.0525
106,106,50.020778890127374,0.053
105,105,50.02166391790813,0.0535
107,107,50.28359931563696,0.054
109,109,50.31054995661958,0.0545
108,108,50.32916080080848,0.055
110,110,50.39744992122604,0.0555
112,112,50.46145392073747,0.056
111,111,50.47135930625842,0.0565
113,113,50.5076822198479,0.057
115,115,50.59114859290934,0.0575
114,114,50.59584252640242,0.058
116,116,50.65652297779113,0.0585
118,118,50.688411605288884,0.059
117,117,50.69179523090147,0.0595
119,119,50.716692118840015,0.06
120,120,50.83708391540705,0.0605
121,121,50.95642007702976,0.061
123,123,51.0059147796723,0.0615
122,122,51.01115277973702,0.062
124,124,51.053467058846486,0.0625
125,125,51.1133014283278,0.063
126,126,51.15967689934354,0.0635
128,128,51.4115252379738,0.064
127,127,51.426177303280774,0.0645
129,129,51.48340945743682,0.065
130,130,51.49801291682697,0.0655
131,131,51.5226564199997,0.066
132,132,51.563894143428456,0.0665
133,133,51.63223268596091,0.067
135,135,51.65549853036481,0.0675
134,134,51.6772471044173,0.068
136,136,51.67759889519006,0.0685
138,138,51.68368310573296,0.069
137,137,51.69202360430625,0.0695
139,139,51.72403878222754,0.07
140,140,52.45429176666935,0.0705
145,145,52.976001912512125,0.071
142,142,52.977221899117204,0.0715
144,144,53.07404947959967,0.072
143,143,53.087712627511195,0.0725
141,141,53.51960068524229,0.073
146,146,54.46378046043253,0.0735
147,147,57.90068990237031,0.074
148,148,58.48297533663056,0.0745
149,149,58.684013015132955,0.075
163,163,58.96978478599612,0.0755
162,162,59.38662862075883,0.076
161,161,59.4455325243646,0.0765
150,150,59.541878750349454,0.077
151,151,59.686773197217065,0.0775
160,160,59.70302186256688,0.078
152,152,59.97178487895956,0.0785
153,153,60.1258684543939,0.079
164,164,60.35201851204286,0.0795
154,154,60.44870635964514,0.08
159,159,60.56810829298375,0.0805
158,158,60.810254642315684,0.081
157,157,60.910983177274254,0.0815
165,165,61.29185713084268,0.082
155,155,61.36069429208569,0.0825
156,156,61.3796701046629,0.083
166,166,62.18393648929103,0.0835
167,167,62.24181559405473,0.084
172,172,63.165384259935585,0.0845
169,169,63.28997500053813,0.085
170,170,63.295763281117836,0.0855
168,168,63.33495734596228,0.086
173,173,63.48775083948451,0.0865
171,171,63.59444580594551,0.087
225,225,63.84692937211835,0.0875
224,224,64.1231127245996,0.088
223,223,64.25775505819064,0.0885
222,222,64.30544718819203,0.089
174,174,64.47347624433985,0.0895
221,221,64.47611087169285,0.09
226,226,64.73178550442799,0.0905
227,227,65.1179895012433,0.091
175,175,65.15903052167674,0.0915
220,220,65.15911731733067,0.092
228,228,65.31821972137695,0.0925
229,229,65.9682194558932,0.093
219,219,66.12996442592143,0.0935
230,230,66.41375494707727,0.094
218,218,66.46765649096363,0.0945
231,231,66.50140312018726,0.095
176,176,66.64735490735373,0.0955
196,196,66.66493400390544,0.096
216,216,66.75330058464581,0.0965
197,197,66.78202732266672,0.097
195,195,66.79640566374069,0.0975
217,217,66.87305425290056,0.098
194,194,66.89649157981711,0.0985
186,186,66.90829540818778,0.099
185,185,67.04951936046939,0.0995
190,190,67.05256766607219,0.1
191,191,67.05763468727895,0.1005
189,189,67.07350280223281,0.101
232,232,67.0859379139855,0.1015
178,178,67.09544701176637,0.102
177,177,67.10178092964733,0.1025
193,193,67.11083058151118,0.103
205,205,67.17276482275965,0.1035
198,198,67.17758340776601,0.104
192,192,67.17883957923135,0.1045
180,180,67.19181398546012,0.105
179,179,67.21594790693982,0.1055
233,233,67.24982896887018,0.106
184,184,67.2971408292878,0.1065
187,187,67.3055393715959,0.107
211,211,67.39122281970208,0.1075
203,203,67.4170260182144,0.108
201,201,67.4390347994582,0.1085
204,204,67.45213666920164,0.109
212,212,67.4565648911559,0.1095
202,202,67.46115049363586,0.11
188,188,67.47553798168096,0.1105
215,215,67.47917548608453,0.111
213,213,67.52310345534576,0.1115
214,214,67.55146062284695,0.112
210,210,67.6214594542684,0.1125
199,199,67.67927361807241,0.113
208,208,67.68556337489605,0.1135
182,182,67.70297984775485,0.114
206,206,67.71662940326044,0.1145
207,207,67.77831468646166,0.115
209,209,67.80190879619985,0.1155
181,181,67.84736220199343,0.116
183,183,67.87598629011819,0.1165
200,200,67.9493549664322,0.117
234,234,68.29098586491924,0.1175
235,235,69.05570752571727,0.118
