,Time (sec),request_completion
0,25.96337166454925,1
1,26.189063064849396,2
2,27.352226837741764,3
3,27.434542042502517,4
4,27.434542042502517,5
5,27.86000175155156,6
6,28.01453542432668,7
7,28.756603933109886,8
8,29.501427426773365,9
9,29.501427426773365,10
10,30.504842025680198,11
11,30.603105636014394,12
12,30.813464568043248,13
13,30.85532989044902,14
14,31.482653086535585,15
15,32.4513503008815,16
16,35.48056384200463,17
17,36.048552422262034,18
18,36.75185240653675,19
19,37.36494478813326,20
20,37.36494478813326,21
21,37.537434105143824,22
22,37.7084661716558,23
23,37.86960769218082,24
24,38.08303946450151,25
25,38.23790738225043,26
26,40.12017980411792,27
27,40.688168384375324,28
