,Time (sec),request_completion
0,0.1435002159426521,1
1,0.2800384791090677,2
2,0.31030560923728956,3
3,0.3603827358403097,4
4,0.38346881104126945,5
5,0.3970610528648681,6
6,0.4183309123341401,7
7,0.42985631040319683,8
8,0.45285473665115034,9
9,0.45285473665115034,10
10,0.5450439364634454,11
11,0.6512898617421241,12
12,0.8073215234330143,13
13,0.8202081059048436,14
14,0.923344555942444,15
15,1.0335313147894187,16
16,1.0846948009060735,17
17,1.112569579670353,18
18,1.1265558423833537,19
19,1.204748486239648,20
20,1.2494731080125139,21
21,1.2634594509257207,22
22,1.3084617074642708,23
23,1.3084617074642708,24
24,1.3370329387087823,25
25,1.3707103026801255,26
26,1.3974054849890407,27
27,1.4241010481016527,28
28,1.4625556367308206,29
29,1.5022597008918102,30
30,1.548774716415506,31
31,1.797134237471463,32
32,1.8241290736857074,33
33,1.876242641081293,34
34,1.876242641081293,35
35,1.91762862201899,36
36,2.050805723489989,37
37,2.1052995912672023,38
38,2.134218166486326,39
39,2.2020221865346805,40
40,2.2020221865346805,41
41,2.2316887573305526,42
42,2.2316887573305526,43
43,2.3404210754498465,44
44,2.382567244317121,45
45,2.411487039737629,46
46,2.4779587211024348,47
47,2.491520000249883,48
48,2.5195586936960552,49
49,2.8967205940324208,50
50,2.938160800781011,51
51,3.0320378346540666,52
52,3.1523703975704036,53
53,3.340410632873834,54
54,3.3828040803195174,55
55,3.411026066637706,56
56,3.411026066637706,57
57,3.555484245514768,58
58,3.6111133406077363,59
59,3.6111133406077363,60
60,3.6111133406077363,61
61,3.625942244387404,62
62,3.683670424260519,63
63,3.791074679595598,64
64,3.8062928663468703,65
65,3.9010181969058144,66
66,3.9162667757960796,67
67,3.9162667757960796,68
68,3.9456344407750827,69
69,3.9591960717565673,70
70,4.00016298736587,71
71,4.0137246183473545,72
72,4.041463644922936,73
73,4.041463644922936,74
74,4.055735592792973,75
75,4.055735592792973,76
76,4.091182190030203,77
77,4.14700791049061,78
78,4.1747469761229095,79
79,4.202838202371754,80
80,4.202838202371754,81
81,4.217341789555903,82
82,4.2649069966052515,83
83,4.2791868292752895,84
84,4.373363468576828,85
85,4.444070578480178,86
86,4.468906149916947,87
87,4.482467429064395,88
88,4.482467429064395,89
89,4.540403237484437,90
90,4.55615239673499,91
91,4.55615239673499,92
92,4.584333278564287,93
93,4.642039406573627,94
94,4.669926566802925,95
95,4.7663143604276765,96
96,4.794553357032146,97
97,4.8983179481086605,98
98,4.9132536934383335,99
99,4.9132536934383335,100
100,4.941439790965607,101
101,4.972019159095513,102
102,5.0135088362231714,103
103,5.029257995473724,104
104,5.042891411154506,105
105,5.057738157900474,106
106,5.057738157900474,107
107,5.107309416955481,108
108,5.107309416955481,109
109,5.135424651648131,110
110,5.170403059808943,111
111,5.227342606169576,112
112,5.247474618374113,113
113,5.247474618374113,114
114,5.262373540686702,115
115,5.291804230201311,116
116,5.306687100847802,117
117,5.306687100847802,118
118,5.335968736941439,119
119,5.335968736941439,120
120,5.364448921753574,121
121,5.379384696451439,122
122,5.42005732672621,123
123,5.42005732672621,124
124,5.433654302831745,125
125,5.453688138927317,126
126,5.470634063751689,127
127,5.513068326118514,128
128,5.527426365484607,129
129,5.527426365484607,130
130,5.553603558242856,131
131,5.58290602612842,132
132,5.631273665804743,133
133,5.747969044118361,134
134,5.800385226407042,135
135,5.800385226407042,136
136,5.814795787736715,137
137,5.814795787736715,138
138,5.848511527267212,139
139,5.863039221154303,140
140,5.877398399885657,141
141,5.898512185446384,142
142,5.925709355327859,143
143,5.925709355327859,144
144,5.95160417175609,145
145,5.966322505359376,146
146,5.980764581849641,147
147,5.980764581849641,148
148,5.995206306238725,149
149,6.022403448937446,150
150,6.022403448937446,151
151,6.022403448937446,152
152,6.076942657508519,153
153,6.142612597283936,154
154,6.267384589596826,155
155,6.267384589596826,156
156,6.310170726929117,157
157,6.403293315094593,158
158,6.47144208063377,159
159,6.499329252561092,160
160,6.51426511057714,161
161,6.529147981223631,162
162,6.5706376514584415,163
163,6.5996900375897765,164
164,6.5996900375897765,165
165,6.614896304496094,166
166,6.614896304496094,167
167,6.629414219560555,168
168,6.70592964804846,169
169,6.734168644063269,170
170,6.748752508909603,171
171,6.763336442258119,172
172,6.77910073919932,173
173,6.77910073919932,174
174,6.798950487275883,175
175,6.826899432584789,176
176,6.841782646530757,177
177,6.841782646530757,178
178,6.856712313421022,179
179,6.891499880171569,180
180,6.891499880171569,181
181,6.891499880171569,182
182,6.948834173049715,183
183,6.975770815611279,184
184,6.990653678767554,185
185,7.017260132529119,186
186,7.031844077575659,187
187,7.08668953291587,188
188,7.101625307613735,189
189,7.148137533308599,190
190,7.148137533308599,191
191,7.163900699224728,192
192,7.243720060509421,193
193,7.292015795298379,194
194,7.3053190221791615,195
195,7.320254411691749,196
196,7.408216069632264,197
197,7.408216069632264,198
198,7.489615427402269,199
199,7.5245784755645975,200
200,7.5245784755645975,201
201,7.632943454933359,202
202,7.673183324375705,203
203,7.721235301673873,204
204,7.763604921351566,205
205,7.763604921351566,206
206,7.846248511496456,207
207,7.86793779252385,208
208,7.882820620456201,209
209,7.911059555534582,210
210,7.9389467274619046,211
211,8.058675769388941,212
212,8.058675769388941,213
213,8.139624817569612,214
214,8.139624817569612,215
215,8.182220062877242,216
216,8.182220062877242,217
217,8.196723986590449,218
218,8.279300776578413,219
219,8.307040178739772,220
220,8.33682272256899,221
221,8.389733097161596,222
222,8.416522321791232,223
223,8.416522321791232,224
224,8.416522321791232,225
225,8.46765290719705,226
226,8.482516512614987,227
227,8.482516512614987,228
228,8.497372367459283,229
229,8.497372367459283,230
230,8.525407673552694,231
231,8.555588244397343,232
232,8.570398971020285,233
233,8.59979393566464,234
234,8.641336127151046,235
235,8.721485677235735,236
236,8.736421446369762,237
237,8.751005311216096,238
238,8.765589261480557,239
239,8.765589261480557,240
240,8.781317132586247,241
241,8.796301739540004,242
242,8.796301739540004,243
243,8.859131592400148,244
244,8.859131592400148,245
245,8.87485942214135,246
246,8.904289747768209,247
247,8.930744935064512,248
248,8.945556015004424,249
249,9.107430691593873,250
250,9.122014216178338,251
251,9.176859638771953,252
252,9.220064707940598,253
253,9.220064707940598,254
254,9.234911477071952,255
255,9.284227612889257,256
256,9.31083406665082,257
257,9.31083406665082,258
258,9.394136455026231,259
259,9.419043650996333,260
260,9.419043650996333,261
261,9.461808102286396,262
262,9.461808102286396,263
263,9.552160418373639,264
264,9.552160418373639,265
265,9.581291453982919,266
266,9.622481841092998,267
267,9.664054428944826,268
268,9.664054428944826,269
269,9.67765140505036,270
270,9.712732111888949,271
271,9.728495277805077,272
272,9.763021653270592,273
273,9.763021653270592,274
274,9.792451622520424,275
275,9.792451622520424,276
276,9.808215960826114,277
277,9.821849376506897,278
278,9.837795377952745,279
279,9.853558543868873,280
280,9.92684175468757,281
281,9.965052177538453,282
282,9.993238275065725,283
283,10.009002613371415,284
284,10.009002613371415,285
285,10.039144275099543,286
286,10.039144275099543,287
287,10.039144275099543,288
288,10.158704982244306,289
289,10.187771730104684,290
290,10.214708372666248,291
291,10.229292322930709,292
292,10.283785528157518,293
293,10.299028298059312,294
294,10.34181482655113,295
295,10.357057217754415,296
296,10.431959406304934,297
297,10.458896048866498,298
298,10.48550250262806,299
299,10.545148756132535,300
300,10.693064238886317,301
301,10.734913462549674,302
302,10.734913462549674,303
303,10.777347344112803,304
304,10.820145524577514,305
305,10.90287825494631,306
306,10.971918517557585,307
307,10.98680173403083,308
308,11.041677196662258,309
309,11.041677196662258,310
310,11.084499801784208,311
311,11.099382672430698,312
312,11.12845023761717,313
313,11.239399014601211,314
314,11.239399014601211,315
315,11.239399014601211,316
316,11.252966783145345,317
317,11.252966783145345,318
318,11.321705444408225,319
319,11.352384270549043,320
320,11.395375922177262,321
321,11.395375922177262,322
322,11.564323653251583,323
323,11.579206869724828,324
324,11.607393319971703,325
325,11.688493023836374,326
326,11.716379859234637,327
327,11.74592992667342,328
328,11.816125226220915,329
329,11.842731679982478,330
330,11.884273841941638,331
331,11.884273841941638,332
332,11.965673192818791,333
333,12.006863511426687,334
334,12.021447461691148,335
335,12.078231669663229,336
336,12.09281561470977,337
337,12.134357843169196,338
338,12.134357843169196,339
339,12.205363520644362,340
340,12.22029891015695,341
341,12.275970348715422,342
342,12.3449324154891,343
343,12.359516348837616,344
344,12.359516348837616,345
345,12.374445679368915,346
346,12.422501424928964,347
347,12.442682853637878,348
348,12.457266423098643,349
349,12.538366490851066,350
350,12.57174002102742,351
351,12.587489180277972,352
352,12.607240896744443,353
353,12.701996466379004,354
354,12.741906147021348,355
355,12.757148538224634,356
356,12.792223127244952,357
357,12.822058253130677,358
358,12.822058253130677,359
359,12.851893231853118,360
360,12.866476801313883,361
361,12.879780028194665,362
362,12.894363580616247,363
363,12.975815460349827,364
364,13.00370229574809,365
365,13.017005522628871,366
366,13.051968570791198,367
367,13.126999939290249,368
368,13.14030316617103,369
369,13.14030316617103,370
370,13.170085673027227,371
371,13.170085673027227,372
372,13.212872165642347,373
373,13.232760424895028,374
374,13.24606365177581,375
375,13.288434402478574,376
376,13.303370110676171,377
377,13.31825332462214,378
378,13.35146232343622,379
379,13.36604626848276,380
380,13.435022341922014,381
381,13.449606275270531,382
382,13.477493026735777,383
383,13.530705934258902,384
384,13.579083750160002,385
385,13.579083750160002,386
386,13.635151075028665,387
387,13.663506053396537,388
388,13.679233107176133,389
389,13.679233107176133,390
390,13.692800875720266,391
391,13.7221647536742,392
392,13.7221647536742,393
393,13.736682651822715,394
394,13.779733342914133,395
395,13.794317287960673,396
396,13.794317287960673,397
397,13.823711503382436,398
398,13.83730847948797,399
399,13.881104793036181,400
400,13.881104793036181,401
401,13.964966161743884,402
402,14.01015152179891,403
403,14.123179881897679,404
404,14.178852728456151,405
405,14.193818526187451,406
406,14.261945572775039,407
407,14.275578988455822,408
408,14.313789411306704,409
409,14.369462612928645,410
410,14.414278520039575,411
411,14.455768187747106,412
412,14.498837861360073,413
413,14.540380060451309,414
414,14.582750811154073,415
415,14.625573725032666,416
416,14.703328593800201,417
417,14.756541501323326,418
418,14.778312863462864,419
419,14.791616090343645,420
420,14.812839238928378,421
421,14.827805036659678,422
422,14.88789880282459,423
423,14.968998506689262,424
424,14.983582115206744,425
425,15.0250717923344,426
426,15.0250717923344,427
427,15.039971533484271,428
428,15.149273754688405,429
429,15.195950144819584,430
430,15.22383694116113,431
431,15.291985706700304,432
432,15.334755747001822,433
433,15.416155095351696,434
434,15.449590334437016,435
435,15.491079651354854,436
436,15.519348660224718,437
437,15.5326518871055,438
438,15.633917235182844,439
439,15.693958928029726,440
440,15.708842144502972,441
441,15.739505719573847,442
442,15.754748110777133,443
443,15.754748110777133,444
444,15.831114283960607,445
445,15.845698229007148,446
446,15.845698229007148,447
447,15.860544985173242,448
448,15.875596736660333,449
449,15.938067534371948,450
450,15.973215207735123,451
451,15.988151416084996,452
452,16.045043488751716,453
453,16.14608599862115,454
454,16.1945709475177,455
455,16.1945709475177,456
456,16.232781077096213,457
457,16.232781077096213,458
458,16.34045072264616,459
459,16.355386467975833,460
460,16.38327326431738,461
461,16.38327326431738,462
462,16.509553042844285,463
463,16.52530220209484,464
464,16.608386600277317,465
465,16.6229702087948,466
466,16.649576662556367,467
467,16.669764253717183,468
468,16.738028912727405,469
469,16.738028912727405,470
470,16.752576395791866,471
471,16.823367852577928,472
472,16.864557914856977,473
473,16.95126650442171,474
474,17.004479411944843,475
475,17.02461142414938,476
476,17.039194993610145,477
477,17.039194993610145,478
478,17.09528429158375,479
