Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,throughput,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,3.915958573119791,0.019579792865598956,3.9159585731197915,0.019579792865598956,3.9159585731197915,0.019579792865598956,0.0,0.0,3.9159585731197915,0.019579792865598956,0.011681247744486409,0.011681247744486409,0.00019468746240810681,0.019521386626876525,,,260,60,200,0.3,0
1,0.7604000898267675,0.01520800179653535,0.7525459055015253,0.015050918110030507,0.7525459055015253,0.015050918110030507,0.0,0.007854184325242264,0.7525459055015253,0.015050918110030507,0.019796298055360338,0.011942113730118074,0.00019903522883530123,0.014812075835428144,,0.0038270634192441445,110,60,50,1.2,0
2,3.9550588955272343,0.019775294477636172,3.9523712794233683,0.01976185639711684,3.9523712794233683,0.01976185639711684,0.0,0.0026876161038665095,3.9523712794233683,0.01976185639711684,0.020630662885904122,0.017943046782037612,0.00029905077970062685,0.01967214116320665,,0.01710868195149383,260,60,200,0.3,0
3,6.510709113281591,0.021702363710938637,6.5093995639141875,0.021697998546380624,6.5093995639141875,0.021697998546380624,0.0,0.0013095493674033856,6.5093995639141875,0.021697998546380624,0.019252596149440998,0.017943046782037612,0.00029905077970062685,0.021638188390440495,,0.0013780667364631238,360,60,300,0.2,0
4,1.6512381890430068,0.01651238189043007,1.6503869756938967,0.016503869756938967,1.6503869756938967,0.016503869756938967,0.0,0.0008512133491100742,1.6503869756938967,0.016503869756938967,0.018794260131147687,0.017943046782037612,0.00029905077970062685,0.01632443928911859,,0.00045833601829331147,160,60,100,0.6,0
5,0.7646111359429105,0.01529222271885821,0.7564822625976138,0.015129645251952276,0.7564822625976138,0.015129645251952276,0.0,0.008128873345296876,0.7564822625976138,0.015129645251952276,0.022620564008149387,0.01449169066285251,0.0002415281777142085,0.014839811438695222,,0.01066538678585081,110,60,50,1.2,0
6,0.7612521712586123,0.015225043425172247,0.7564822625976138,0.015129645251952276,0.7564822625976138,0.015129645251952276,0.0,0.00476990866099869,0.7564822625976138,0.015129645251952276,0.0192615993238512,0.01449169066285251,0.0002415281777142085,0.014839811438695222,,0.0033589646842981866,110,60,50,1.2,0
7,3.9753272839529816,0.019876636419764906,3.967994915754016,0.01983997457877008,3.967994915754016,0.01983997457877008,0.0,0.007332368198966335,3.967994915754016,0.01983997457877008,0.020164145263909472,0.012831777064943137,0.0002138629510823856,0.019775815693445362,,0.011929231124884865,260,60,200,0.3,0
8,0.7611865489938857,0.015223730979877715,0.7545043538254576,0.015090087076509152,0.7545043538254576,0.015090087076509152,0.0,0.006682195168428218,0.7545043538254576,0.015090087076509152,0.022422082250251746,0.015739887081823528,0.00026233145136372545,0.014775289334872679,,0.013481950095481254,110,60,50,1.2,0
9,5.253621014032993,0.021014484056131974,5.247037606266902,0.02098815042506761,5.247037606266902,0.02098815042506761,0.0,0.006583407766090843,5.247037606266902,0.02098815042506761,0.02232329484791437,0.015739887081823528,0.00026233145136372545,0.020925190876740312,,9.878740233737471e-05,310,60,250,0.24,0
